Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,7543,1,Müller,7543,1,Müller,7543
2,Meier,6409,2,Meier,6409,2,Meier,6409
3,Schmid,4139,3,Schmid,4139,3,Schmid,4139
4,Keller,3261,4,Keller,3261,4,Keller,3261
5,Fischer,2725,5,Fischer,2725,5,Fischer,2725
6,Meyer,2537,6,Meyer,2537,6,Meyer,2537
7,Weber,2522,7,Weber,2522,7,Weber,2522
8,Suter,2517,8,Suter,2517,8,Suter,2517
9,Huber,2505,9,Huber,2505,9,Huber,2505
10,Widmer,2309,10,Widmer,2309,10,Widmer,2309
11,Hunziker,2193,11,Hunziker,2193,11,Hunziker,2193
12,Baumann,2091,12,Baumann,2091,12,Baumann,2091
13,Schneider,2066,13,Schneider,2066,13,Schneider,2066
14,Frei,1936,14,Frei,1936,14,Frei,1936
15,Lüscher,1846,15,Lüscher,1846,15,Lüscher,1846
16,Frey,1723,16,Frey,1723,16,Frey,1723
17,Zimmermann,1662,17,Zimmermann,1662,17,Zimmermann,1662
18,Steiner,1553,18,Steiner,1553,18,Steiner,1553
19,Kaufmann,1520,19,Kaufmann,1520,19,Kaufmann,1520
20,Koch,1504,20,Koch,1504,20,Koch,1504
21,Brunner,1496,21,Brunner,1496,21,Brunner,1496
22,Roth,1451,22,Roth,1451,22,Roth,1451
23,Gloor,1386,23,Gloor,1386,23,Gloor,1386
24,Krasniqi,1385,24,Krasniqi,1385,24,Krasniqi,1385
25,Gashi,1344,25,Gashi,1344,25,Gashi,1344
26,Moser,1266,26,Moser,1266,26,Moser,1266
27,Bolliger,1238,27,Bolliger,1238,27,Bolliger,1238
28,Berisha,1183,28,Berisha,1183,28,Berisha,1183
29,Senn,1158,29,Senn,1158,29,Senn,1158
30,Bachmann,1153,30,Bachmann,1153,30,Bachmann,1153
31,Graf,1147,31,Graf,1147,31,Graf,1147
32,Wyss,1108,32,Wyss,1108,32,Wyss,1108
33,Maurer,1095,33,Maurer,1095,33,Maurer,1095
34,Baumgartner,1048,34,Baumgartner,1048,34,Baumgartner,1048
35,Hofer,1030,35,Hofer,1030,35,Hofer,1030
36,Strebel,1024,36,Strebel,1024,36,Strebel,1024
37,Haller,1016,37,Haller,1016,37,Haller,1016
38,Siegrist,1002,38,Siegrist,1002,38,Siegrist,1002
39,Wernli,981,39,Wernli,981,39,Wernli,981
40,Eichenberger,980,40,Eichenberger,980,40,Eichenberger,980
41,Stutz,969,41,Stutz,969,41,Stutz,969
42,Gerber,937,42,Gerber,937,42,Gerber,937
43,Lüthi,899,43,Lüthi,899,43,Lüthi,899
44,Christen,893,44,Christen,893,44,Christen,893
45,Koller,887,45,Koller,887,45,Koller,887
46,Bucher,883,46,Bucher,883,46,Bucher,883
47,Schärer,881,47,Schärer,881,47,Schärer,881
48,Bühler,875,48,Bühler,875,48,Bühler,875
49,Studer,851,49,Studer,851,49,Studer,851
50,Seiler,835,50,Seiler,835,50,Seiler,835
51,Kunz,832,51,Kunz,832,51,Kunz,832
52,Shala,829,52,Shala,829,52,Shala,829
53,Küng,815,53,Küng,815,53,Küng,815
54,Villiger,796,54,Villiger,796,54,Villiger,796
55,Herzog,789,55,Herzog,789,55,Herzog,789
56,Zehnder,786,56,Zehnder,786,56,Zehnder,786
57,Lehmann,783,57,Lehmann,783,57,Lehmann,783
58,Schär,775,58,Schär,775,58,Schär,775
59,Hasler,774,59,Hasler,774,59,Hasler,774
60,Peter,768,60,Peter,768,60,Peter,768
61,Hofmann,753,61,Hofmann,753,61,Hofmann,753
62,Berger,750,62,Berger,750,62,Berger,750
63,Vogt,740,63,Vogt,740,63,Vogt,740
64,Stocker,734,64,Stocker,734,64,Stocker,734
65,Kuhn,733,65,Kuhn,733,65,Kuhn,733
66,Kohler,729,66,Kohler,729,66,Kohler,729
67,Stöckli,726,67,Stöckli,726,67,Stöckli,726
68,Lang,723,68,Lang,723,68,Lang,723
69,Knecht,719,69,Knecht,719,69,Knecht,719
70,Hauri,714,70,Hauri,714,70,Hauri,714
71,Vogel,712,71,Vogel,712,71,Vogel,712
72,Morina,710,72,Morina,710,72,Morina,710
73,Hartmann,698,73,Hartmann,698,73,Hartmann,698
74,Schweizer,686,74,Schweizer,686,74,Schweizer,686
75,Weiss,674,75,Weiss,674,75,Weiss,674
76,Wiederkehr,661,76,Wiederkehr,661,76,Wiederkehr,661
77,Marti,655,77,Marti,655,77,Marti,655
78,Ramadani,654,78,Ramadani,654,78,Ramadani,654
79,Stalder,649,79,Stalder,649,79,Stalder,649
80,Fuchs,643,80,Fuchs,643,80,Fuchs,643
80,Rohr,643,80,Rohr,643,80,Rohr,643
82,Schaffner,640,82,Schaffner,640,82,Schaffner,640
83,da Silva,638,83,da Silva,638,83,da Silva,638
83,Plüss,638,83,Plüss,638,83,Plüss,638
85,Urech,630,85,Urech,630,85,Urech,630
86,Merz,628,86,Merz,628,86,Merz,628
87,Richner,626,87,Richner,626,87,Richner,626
88,Wüthrich,623,88,Wüthrich,623,88,Wüthrich,623
89,Wehrli,612,89,Wehrli,612,89,Wehrli,612
90,Käser,602,90,Käser,602,90,Käser,602
91,Häfeli,600,91,Häfeli,600,91,Häfeli,600
92,Sutter,598,92,Sutter,598,92,Sutter,598
93,Gautschi,595,93,Gautschi,595,93,Gautschi,595
94,Hediger,594,94,Hediger,594,94,Hediger,594
95,Zimmerli,573,95,Zimmerli,573,95,Zimmerli,573
96,Ammann,572,96,Ammann,572,96,Ammann,572
97,Leuenberger,568,97,Leuenberger,568,97,Leuenberger,568
98,Ernst,562,98,Ernst,562,98,Ernst,562
99,Pfister,561,99,Pfister,561,99,Pfister,561
99,Sommer,561,99,Sommer,561,99,Sommer,561
