Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Inauen,688,1,Inauen,688,1,Inauen,688
2,Fässler,612,2,Fässler,612,2,Fässler,612
3,Manser,610,3,Manser,610,3,Manser,610
4,Koller,412,4,Koller,412,4,Koller,412
5,Sutter,361,5,Sutter,361,5,Sutter,361
6,Dörig,345,6,Dörig,345,6,Dörig,345
7,Signer,337,7,Signer,337,7,Signer,337
8,Rusch,259,8,Rusch,259,8,Rusch,259
9,Neff,256,9,Neff,256,9,Neff,256
10,Schmid,204,10,Schmid,204,10,Schmid,204
11,Brülisauer,201,11,Brülisauer,201,11,Brülisauer,201
12,Koch,198,12,Koch,198,12,Koch,198
13,Fuchs,192,13,Fuchs,192,13,Fuchs,192
14,Streule,160,14,Streule,160,14,Streule,160
14,Ulmann,160,14,Ulmann,160,14,Ulmann,160
16,Fritsche,159,16,Fritsche,159,16,Fritsche,159
17,Rechsteiner,156,17,Rechsteiner,156,17,Rechsteiner,156
18,Gmünder,154,18,Gmünder,154,18,Gmünder,154
19,Eugster,142,19,Eugster,142,19,Eugster,142
20,Bischofberger,132,20,Bischofberger,132,20,Bischofberger,132
21,Koster,118,21,Koster,118,21,Koster,118
22,Graf,115,22,Graf,115,22,Graf,115
23,Hörler,106,23,Hörler,106,23,Hörler,106
23,Räss,106,23,Räss,106,23,Räss,106
25,Sonderegger,105,25,Sonderegger,105,25,Sonderegger,105
26,Knechtle,97,26,Knechtle,97,26,Knechtle,97
27,Broger,95,27,Broger,95,27,Broger,95
27,Moser,95,27,Moser,95,27,Moser,95
29,Rempfler,92,29,Rempfler,92,29,Rempfler,92
30,Mock,89,30,Mock,89,30,Mock,89
31,Breu,88,31,Breu,88,31,Breu,88
32,Huber,87,32,Huber,87,32,Huber,87
32,Keller,87,32,Keller,87,32,Keller,87
34,Fuster,86,34,Fuster,86,34,Fuster,86
35,Stark,82,35,Stark,82,35,Stark,82
36,Kölbener,78,36,Kölbener,78,36,Kölbener,78
37,Wild,77,37,Wild,77,37,Wild,77
38,Breitenmoser,70,38,Breitenmoser,70,38,Breitenmoser,70
39,Haas,67,39,Haas,67,39,Haas,67
39,Zeller,67,39,Zeller,67,39,Zeller,67
41,Dähler,66,41,Dähler,66,41,Dähler,66
42,Enzler,65,42,Enzler,65,42,Enzler,65
43,Müller,62,43,Müller,62,43,Müller,62
44,Ebneter,61,44,Ebneter,61,44,Ebneter,61
45,Mazenauer,60,45,Mazenauer,60,45,Mazenauer,60
46,Wetter,58,46,Wetter,58,46,Wetter,58
47,Büchler,56,47,Büchler,56,47,Büchler,56
47,Rohner,56,47,Rohner,56,47,Rohner,56
49,Geiger,54,49,Geiger,54,49,Geiger,54
50,Dobler,51,50,Dobler,51,50,Dobler,51
51,Speck,49,51,Speck,49,51,Speck,49
52,Hersche,48,52,Hersche,48,52,Hersche,48
53,Wyss,47,53,Wyss,47,53,Wyss,47
54,Bürki,45,54,Bürki,45,54,Bürki,45
55,Schiegg,42,55,Schiegg,42,55,Schiegg,42
56,Heeb,41,56,Heeb,41,56,Heeb,41
56,Zürcher,41,56,Zürcher,41,56,Zürcher,41
58,Meier,40,58,Meier,40,58,Meier,40
59,Baumann,39,59,Baumann,39,59,Baumann,39
60,Hautle,36,60,Hautle,36,60,Hautle,36
60,Hehli,36,60,Hehli,36,60,Hehli,36
62,Locher,35,62,Locher,35,62,Locher,35
62,Mittelholzer,35,62,Mittelholzer,35,62,Mittelholzer,35
62,Weishaupt,35,62,Weishaupt,35,62,Weishaupt,35
65,Sonderer,33,65,Sonderer,33,65,Sonderer,33
65,Wettmer,33,65,Wettmer,33,65,Wettmer,33
65,Zimmermann,33,65,Zimmermann,33,65,Zimmermann,33
68,Tanner,32,68,Tanner,32,68,Tanner,32
69,Nef,31,69,Nef,31,69,Nef,31
69,Tobler,31,69,Tobler,31,69,Tobler,31
71,Frischknecht,30,71,Frischknecht,30,71,Frischknecht,30
71,Seitz,30,71,Seitz,30,71,Seitz,30
73,Steuble,29,73,Steuble,29,73,Steuble,29
74,Holderegger,28,74,Holderegger,28,74,Holderegger,28
74,Klee,28,74,Klee,28,74,Klee,28
76,Mösler,27,76,Mösler,27,76,Mösler,27
77,Eisenhut,26,77,Eisenhut,26,77,Eisenhut,26
77,Grubenmann,26,77,Grubenmann,26,77,Grubenmann,26
77,Gschwend,26,77,Gschwend,26,77,Gschwend,26
77,Gätzi,26,77,Gätzi,26,77,Gätzi,26
81,Frei,25,81,Frei,25,81,Frei,25
82,Isenring,24,82,Isenring,24,82,Isenring,24
82,Peterer,24,82,Peterer,24,82,Peterer,24
84,Lang,23,84,Lang,23,84,Lang,23
85,Bruderer,22,85,Bruderer,22,85,Bruderer,22
85,Misimi,22,85,Misimi,22,85,Misimi,22
85,Schönenberger,22,85,Schönenberger,22,85,Schönenberger,22
88,Bischof,21,88,Bischof,21,88,Bischof,21
88,Fürer,21,88,Fürer,21,88,Fürer,21
88,Gantenbein,21,88,Gantenbein,21,88,Gantenbein,21
88,Lutz,21,88,Lutz,21,88,Lutz,21
88,Messmer,21,88,Messmer,21,88,Messmer,21
93,Roth,20,93,Roth,20,93,Roth,20
93,Städler,20,93,Städler,20,93,Städler,20
93,Thür,20,93,Thür,20,93,Thür,20
93,Widmer,20,93,Widmer,20,93,Widmer,20
97,Brunner,19,97,Brunner,19,97,Brunner,19
97,Gollino,19,97,Gollino,19,97,Gollino,19
97,Meister,19,97,Meister,19,97,Meister,19
97,Schefer,19,97,Schefer,19,97,Schefer,19
