Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,478,1,Müller,478,1,Müller,478
2,Meier,451,2,Meier,451,2,Meier,451
3,Frischknecht,410,3,Frischknecht,410,3,Frischknecht,410
4,Graf,400,4,Graf,400,4,Graf,400
5,Schmid,399,5,Schmid,399,5,Schmid,399
6,Schläpfer,350,6,Schläpfer,350,6,Schläpfer,350
7,Eugster,342,7,Eugster,342,7,Eugster,342
8,Koller,306,8,Koller,306,8,Koller,306
9,Keller,301,9,Keller,301,9,Keller,301
10,Preisig,281,10,Preisig,281,10,Preisig,281
11,Nef,248,11,Nef,248,11,Nef,248
12,Tobler,240,12,Tobler,240,12,Tobler,240
13,Rechsteiner,237,13,Rechsteiner,237,13,Rechsteiner,237
14,Brunner,235,14,Brunner,235,14,Brunner,235
15,Knöpfel,234,15,Knöpfel,234,15,Knöpfel,234
16,Alder,233,16,Alder,233,16,Alder,233
17,Tanner,224,17,Tanner,224,17,Tanner,224
18,Widmer,221,18,Widmer,221,18,Widmer,221
19,Zellweger,212,19,Zellweger,212,19,Zellweger,212
20,Sturzenegger,211,20,Sturzenegger,211,20,Sturzenegger,211
21,Rohner,210,21,Rohner,210,21,Rohner,210
22,Signer,208,22,Signer,208,22,Signer,208
23,Huber,207,23,Huber,207,23,Huber,207
24,Bischof,204,24,Bischof,204,24,Bischof,204
25,Frei,200,25,Frei,200,25,Frei,200
26,Bruderer,187,26,Bruderer,187,26,Bruderer,187
26,Sutter,187,26,Sutter,187,26,Sutter,187
28,Fässler,186,28,Fässler,186,28,Fässler,186
29,Schoch,179,29,Schoch,179,29,Schoch,179
30,Manser,166,30,Manser,166,30,Manser,166
31,Baumann,162,31,Baumann,162,31,Baumann,162
32,Inauen,160,32,Inauen,160,32,Inauen,160
33,Schiess,157,33,Schiess,157,33,Schiess,157
34,Sonderegger,156,34,Sonderegger,156,34,Sonderegger,156
34,Steiner,156,34,Steiner,156,34,Steiner,156
36,Niederer,155,36,Niederer,155,36,Niederer,155
37,Bänziger,154,37,Bänziger,154,37,Bänziger,154
37,Bösch,154,37,Bösch,154,37,Bösch,154
39,Walser,150,39,Walser,150,39,Walser,150
39,Züst,150,39,Züst,150,39,Züst,150
41,Dörig,149,41,Dörig,149,41,Dörig,149
41,Hohl,149,41,Hohl,149,41,Hohl,149
43,Mettler,145,43,Mettler,145,43,Mettler,145
44,Zürcher,139,44,Zürcher,139,44,Zürcher,139
45,Fuchs,138,45,Fuchs,138,45,Fuchs,138
46,Lutz,136,46,Lutz,136,46,Lutz,136
