Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Gerber,7168,1,Gerber,7168,1,Gerber,7168
2,Müller,6440,2,Müller,6440,2,Müller,6440
3,Schmid,4628,3,Schmid,4628,3,Schmid,4628
4,Wüthrich,4103,4,Wüthrich,4103,4,Wüthrich,4103
5,Schneider,4087,5,Schneider,4087,5,Schneider,4087
6,Moser,3954,6,Moser,3954,6,Moser,3954
7,Lüthi,3916,7,Lüthi,3916,7,Lüthi,3916
8,Wyss,3681,8,Wyss,3681,8,Wyss,3681
9,Steiner,3474,9,Steiner,3474,9,Steiner,3474
10,Lehmann,3216,10,Lehmann,3216,10,Lehmann,3216
11,Berger,3142,11,Berger,3142,11,Berger,3142
12,Hofer,3054,12,Hofer,3054,12,Hofer,3054
13,Zürcher,2962,13,Zürcher,2962,13,Zürcher,2962
14,Wenger,2944,14,Wenger,2944,14,Wenger,2944
15,Marti,2816,15,Marti,2816,15,Marti,2816
16,Weber,2767,16,Weber,2767,16,Weber,2767
17,Fankhauser,2654,17,Fankhauser,2654,17,Fankhauser,2654
18,Leuenberger,2626,18,Leuenberger,2626,18,Leuenberger,2626
19,Meyer,2602,19,Meyer,2602,19,Meyer,2602
20,Zaugg,2513,20,Zaugg,2513,20,Zaugg,2513
21,Stucki,2511,21,Stucki,2511,21,Stucki,2511
22,Baumann,2438,22,Baumann,2438,22,Baumann,2438
23,Blaser,2386,23,Blaser,2386,23,Blaser,2386
24,Röthlisberger,2326,24,Röthlisberger,2326,24,Röthlisberger,2326
25,Siegenthaler,2317,25,Siegenthaler,2317,25,Siegenthaler,2317
26,Meier,2313,26,Meier,2313,26,Meier,2313
27,Liechti,2302,27,Liechti,2302,27,Liechti,2302
28,Zimmermann,2298,28,Zimmermann,2298,28,Zimmermann,2298
29,Schär,2286,29,Schär,2286,29,Schär,2286
30,Wittwer,2242,30,Wittwer,2242,30,Wittwer,2242
31,Kunz,2192,31,Kunz,2192,31,Kunz,2192
32,Bieri,2179,32,Bieri,2179,32,Bieri,2179
33,Burri,2146,33,Burri,2146,33,Burri,2146
34,Flückiger,2092,34,Flückiger,2092,34,Flückiger,2092
35,Roth,2089,35,Roth,2089,35,Roth,2089
36,Baumgartner,2078,36,Baumgartner,2078,36,Baumgartner,2078
37,Keller,2021,37,Keller,2021,37,Keller,2021
38,Zbinden,1987,38,Zbinden,1987,38,Zbinden,1987
39,Bühler,1979,39,Bühler,1979,39,Bühler,1979
40,Stalder,1973,40,Stalder,1973,40,Stalder,1973
41,Scheidegger,1967,41,Scheidegger,1967,41,Scheidegger,1967
42,Graf,1964,42,Graf,1964,42,Graf,1964
43,Maurer,1917,43,Maurer,1917,43,Maurer,1917
44,Brunner,1907,44,Brunner,1907,44,Brunner,1907
45,Stettler,1878,45,Stettler,1878,45,Stettler,1878
46,Schwab,1861,46,Schwab,1861,46,Schwab,1861
47,Schüpbach,1795,47,Schüpbach,1795,47,Schüpbach,1795
48,Studer,1793,48,Studer,1793,48,Studer,1793
49,Kohler,1782,49,Kohler,1782,49,Kohler,1782
49,Krebs,1782,49,Krebs,1782,49,Krebs,1782
51,Hänni,1780,51,Hänni,1780,51,Hänni,1780
52,Widmer,1777,52,Widmer,1777,52,Widmer,1777
53,Christen,1775,53,Christen,1775,53,Christen,1775
54,Schenk,1744,54,Schenk,1744,54,Schenk,1744
55,Jost,1723,55,Jost,1723,55,Jost,1723
56,Reber,1709,56,Reber,1709,56,Reber,1709
57,Aeschlimann,1682,57,Aeschlimann,1682,57,Aeschlimann,1682
58,Trachsel,1659,58,Trachsel,1659,58,Trachsel,1659
59,Sommer,1641,59,Sommer,1641,59,Sommer,1641
60,Lanz,1632,60,Lanz,1632,60,Lanz,1632
61,Huber,1578,61,Huber,1578,61,Huber,1578
62,Zwahlen,1566,62,Zwahlen,1566,62,Zwahlen,1566
63,Bärtschi,1527,63,Bärtschi,1527,63,Bärtschi,1527
64,Hostettler,1522,64,Hostettler,1522,64,Hostettler,1522
65,Gfeller,1492,65,Gfeller,1492,65,Gfeller,1492
66,Bigler,1482,66,Bigler,1482,66,Bigler,1482
67,Fischer,1469,67,Fischer,1469,67,Fischer,1469
68,Michel,1463,68,Michel,1463,68,Michel,1463
69,Gasser,1462,69,Gasser,1462,69,Gasser,1462
70,Bürki,1456,70,Bürki,1456,70,Bürki,1456
71,Kaufmann,1447,71,Kaufmann,1447,71,Kaufmann,1447
72,Hirschi,1445,72,Hirschi,1445,72,Hirschi,1445
73,Messerli,1441,73,Messerli,1441,73,Messerli,1441
74,Pfister,1430,74,Pfister,1430,74,Pfister,1430
75,Tschanz,1429,75,Tschanz,1429,75,Tschanz,1429
76,Bachmann,1404,76,Bachmann,1404,76,Bachmann,1404
77,Mathys,1387,77,Mathys,1387,77,Mathys,1387
78,Krähenbühl,1334,78,Krähenbühl,1334,78,Krähenbühl,1334
79,Friedli,1324,79,Friedli,1324,79,Friedli,1324
80,Käser,1300,80,Käser,1300,80,Käser,1300
81,Grossenbacher,1273,81,Grossenbacher,1273,81,Grossenbacher,1273
82,Heiniger,1272,82,Heiniger,1272,82,Heiniger,1272
83,Schweizer,1271,83,Schweizer,1271,83,Schweizer,1271
84,Burkhalter,1249,84,Burkhalter,1249,84,Burkhalter,1249
85,Glauser,1245,85,Glauser,1245,85,Glauser,1245
86,Beyeler,1213,86,Beyeler,1213,86,Beyeler,1213
87,Fuhrer,1212,87,Fuhrer,1212,87,Fuhrer,1212
88,Walther,1202,88,Walther,1202,88,Walther,1202
89,Stauffer,1199,89,Stauffer,1199,89,Stauffer,1199
90,Iseli,1194,90,Iseli,1194,90,Iseli,1194
91,Wälti,1183,91,Wälti,1183,91,Wälti,1183
92,Hofmann,1178,92,Hofmann,1178,92,Hofmann,1178
93,von Allmen,1174,93,von Allmen,1174,93,von Allmen,1174
94,Neuenschwander,1162,94,Neuenschwander,1162,94,Neuenschwander,1162
95,Jakob,1151,95,Jakob,1151,95,Jakob,1151
96,Mosimann,1146,96,Mosimann,1146,96,Mosimann,1146
97,Habegger,1145,97,Habegger,1145,97,Habegger,1145
97,Ryser,1145,97,Ryser,1145,97,Ryser,1145
99,Jenni,1143,99,Jenni,1143,99,Jenni,1143
100,Stähli,1142,100,Stähli,1142,100,Stähli,1142
