Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,1171,1,Müller,1171,1,Müller,1171
2,Meier,569,2,Meier,569,2,Meier,569
3,Schmid,517,3,Schmid,517,3,Schmid,517
4,Schneider,509,4,Schneider,509,4,Schneider,509
5,Meyer,503,5,Meyer,503,5,Meyer,503
6,Keller,470,6,Keller,470,6,Keller,470
7,Weber,436,7,Weber,436,7,Weber,436
8,Fischer,377,8,Fischer,377,8,Fischer,377
9,Huber,298,9,Huber,298,9,Huber,298
10,Zimmermann,288,10,Zimmermann,288,10,Zimmermann,288
11,Steiner,261,11,Steiner,261,11,Steiner,261
12,Graf,254,12,Graf,254,12,Graf,254
13,Wyss,251,13,Wyss,251,13,Wyss,251
14,Schweizer,250,14,Schweizer,250,14,Schweizer,250
15,Suter,244,15,Suter,244,15,Suter,244
16,Roth,241,16,Roth,241,16,Roth,241
17,Martin,239,17,Martin,239,17,Martin,239
18,Frei,235,18,Frei,235,18,Frei,235
18,Moser,235,18,Moser,235,18,Moser,235
20,Berger,234,20,Berger,234,20,Berger,234
21,Brunner,233,21,Brunner,233,21,Brunner,233
22,Gerber,230,22,Gerber,230,22,Gerber,230
23,Frey,226,23,Frey,226,23,Frey,226
24,Baumgartner,225,24,Baumgartner,225,24,Baumgartner,225
25,Kaufmann,224,25,Kaufmann,224,25,Kaufmann,224
26,Schaub,222,26,Schaub,222,26,Schaub,222
27,Baumann,219,27,Baumann,219,27,Baumann,219
28,Schmidt,218,28,Schmidt,218,28,Schmidt,218
29,Garcia,217,29,Garcia,217,29,Garcia,217
30,Widmer,214,30,Widmer,214,30,Widmer,214
31,Studer,211,31,Studer,211,31,Studer,211
32,Wagner,208,32,Wagner,208,32,Wagner,208
33,Gashi,203,33,Gashi,203,33,Gashi,203
34,Rodriguez,197,34,Rodriguez,197,34,Rodriguez,197
35,Buser,196,35,Buser,196,35,Buser,196
36,Vogt,194,36,Vogt,194,36,Vogt,194
37,Hofer,191,37,Hofer,191,37,Hofer,191
38,Sahin,186,38,Sahin,186,38,Sahin,186
39,Bachmann,181,39,Bachmann,181,39,Bachmann,181
40,da Silva,179,40,da Silva,179,40,da Silva,179
40,Gasser,179,40,Gasser,179,40,Gasser,179
42,Marti,175,42,Marti,175,42,Marti,175
43,Bühler,173,43,Bühler,173,43,Bühler,173
44,Thommen,170,44,Thommen,170,44,Thommen,170
45,Schwarz,166,45,Schwarz,166,45,Schwarz,166
46,Yilmaz,165,46,Yilmaz,165,46,Yilmaz,165
47,Ferreira,164,47,Ferreira,164,47,Ferreira,164
47,Wirz,164,47,Wirz,164,47,Wirz,164
49,Lopez,155,49,Lopez,155,49,Lopez,155
49,Sutter,155,49,Sutter,155,49,Sutter,155
49,Yildiz,155,49,Yildiz,155,49,Yildiz,155
52,Bürgin,154,52,Bürgin,154,52,Bürgin,154
52,Kunz,154,52,Kunz,154,52,Kunz,154
54,Lehmann,153,54,Lehmann,153,54,Lehmann,153
55,Bucher,152,55,Bucher,152,55,Bucher,152
56,Demir,151,56,Demir,151,56,Demir,151
56,Pereira,151,56,Pereira,151,56,Pereira,151
58,Krasniqi,150,58,Krasniqi,150,58,Krasniqi,150
59,Kaiser,149,59,Kaiser,149,59,Kaiser,149
60,Gonzalez,148,60,Gonzalez,148,60,Gonzalez,148
60,Gysin,148,60,Gysin,148,60,Gysin,148
62,Senn,146,62,Senn,146,62,Senn,146
63,Martinez,145,63,Martinez,145,63,Martinez,145
64,Fernandez,143,64,Fernandez,143,64,Fernandez,143
65,Hartmann,141,65,Hartmann,141,65,Hartmann,141
66,Nguyen,140,66,Nguyen,140,66,Nguyen,140
66,Rudin,140,66,Rudin,140,66,Rudin,140
68,Dogan,139,68,Dogan,139,68,Dogan,139
68,Herzog,139,68,Herzog,139,68,Herzog,139
68,Lüthi,139,68,Lüthi,139,68,Lüthi,139
71,Koch,138,71,Koch,138,71,Koch,138
72,Kaya,136,72,Kaya,136,72,Kaya,136
73,Leuenberger,135,73,Leuenberger,135,73,Leuenberger,135
74,Ammann,134,74,Ammann,134,74,Ammann,134
74,Hänggi,134,74,Hänggi,134,74,Hänggi,134
76,Weiss,131,76,Weiss,131,76,Weiss,131
77,Maurer,130,77,Maurer,130,77,Maurer,130
77,Rodrigues,130,77,Rodrigues,130,77,Rodrigues,130
79,Egli,128,79,Egli,128,79,Egli,128
80,Berisha,127,80,Berisha,127,80,Berisha,127
80,Wenger,127,80,Wenger,127,80,Wenger,127
82,Ademaj,126,82,Ademaj,126,82,Ademaj,126
83,Arnold,124,83,Arnold,124,83,Arnold,124
83,Stalder,124,83,Stalder,124,83,Stalder,124
83,Vogel,124,83,Vogel,124,83,Vogel,124
86,Kohler,122,86,Kohler,122,86,Kohler,122
87,Braun,121,87,Braun,121,87,Braun,121
87,Hess,121,87,Hess,121,87,Hess,121
87,Seiler,121,87,Seiler,121,87,Seiler,121
90,Wolf,120,90,Wolf,120,90,Wolf,120
91,Schaffner,119,91,Schaffner,119,91,Schaffner,119
92,Hauser,118,92,Hauser,118,92,Hauser,118
93,Hofmann,117,93,Hofmann,117,93,Hofmann,117
94,Ali,116,94,Ali,116,94,Ali,116
94,Christen,116,94,Christen,116,94,Christen,116
96,Fuchs,115,96,Fuchs,115,96,Fuchs,115
96,Hug,115,96,Hug,115,96,Hug,115
98,Lang,114,98,Lang,114,98,Lang,114
99,Bajrami,112,99,Bajrami,112,99,Bajrami,112
99,Peter,112,99,Peter,112,99,Peter,112
