Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,da Silva,1630,1,da Silva,1630,1,da Silva,1630
2,Kolly,1173,2,Kolly,1173,2,Kolly,1173
3,Ferreira,1164,3,Ferreira,1164,3,Ferreira,1164
4,Vonlanthen,1056,4,Vonlanthen,1056,4,Vonlanthen,1056
5,Pereira,1042,5,Pereira,1042,5,Pereira,1042
6,Aebischer,1030,6,Aebischer,1030,6,Aebischer,1030
6,Monney,1030,6,Monney,1030,6,Monney,1030
8,Oberson,1022,8,Oberson,1022,8,Oberson,1022
9,Jungo,984,9,Jungo,984,9,Jungo,984
10,dos Santos,965,10,dos Santos,965,10,dos Santos,965
11,Piller,920,11,Piller,920,11,Piller,920
12,Clément,902,12,Clément,902,12,Clément,902
13,Buchs,867,13,Buchs,867,13,Buchs,867
14,Baeriswyl,865,14,Baeriswyl,865,14,Baeriswyl,865
15,Egger,842,15,Egger,842,15,Egger,842
16,Pasquier,828,16,Pasquier,828,16,Pasquier,828
17,Gomes,825,17,Gomes,825,17,Gomes,825
18,Pittet,822,18,Pittet,822,18,Pittet,822
19,Zbinden,809,19,Zbinden,809,19,Zbinden,809
20,Müller,805,20,Müller,805,20,Müller,805
21,Gremaud,800,21,Gremaud,800,21,Gremaud,800
22,Mauron,798,22,Mauron,798,22,Mauron,798
23,Rodrigues,789,23,Rodrigues,789,23,Rodrigues,789
24,Riedo,788,24,Riedo,788,24,Riedo,788
25,Berset,786,25,Berset,786,25,Berset,786
26,Andrey,782,26,Andrey,782,26,Andrey,782
27,Brügger,774,27,Brügger,774,27,Brügger,774
27,Brülhart,774,27,Brülhart,774,27,Brülhart,774
29,Maillard,771,29,Maillard,771,29,Maillard,771
30,Genoud,751,30,Genoud,751,30,Genoud,751
31,Waeber,741,31,Waeber,741,31,Waeber,741
32,Favre,736,32,Favre,736,32,Favre,736
33,Chassot,731,33,Chassot,731,33,Chassot,731
34,Meyer,723,34,Meyer,723,34,Meyer,723
35,Fasel,713,35,Fasel,713,35,Fasel,713
35,Schafer,713,35,Schafer,713,35,Schafer,713
37,Neuhaus,702,37,Neuhaus,702,37,Neuhaus,702
38,Schaller,701,38,Schaller,701,38,Schaller,701
39,Hayoz,700,39,Hayoz,700,39,Hayoz,700
40,Raemy,686,40,Raemy,686,40,Raemy,686
41,Schmutz,685,41,Schmutz,685,41,Schmutz,685
42,Krasniqi,678,42,Krasniqi,678,42,Krasniqi,678
43,Clerc,673,43,Clerc,673,43,Clerc,673
44,Bapst,670,44,Bapst,670,44,Bapst,670
45,Aeby,656,45,Aeby,656,45,Aeby,656
46,Lopes,653,46,Lopes,653,46,Lopes,653
47,Ruffieux,633,47,Ruffieux,633,47,Ruffieux,633
48,Silva,632,48,Silva,632,48,Silva,632
49,Oliveira,625,49,Oliveira,625,49,Oliveira,625
50,Boschung,620,50,Boschung,620,50,Boschung,620
51,Brodard,617,51,Brodard,617,51,Brodard,617
52,Rossier,614,52,Rossier,614,52,Rossier,614
53,Cotting,611,53,Cotting,611,53,Cotting,611
54,Barras,604,54,Barras,604,54,Barras,604
55,Fragnière,599,55,Fragnière,599,55,Fragnière,599
56,Yerly,595,56,Yerly,595,56,Yerly,595
57,Martins,589,57,Martins,589,57,Martins,589
58,Grandjean,582,58,Grandjean,582,58,Grandjean,582
59,Roulin,570,59,Roulin,570,59,Roulin,570
60,Castella,564,60,Castella,564,60,Castella,564
61,Jaquet,555,61,Jaquet,555,61,Jaquet,555
62,Demierre,553,62,Demierre,553,62,Demierre,553
63,Charrière,542,63,Charrière,542,63,Charrière,542
64,Savary,531,64,Savary,531,64,Savary,531
65,Fernandes,528,65,Fernandes,528,65,Fernandes,528
65,Magnin,528,65,Magnin,528,65,Magnin,528
67,Blanc,524,67,Blanc,524,67,Blanc,524
68,Tinguely,521,68,Tinguely,521,68,Tinguely,521
69,Perroud,520,69,Perroud,520,69,Perroud,520
70,Spicher,518,70,Spicher,518,70,Spicher,518
71,Michel,516,71,Michel,516,71,Michel,516
72,Progin,513,72,Progin,513,72,Progin,513
73,Lehmann,511,73,Lehmann,511,73,Lehmann,511
73,Rey,511,73,Rey,511,73,Rey,511
75,Santos,508,75,Santos,508,75,Santos,508
76,Gonçalves,491,76,Gonçalves,491,76,Gonçalves,491
77,Seydoux,489,77,Seydoux,489,77,Seydoux,489
78,Berger,487,78,Berger,487,78,Berger,487
79,Bersier,484,79,Bersier,484,79,Bersier,484
80,Menoud,483,80,Menoud,483,80,Menoud,483
81,Schneuwly,477,81,Schneuwly,477,81,Schneuwly,477
82,Bächler,475,82,Bächler,475,82,Bächler,475
83,Bertschy,473,83,Bertschy,473,83,Bertschy,473
84,Crausaz,468,84,Crausaz,468,84,Crausaz,468
85,Morel,457,85,Morel,457,85,Morel,457
86,Schneider,451,86,Schneider,451,86,Schneider,451
87,Ribeiro,447,87,Ribeiro,447,87,Ribeiro,447
88,Alves,442,88,Alves,442,88,Alves,442
89,Gobet,441,89,Gobet,441,89,Gobet,441
89,Pinto,441,89,Pinto,441,89,Pinto,441
91,Marques,429,91,Marques,429,91,Marques,429
92,Baechler,426,92,Baechler,426,92,Baechler,426
92,Pillonel,426,92,Pillonel,426,92,Pillonel,426
94,Mendes,424,94,Mendes,424,94,Mendes,424
95,Meuwly,421,95,Meuwly,421,95,Meuwly,421
96,da Costa,418,96,da Costa,418,96,da Costa,418
97,Käser,416,97,Käser,416,97,Käser,416
98,Beaud,413,98,Beaud,413,98,Beaud,413
98,Currat,413,98,Currat,413,98,Currat,413
100,Corpataux,410,100,Corpataux,410,100,Corpataux,410
