Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,da Silva,2531,1,da Silva,2531,1,da Silva,2531
2,Ferreira,1748,2,Ferreira,1748,2,Ferreira,1748
3,Pereira,1698,3,Pereira,1698,3,Pereira,1698
4,Rodrigues,1462,4,Rodrigues,1462,4,Rodrigues,1462
5,dos Santos,1337,5,dos Santos,1337,5,dos Santos,1337
6,Garcia,1101,6,Garcia,1101,6,Garcia,1101
7,Rodriguez,963,7,Rodriguez,963,7,Rodriguez,963
8,Lopes,959,8,Lopes,959,8,Lopes,959
9,Fernandes,929,9,Fernandes,929,9,Fernandes,929
10,Gomes,914,10,Gomes,914,10,Gomes,914
11,Marques,900,11,Marques,900,11,Marques,900
12,Pinto,897,12,Pinto,897,12,Pinto,897
13,Alves,887,13,Alves,887,13,Alves,887
14,Martins,853,14,Martins,853,14,Martins,853
15,Gonzalez,842,15,Gonzalez,842,15,Gonzalez,842
16,Martin,831,16,Martin,831,16,Martin,831
17,Ribeiro,818,17,Ribeiro,818,17,Ribeiro,818
18,Oliveira,800,18,Oliveira,800,18,Oliveira,800
19,da Costa,796,19,da Costa,796,19,da Costa,796
20,Silva,781,20,Silva,781,20,Silva,781
21,de Oliveira,753,21,de Oliveira,753,21,de Oliveira,753
21,Fernandez,753,21,Fernandez,753,21,Fernandez,753
23,Lopez,740,23,Lopez,740,23,Lopez,740
24,Martinez,722,24,Martinez,722,24,Martinez,722
25,Teixeira,687,25,Teixeira,687,25,Teixeira,687
26,Müller,668,26,Müller,668,26,Müller,668
27,Perez,647,27,Perez,647,27,Perez,647
28,Gonçalves,645,28,Gonçalves,645,28,Gonçalves,645
29,Santos,638,29,Santos,638,29,Santos,638
30,Costa,635,30,Costa,635,30,Costa,635
31,Nguyen,628,31,Nguyen,628,31,Nguyen,628
32,Favre,625,32,Favre,625,32,Favre,625
33,Diallo,551,33,Diallo,551,33,Diallo,551
34,Dias,540,34,Dias,540,34,Dias,540
35,Sanchez,527,35,Sanchez,527,35,Sanchez,527
36,Correia,526,36,Correia,526,36,Correia,526
37,Carvalho,515,37,Carvalho,515,37,Carvalho,515
37,de Almeida,515,37,de Almeida,515,37,de Almeida,515
39,Monteiro,490,39,Monteiro,490,39,Monteiro,490
40,de Jesus,487,40,de Jesus,487,40,de Jesus,487
41,Cardoso,484,41,Cardoso,484,41,Cardoso,484
42,Almeida,466,42,Almeida,466,42,Almeida,466
43,Gomez,456,43,Gomez,456,43,Gomez,456
44,Mendes,448,44,Mendes,448,44,Mendes,448
44,Meyer,448,44,Meyer,448,44,Meyer,448
46,Soares,441,46,Soares,441,46,Soares,441
47,Mohamed,429,47,Mohamed,429,47,Mohamed,429
48,Moreira,411,48,Moreira,411,48,Moreira,411
49,de Sousa,409,49,de Sousa,409,49,de Sousa,409
50,Bajrami,384,50,Bajrami,384,50,Bajrami,384
51,Ramos,378,51,Ramos,378,51,Ramos,378
52,Duarte,368,52,Duarte,368,52,Duarte,368
53,Alvarez,363,53,Alvarez,363,53,Alvarez,363
54,Ahmed,357,54,Ahmed,357,54,Ahmed,357
55,Vieira,345,55,Vieira,345,55,Vieira,345
56,Nunes,333,56,Nunes,333,56,Nunes,333
57,Weber,329,57,Weber,329,57,Weber,329
58,Keller,327,58,Keller,327,58,Keller,327
59,Castro,318,59,Castro,318,59,Castro,318
60,Schmid,315,60,Schmid,315,60,Schmid,315
61,Rey,312,61,Rey,312,61,Rey,312
61,Schneider,312,61,Schneider,312,61,Schneider,312
61,Wang,312,61,Wang,312,61,Wang,312
64,Machado,307,64,Machado,307,64,Machado,307
64,Torres,307,64,Torres,307,64,Torres,307
66,Blanc,302,66,Blanc,302,66,Blanc,302
67,Pittet,299,67,Pittet,299,67,Pittet,299
68,Rexhepi,298,68,Rexhepi,298,68,Rexhepi,298
69,Shabani,296,69,Shabani,296,69,Shabani,296
70,Fischer,289,70,Fischer,289,70,Fischer,289
71,Ruiz,284,71,Ruiz,284,71,Ruiz,284
72,Ali,281,72,Ali,281,72,Ali,281
72,Khan,281,72,Khan,281,72,Khan,281
74,Magnin,280,74,Magnin,280,74,Magnin,280
75,Clerc,279,75,Clerc,279,75,Clerc,279
76,Moreno,275,76,Moreno,275,76,Moreno,275
77,Borges,269,77,Borges,269,77,Borges,269
78,Rochat,266,78,Rochat,266,78,Rochat,266
79,Sousa,261,79,Sousa,261,79,Sousa,261
80,Li,260,80,Li,260,80,Li,260
81,Diaz,257,81,Diaz,257,81,Diaz,257
82,Rossi,249,82,Rossi,249,82,Rossi,249
82,Rossier,249,82,Rossier,249,82,Rossier,249
84,Batista,248,84,Batista,248,84,Batista,248
85,Berger,245,85,Berger,245,85,Berger,245
85,Hernandez,245,85,Hernandez,245,85,Hernandez,245
87,Morel,244,87,Morel,244,87,Morel,244
88,Vazquez,243,88,Vazquez,243,88,Vazquez,243
89,Cruz,240,89,Cruz,240,89,Cruz,240
90,Meier,239,90,Meier,239,90,Meier,239
90,Ramadani,239,90,Ramadani,239,90,Ramadani,239
92,Barbosa,237,92,Barbosa,237,92,Barbosa,237
93,Reymond,234,93,Reymond,234,93,Reymond,234
94,Chappuis,233,94,Chappuis,233,94,Chappuis,233
94,Zhang,233,94,Zhang,233,94,Zhang,233
96,Gaillard,231,96,Gaillard,231,96,Gaillard,231
97,Singh,228,97,Singh,228,97,Singh,228
98,Esteves,226,98,Esteves,226,98,Esteves,226
99,Dubois,225,99,Dubois,225,99,Dubois,225
100,Michel,223,100,Michel,223,100,Michel,223
