Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,464,1,Müller,464,1,Müller,464
2,Landolt,449,2,Landolt,449,2,Landolt,449
3,Hefti,425,3,Hefti,425,3,Hefti,425
4,Marti,382,4,Marti,382,4,Marti,382
5,Fischli,330,5,Fischli,330,5,Fischli,330
6,Rhyner,326,6,Rhyner,326,6,Rhyner,326
7,Zweifel,307,7,Zweifel,307,7,Zweifel,307
8,Leuzinger,296,8,Leuzinger,296,8,Leuzinger,296
9,Weber,277,9,Weber,277,9,Weber,277
10,Elmer,268,10,Elmer,268,10,Elmer,268
11,Hauser,248,11,Hauser,248,11,Hauser,248
11,Hösli,248,11,Hösli,248,11,Hösli,248
13,Zimmermann,245,13,Zimmermann,245,13,Zimmermann,245
14,Stüssi,235,14,Stüssi,235,14,Stüssi,235
15,Kamm,226,15,Kamm,226,15,Kamm,226
16,Luchsinger,223,16,Luchsinger,223,16,Luchsinger,223
17,Menzi,213,17,Menzi,213,17,Menzi,213
18,Schiesser,194,18,Schiesser,194,18,Schiesser,194
19,Dürst,191,19,Dürst,191,19,Dürst,191
20,Jenny,190,20,Jenny,190,20,Jenny,190
21,Gallati,181,21,Gallati,181,21,Gallati,181
22,Schmid,163,22,Schmid,163,22,Schmid,163
23,Tschudi,162,23,Tschudi,162,23,Tschudi,162
24,Schuler,160,24,Schuler,160,24,Schuler,160
25,Schneider,157,25,Schneider,157,25,Schneider,157
26,Schnyder,153,26,Schnyder,153,26,Schnyder,153
27,Feldmann,145,27,Feldmann,145,27,Feldmann,145
28,Blumer,142,28,Blumer,142,28,Blumer,142
29,Baumgartner,140,29,Baumgartner,140,29,Baumgartner,140
29,Bäbler,140,29,Bäbler,140,29,Bäbler,140
31,Steinmann,136,31,Steinmann,136,31,Steinmann,136
32,Ramadani,135,32,Ramadani,135,32,Ramadani,135
32,Streiff,135,32,Streiff,135,32,Streiff,135
34,Meier,134,34,Meier,134,34,Meier,134
35,Gisler,123,35,Gisler,123,35,Gisler,123
35,Stucki,123,35,Stucki,123,35,Stucki,123
37,Steiner,113,37,Steiner,113,37,Steiner,113
38,Schwitter,112,38,Schwitter,112,38,Schwitter,112
39,Noser,110,39,Noser,110,39,Noser,110
40,da Silva,106,40,da Silva,106,40,da Silva,106
41,Schindler,102,41,Schindler,102,41,Schindler,102
42,Züger,99,42,Züger,99,42,Züger,99
43,Knobel,95,43,Knobel,95,43,Knobel,95
43,Thoma,95,43,Thoma,95,43,Thoma,95
45,Küng,93,45,Küng,93,45,Küng,93
46,Hämmerli,90,46,Hämmerli,90,46,Hämmerli,90
47,Beglinger,87,47,Beglinger,87,47,Beglinger,87
48,Kistler,84,48,Kistler,84,48,Kistler,84
49,Aebli,83,49,Aebli,83,49,Aebli,83
49,Asani,83,49,Asani,83,49,Asani,83
49,Ferreira,83,49,Ferreira,83,49,Ferreira,83
49,Keller,83,49,Keller,83,49,Keller,83
53,Freuler,82,53,Freuler,82,53,Freuler,82
54,Mächler,81,54,Mächler,81,54,Mächler,81
55,Kubli,80,55,Kubli,80,55,Kubli,80
55,Kundert,80,55,Kundert,80,55,Kundert,80
57,Jud,79,57,Jud,79,57,Jud,79
58,Brunner,78,58,Brunner,78,58,Brunner,78
59,Bühler,75,59,Bühler,75,59,Bühler,75
60,Vögeli,74,60,Vögeli,74,60,Vögeli,74
61,Oswald,71,61,Oswald,71,61,Oswald,71
62,Lienhard,70,62,Lienhard,70,62,Lienhard,70
63,Heer,69,63,Heer,69,63,Heer,69
64,Aschwanden,68,64,Aschwanden,68,64,Aschwanden,68
64,Kälin,68,64,Kälin,68,64,Kälin,68
64,Trümpi,68,64,Trümpi,68,64,Trümpi,68
67,Huber,67,67,Huber,67,67,Huber,67
68,Giger,65,68,Giger,65,68,Giger,65
69,Lütschg,64,69,Lütschg,64,69,Lütschg,64
69,Vogel,64,69,Vogel,64,69,Vogel,64
71,Pfeiffer,63,71,Pfeiffer,63,71,Pfeiffer,63
71,Zwicky,63,71,Zwicky,63,71,Zwicky,63
73,Glarner,62,73,Glarner,62,73,Glarner,62
73,Rüegg,62,73,Rüegg,62,73,Rüegg,62
75,Krasniqi,61,75,Krasniqi,61,75,Krasniqi,61
75,Schrepfer,61,75,Schrepfer,61,75,Schrepfer,61
77,Schlittler,60,77,Schlittler,60,77,Schlittler,60
77,Zentner,60,77,Zentner,60,77,Zentner,60
79,Fischer,58,79,Fischer,58,79,Fischer,58
79,Stauffacher,58,79,Stauffacher,58,79,Stauffacher,58
79,Wild,58,79,Wild,58,79,Wild,58
79,Zopfi,58,79,Zopfi,58,79,Zopfi,58
83,Widmer,57,83,Widmer,57,83,Widmer,57
84,Becker,56,84,Becker,56,84,Becker,56
84,Disch,56,84,Disch,56,84,Disch,56
84,Pereira,56,84,Pereira,56,84,Pereira,56
84,Tresch,56,84,Tresch,56,84,Tresch,56
84,Winteler,56,84,Winteler,56,84,Winteler,56
89,Laager,54,89,Laager,54,89,Laager,54
89,Lehmann,54,89,Lehmann,54,89,Lehmann,54
91,Eberle,53,91,Eberle,53,91,Eberle,53
91,Roth,53,91,Roth,53,91,Roth,53
93,Figi,52,93,Figi,52,93,Figi,52
93,Hunold,52,93,Hunold,52,93,Hunold,52
95,Freitag,51,95,Freitag,51,95,Freitag,51
95,Michel,51,95,Michel,51,95,Michel,51
95,Rodrigues,51,95,Rodrigues,51,95,Rodrigues,51
98,Grob,50,98,Grob,50,98,Grob,50
98,Krieg,50,98,Krieg,50,98,Krieg,50
98,Rohr,50,98,Rohr,50,98,Rohr,50
