Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Schmid,1169,1,Schmid,1169,1,Schmid,1169
2,Müller,1131,2,Müller,1131,2,Müller,1131
3,Derungs,738,3,Derungs,738,3,Derungs,738
4,Hartmann,735,4,Hartmann,735,4,Hartmann,735
5,Meier,687,5,Meier,687,5,Meier,687
6,Caviezel,670,6,Caviezel,670,6,Caviezel,670
7,Caduff,612,7,Caduff,612,7,Caduff,612
8,Casanova,603,8,Casanova,603,8,Casanova,603
9,Buchli,594,9,Buchli,594,9,Buchli,594
9,da Silva,594,9,da Silva,594,9,da Silva,594
11,Camenisch,587,11,Camenisch,587,11,Camenisch,587
12,Crameri,507,12,Crameri,507,12,Crameri,507
13,Jäger,461,13,Jäger,461,13,Jäger,461
14,Keller,431,14,Keller,431,14,Keller,431
15,Weber,428,15,Weber,428,15,Weber,428
16,Gartmann,403,16,Gartmann,403,16,Gartmann,403
17,Arpagaus,401,17,Arpagaus,401,17,Arpagaus,401
18,Maissen,395,18,Maissen,395,18,Maissen,395
19,Casutt,394,19,Casutt,394,19,Casutt,394
20,Giger,391,20,Giger,391,20,Giger,391
21,Ferreira,387,21,Ferreira,387,21,Ferreira,387
21,Pereira,387,21,Pereira,387,21,Pereira,387
21,Schneider,387,21,Schneider,387,21,Schneider,387
24,Joos,384,24,Joos,384,24,Joos,384
25,Conrad,366,25,Conrad,366,25,Conrad,366
26,Cavegn,353,26,Cavegn,353,26,Cavegn,353
27,Capaul,351,27,Capaul,351,27,Capaul,351
28,Moser,339,28,Moser,339,28,Moser,339
29,Willi,332,29,Willi,332,29,Willi,332
30,Giovanoli,330,30,Giovanoli,330,30,Giovanoli,330
31,Caminada,329,31,Caminada,329,31,Caminada,329
32,Steiner,328,32,Steiner,328,32,Steiner,328
33,Bühler,319,33,Bühler,319,33,Bühler,319
34,Flütsch,312,34,Flütsch,312,34,Flütsch,312
34,Wolf,312,34,Wolf,312,34,Wolf,312
36,Zimmermann,311,36,Zimmermann,311,36,Zimmermann,311
37,Thöny,309,37,Thöny,309,37,Thöny,309
38,Pfister,308,38,Pfister,308,38,Pfister,308
38,Spescha,308,38,Spescha,308,38,Spescha,308
40,Battaglia,306,40,Battaglia,306,40,Battaglia,306
41,Riedi,301,41,Riedi,301,41,Riedi,301
42,Alig,297,42,Alig,297,42,Alig,297
43,Brunner,289,43,Brunner,289,43,Brunner,289
44,Fischer,288,44,Fischer,288,44,Fischer,288
44,Meyer,288,44,Meyer,288,44,Meyer,288
46,Bundi,284,46,Bundi,284,46,Bundi,284
47,Blumenthal,282,47,Blumenthal,282,47,Blumenthal,282
48,Mathis,281,48,Mathis,281,48,Mathis,281
49,Gruber,280,49,Gruber,280,49,Gruber,280
49,Marugg,280,49,Marugg,280,49,Marugg,280
51,Albin,274,51,Albin,274,51,Albin,274
52,dos Santos,271,52,dos Santos,271,52,dos Santos,271
53,Gredig,270,53,Gredig,270,53,Gredig,270
53,Huber,270,53,Huber,270,53,Huber,270
55,Schlegel,266,55,Schlegel,266,55,Schlegel,266
56,Rodrigues,264,56,Rodrigues,264,56,Rodrigues,264
57,Costa,263,57,Costa,263,57,Costa,263
58,Berther,261,58,Berther,261,58,Berther,261
58,Sutter,261,58,Sutter,261,58,Sutter,261
60,Fernandes,259,60,Fernandes,259,60,Fernandes,259
61,Egli,253,61,Egli,253,61,Egli,253
62,Venzin,251,62,Venzin,251,62,Venzin,251
63,Deplazes,249,63,Deplazes,249,63,Deplazes,249
63,Koch,249,63,Koch,249,63,Koch,249
65,Frei,248,65,Frei,248,65,Frei,248
65,Krättli,248,65,Krättli,248,65,Krättli,248
67,Bärtsch,246,67,Bärtsch,246,67,Bärtsch,246
68,Coray,245,68,Coray,245,68,Coray,245
68,Kessler,245,68,Kessler,245,68,Kessler,245
70,Schmidt,241,70,Schmidt,241,70,Schmidt,241
71,Graf,240,71,Graf,240,71,Graf,240
72,Hug,236,72,Hug,236,72,Hug,236
73,Roffler,234,73,Roffler,234,73,Roffler,234
74,Caluori,233,74,Caluori,233,74,Caluori,233
74,Decurtins,233,74,Decurtins,233,74,Decurtins,233
74,Walser,233,74,Walser,233,74,Walser,233
77,Solèr,231,77,Solèr,231,77,Solèr,231
78,Cavelti,227,78,Cavelti,227,78,Cavelti,227
78,Mark,227,78,Mark,227,78,Mark,227
78,Michel,227,78,Michel,227,78,Michel,227
78,Zinsli,227,78,Zinsli,227,78,Zinsli,227
82,Cantieni,226,82,Cantieni,226,82,Cantieni,226
82,Hunger,226,82,Hunger,226,82,Hunger,226
84,Kohler,225,84,Kohler,225,84,Kohler,225
85,Fausch,216,85,Fausch,216,85,Fausch,216
85,Jörg,216,85,Jörg,216,85,Jörg,216
87,Monn,215,87,Monn,215,87,Monn,215
87,Oswald,215,87,Oswald,215,87,Oswald,215
89,Ambühl,213,89,Ambühl,213,89,Ambühl,213
89,Lutz,213,89,Lutz,213,89,Lutz,213
91,Jenal,212,91,Jenal,212,91,Jenal,212
91,Sprecher,212,91,Sprecher,212,91,Sprecher,212
93,Tscharner,210,93,Tscharner,210,93,Tscharner,210
94,Roth,209,94,Roth,209,94,Roth,209
94,Wyss,209,94,Wyss,209,94,Wyss,209
96,Deflorin,207,96,Deflorin,207,96,Deflorin,207
97,Bearth,204,97,Bearth,204,97,Bearth,204
97,Felix,204,97,Felix,204,97,Felix,204
99,Beeli,203,99,Beeli,203,99,Beeli,203
100,Schwarz,200,100,Schwarz,200,100,Schwarz,200
