Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Fleury,506,1,Fleury,506,1,Fleury,506
2,Cattin,443,2,Cattin,443,2,Cattin,443
3,Chételat,442,3,Chételat,442,3,Chételat,442
4,Willemin,427,4,Willemin,427,4,Willemin,427
5,Boillat,423,5,Boillat,423,5,Boillat,423
6,Froidevaux,419,6,Froidevaux,419,6,Froidevaux,419
7,Lachat,409,7,Lachat,409,7,Lachat,409
8,Montavon,334,8,Montavon,334,8,Montavon,334
9,Charmillot,327,9,Charmillot,327,9,Charmillot,327
10,Schaller,318,10,Schaller,318,10,Schaller,318
11,Beuret,305,11,Beuret,305,11,Beuret,305
12,Vallat,302,12,Vallat,302,12,Vallat,302
13,Girardin,296,13,Girardin,296,13,Girardin,296
14,Gerber,293,14,Gerber,293,14,Gerber,293
15,Rebetez,273,15,Rebetez,273,15,Rebetez,273
16,Beuchat,251,16,Beuchat,251,16,Beuchat,251
17,Gigon,246,17,Gigon,246,17,Gigon,246
18,Erard,241,18,Erard,241,18,Erard,241
19,Aubry,228,19,Aubry,228,19,Aubry,228
20,Frésard,227,20,Frésard,227,20,Frésard,227
21,Meyer,226,21,Meyer,226,21,Meyer,226
21,Rais,226,21,Rais,226,21,Rais,226
23,Voisard,222,23,Voisard,222,23,Voisard,222
24,Chappuis,213,24,Chappuis,213,24,Chappuis,213
25,Joliat,205,25,Joliat,205,25,Joliat,205
26,Chèvre,203,26,Chèvre,203,26,Chèvre,203
26,Juillerat,203,26,Juillerat,203,26,Juillerat,203
28,Chapuis,201,28,Chapuis,201,28,Chapuis,201
29,Marchand,198,29,Marchand,198,29,Marchand,198
30,Donzé,196,30,Donzé,196,30,Donzé,196
31,Frund,194,31,Frund,194,31,Frund,194
32,Theurillat,191,32,Theurillat,191,32,Theurillat,191
33,Maître,186,33,Maître,186,33,Maître,186
34,Lovis,185,34,Lovis,185,34,Lovis,185
35,Koller,184,35,Koller,184,35,Koller,184
36,Schaffter,181,36,Schaffter,181,36,Schaffter,181
37,Gogniat,179,37,Gogniat,179,37,Gogniat,179
37,Riat,179,37,Riat,179,37,Riat,179
39,Marquis,175,39,Marquis,175,39,Marquis,175
39,Rérat,175,39,Rérat,175,39,Rérat,175
41,Christe,174,41,Christe,174,41,Christe,174
42,Buchwalder,172,42,Buchwalder,172,42,Buchwalder,172
43,Queloz,169,43,Queloz,169,43,Queloz,169
44,Jobin,166,44,Jobin,166,44,Jobin,166
45,Farine,165,45,Farine,165,45,Farine,165
46,Kohler,163,46,Kohler,163,46,Kohler,163
47,Brahier,162,47,Brahier,162,47,Brahier,162
47,Seuret,162,47,Seuret,162,47,Seuret,162
49,Choffat,161,49,Choffat,161,49,Choffat,161
49,Choulat,161,49,Choulat,161,49,Choulat,161
49,Vuillaume,161,49,Vuillaume,161,49,Vuillaume,161
52,Comte,156,52,Comte,156,52,Comte,156
52,Petignat,156,52,Petignat,156,52,Petignat,156
54,Kottelat,155,54,Kottelat,155,54,Kottelat,155
55,Crelier,154,55,Crelier,154,55,Crelier,154
56,Bron,153,56,Bron,153,56,Bron,153
57,Bourquard,151,57,Bourquard,151,57,Bourquard,151
58,Cerf,150,58,Cerf,150,58,Cerf,150
59,Berberat,148,59,Berberat,148,59,Berberat,148
59,Ribeaud,148,59,Ribeaud,148,59,Ribeaud,148
61,Jolidon,147,61,Jolidon,147,61,Jolidon,147
62,da Silva,146,62,da Silva,146,62,da Silva,146
62,Gigandet,146,62,Gigandet,146,62,Gigandet,146
64,Comment,142,64,Comment,142,64,Comment,142
65,Müller,140,65,Müller,140,65,Müller,140
66,Studer,136,66,Studer,136,66,Studer,136
67,Baume,134,67,Baume,134,67,Baume,134
67,Maillard,134,67,Maillard,134,67,Maillard,134
69,Cortat,132,69,Cortat,132,69,Cortat,132
69,Dominé,132,69,Dominé,132,69,Dominé,132
71,Broquet,131,71,Broquet,131,71,Broquet,131
71,Michel,131,71,Michel,131,71,Michel,131
73,Ackermann,128,73,Ackermann,128,73,Ackermann,128
74,Girard,126,74,Girard,126,74,Girard,126
74,Simon,126,74,Simon,126,74,Simon,126
74,Wermeille,126,74,Wermeille,126,74,Wermeille,126
77,Monnerat,124,77,Monnerat,124,77,Monnerat,124
78,Rossé,123,78,Rossé,123,78,Rossé,123
78,Roth,123,78,Roth,123,78,Roth,123
78,Schaffner,123,78,Schaffner,123,78,Schaffner,123
81,Chavanne,122,81,Chavanne,122,81,Chavanne,122
81,Maitre,122,81,Maitre,122,81,Maitre,122
81,Stadelmann,122,81,Stadelmann,122,81,Stadelmann,122
84,Fridez,119,84,Fridez,119,84,Fridez,119
84,Hulmann,119,84,Hulmann,119,84,Hulmann,119
84,Zuber,119,84,Zuber,119,84,Zuber,119
87,Humair,117,87,Humair,117,87,Humair,117
88,Schneider,116,88,Schneider,116,88,Schneider,116
89,Paratte,115,89,Paratte,115,89,Paratte,115
90,Joray,114,90,Joray,114,90,Joray,114
90,Oeuvray,114,90,Oeuvray,114,90,Oeuvray,114
90,Voirol,114,90,Voirol,114,90,Voirol,114
93,Guélat,111,93,Guélat,111,93,Guélat,111
93,Miserez,111,93,Miserez,111,93,Miserez,111
93,Piquerez,111,93,Piquerez,111,93,Piquerez,111
96,Migy,110,96,Migy,110,96,Migy,110
96,Odiet,110,96,Odiet,110,96,Odiet,110
98,Crétin,109,98,Crétin,109,98,Crétin,109
99,Theubet,108,99,Theubet,108,99,Theubet,108
100,Monnin,106,100,Monnin,106,100,Monnin,106
