Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,4800,1,Müller,4800,1,Müller,4800
2,Bucher,3771,2,Bucher,3771,2,Bucher,3771
3,Meier,2795,3,Meier,2795,3,Meier,2795
4,Schmid,2110,4,Schmid,2110,4,Schmid,2110
5,Kaufmann,2087,5,Kaufmann,2087,5,Kaufmann,2087
6,Fischer,1985,6,Fischer,1985,6,Fischer,1985
7,Portmann,1874,7,Portmann,1874,7,Portmann,1874
8,Bachmann,1725,8,Bachmann,1725,8,Bachmann,1725
9,Huber,1716,9,Huber,1716,9,Huber,1716
10,Bieri,1703,10,Bieri,1703,10,Bieri,1703
11,Häfliger,1699,11,Häfliger,1699,11,Häfliger,1699
12,Stadelmann,1647,12,Stadelmann,1647,12,Stadelmann,1647
13,Arnold,1642,13,Arnold,1642,13,Arnold,1642
14,Wicki,1637,14,Wicki,1637,14,Wicki,1637
15,Felder,1613,15,Felder,1613,15,Felder,1613
15,Meyer,1613,15,Meyer,1613,15,Meyer,1613
17,Emmenegger,1601,17,Emmenegger,1601,17,Emmenegger,1601
18,Koch,1580,18,Koch,1580,18,Koch,1580
19,Zemp,1575,19,Zemp,1575,19,Zemp,1575
20,Vogel,1549,20,Vogel,1549,20,Vogel,1549
21,Stalder,1468,21,Stalder,1468,21,Stalder,1468
22,Lustenberger,1444,22,Lustenberger,1444,22,Lustenberger,1444
23,Birrer,1414,23,Birrer,1414,23,Birrer,1414
24,Steiner,1350,24,Steiner,1350,24,Steiner,1350
25,Bühler,1298,25,Bühler,1298,25,Bühler,1298
26,Zimmermann,1270,26,Zimmermann,1270,26,Zimmermann,1270
27,Amrein,1243,27,Amrein,1243,27,Amrein,1243
28,Brunner,1236,28,Brunner,1236,28,Brunner,1236
29,Lötscher,1218,29,Lötscher,1218,29,Lötscher,1218
30,Burri,1163,30,Burri,1163,30,Burri,1163
31,Bühlmann,1141,31,Bühlmann,1141,31,Bühlmann,1141
32,Wyss,1132,32,Wyss,1132,32,Wyss,1132
33,Furrer,1121,33,Furrer,1121,33,Furrer,1121
34,Bättig,1114,34,Bättig,1114,34,Bättig,1114
35,Erni,1105,35,Erni,1105,35,Erni,1105
36,Egli,1103,36,Egli,1103,36,Egli,1103
37,Kunz,1099,37,Kunz,1099,37,Kunz,1099
38,Renggli,1081,38,Renggli,1081,38,Renggli,1081
39,Lang,1064,39,Lang,1064,39,Lang,1064
40,Hodel,1061,40,Hodel,1061,40,Hodel,1061
41,Peter,1041,41,Peter,1041,41,Peter,1041
42,Achermann,1038,42,Achermann,1038,42,Achermann,1038
43,Kurmann,1017,43,Kurmann,1017,43,Kurmann,1017
44,Studer,1012,44,Studer,1012,44,Studer,1012
45,Krummenacher,991,45,Krummenacher,991,45,Krummenacher,991
46,Weber,972,46,Weber,972,46,Weber,972
47,Fuchs,962,47,Fuchs,962,47,Fuchs,962
48,Roos,951,48,Roos,951,48,Roos,951
49,Muff,947,49,Muff,947,49,Muff,947
50,Widmer,941,50,Widmer,941,50,Widmer,941
51,Zihlmann,934,51,Zihlmann,934,51,Zihlmann,934
