Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,da Silva,1116,1,da Silva,1116,1,da Silva,1116
2,Ferreira,725,2,Ferreira,725,2,Ferreira,725
3,dos Santos,637,3,dos Santos,637,3,dos Santos,637
4,Pereira,553,4,Pereira,553,4,Pereira,553
5,Jeanneret,513,5,Jeanneret,513,5,Jeanneret,513
6,Dubois,504,6,Dubois,504,6,Dubois,504
7,Gomes,464,7,Gomes,464,7,Gomes,464
8,Jacot,407,8,Jacot,407,8,Jacot,407
9,Rodrigues,383,9,Rodrigues,383,9,Rodrigues,383
10,Oliveira,370,10,Oliveira,370,10,Oliveira,370
11,Alves,367,11,Alves,367,11,Alves,367
11,Perret,367,11,Perret,367,11,Perret,367
13,Leuba,328,13,Leuba,328,13,Leuba,328
14,da Costa,306,14,da Costa,306,14,da Costa,306
14,Marques,306,14,Marques,306,14,Marques,306
16,Gonçalves,301,16,Gonçalves,301,16,Gonçalves,301
17,Stauffer,299,17,Stauffer,299,17,Stauffer,299
18,Gerber,298,18,Gerber,298,18,Gerber,298
18,Müller,298,18,Müller,298,18,Müller,298
20,Fernandes,297,20,Fernandes,297,20,Fernandes,297
21,Robert,296,21,Robert,296,21,Robert,296
22,Favre,290,22,Favre,290,22,Favre,290
22,Robert-Nicoud,290,22,Robert-Nicoud,290,22,Robert-Nicoud,290
24,Martins,270,24,Martins,270,24,Martins,270
25,Lopes,268,25,Lopes,268,25,Lopes,268
26,Berger,266,26,Berger,266,26,Berger,266
26,Schneider,266,26,Schneider,266,26,Schneider,266
28,de Oliveira,265,28,de Oliveira,265,28,de Oliveira,265
29,Meyer,264,29,Meyer,264,29,Meyer,264
30,Perrin,260,30,Perrin,260,30,Perrin,260
31,Jaquet,259,31,Jaquet,259,31,Jaquet,259
32,Geiser,254,32,Geiser,254,32,Geiser,254
33,Monnier,253,33,Monnier,253,33,Monnier,253
34,Bourquin,251,34,Bourquin,251,34,Bourquin,251
34,Racine,251,34,Racine,251,34,Racine,251
36,Moreira,248,36,Moreira,248,36,Moreira,248
