Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Odermatt,1463,1,Odermatt,1463,1,Odermatt,1463
2,Niederberger,922,2,Niederberger,922,2,Niederberger,922
3,Christen,772,3,Christen,772,3,Christen,772
4,Barmettler,654,4,Barmettler,654,4,Barmettler,654
5,Mathis,541,5,Mathis,541,5,Mathis,541
6,Käslin,494,6,Käslin,494,6,Käslin,494
7,Zimmermann,463,7,Zimmermann,463,7,Zimmermann,463
8,Achermann,427,8,Achermann,427,8,Achermann,427
9,Würsch,421,9,Würsch,421,9,Würsch,421
10,Blättler,393,10,Blättler,393,10,Blättler,393
11,Waser,363,11,Waser,363,11,Waser,363
12,Müller,352,12,Müller,352,12,Müller,352
13,Murer,337,13,Murer,337,13,Murer,337
14,Gander,328,14,Gander,328,14,Gander,328
15,Lussi,324,15,Lussi,324,15,Lussi,324
16,Durrer,307,16,Durrer,307,16,Durrer,307
17,Zumbühl,305,17,Zumbühl,305,17,Zumbühl,305
18,Gabriel,275,18,Gabriel,275,18,Gabriel,275
19,Amstutz,274,19,Amstutz,274,19,Amstutz,274
20,Scheuber,245,20,Scheuber,245,20,Scheuber,245
21,Näpflin,238,21,Näpflin,238,21,Näpflin,238
22,Bucher,222,22,Bucher,222,22,Bucher,222
23,Amstad,221,23,Amstad,221,23,Amstad,221
24,Keiser,211,24,Keiser,211,24,Keiser,211
25,Wyrsch,184,25,Wyrsch,184,25,Wyrsch,184
26,Frank,171,26,Frank,171,26,Frank,171
27,Ambauen,168,27,Ambauen,168,27,Ambauen,168
28,Arnold,161,28,Arnold,161,28,Arnold,161
28,Imboden,161,28,Imboden,161,28,Imboden,161
30,Joller,154,30,Joller,154,30,Joller,154
31,Liem,149,31,Liem,149,31,Liem,149
32,Gut,144,32,Gut,144,32,Gut,144
32,Meier,144,32,Meier,144,32,Meier,144
34,Bircher,143,34,Bircher,143,34,Bircher,143
35,Baumgartner,140,35,Baumgartner,140,35,Baumgartner,140
36,Schmid,137,36,Schmid,137,36,Schmid,137
37,Fischer,127,37,Fischer,127,37,Fischer,127
38,Hess,126,38,Hess,126,38,Hess,126
39,von Holzen,120,39,von Holzen,120,39,von Holzen,120
40,Kaiser,119,40,Kaiser,119,40,Kaiser,119
41,Schuler,117,41,Schuler,117,41,Schuler,117
42,Rohrer,115,42,Rohrer,115,42,Rohrer,115
43,Steiner,114,43,Steiner,114,43,Steiner,114
44,Risi,113,44,Risi,113,44,Risi,113
45,Gisler,108,45,Gisler,108,45,Gisler,108
46,Flühler,103,46,Flühler,103,46,Flühler,103
47,Bissig,99,47,Bissig,99,47,Bissig,99
47,Hurschler,99,47,Hurschler,99,47,Hurschler,99
49,Meyer,94,49,Meyer,94,49,Meyer,94
50,Keller,90,50,Keller,90,50,Keller,90
50,Weber,90,50,Weber,90,50,Weber,90
52,Businger,89,52,Businger,89,52,Businger,89
53,Flury,88,53,Flury,88,53,Flury,88
53,Wyss,88,53,Wyss,88,53,Wyss,88
55,von Büren,87,55,von Büren,87,55,von Büren,87
56,Birrer,86,56,Birrer,86,56,Birrer,86
57,Aschwanden,84,57,Aschwanden,84,57,Aschwanden,84
57,Bachmann,84,57,Bachmann,84,57,Bachmann,84
57,Stalder,84,57,Stalder,84,57,Stalder,84
60,Vogel,83,60,Vogel,83,60,Vogel,83
61,Kaufmann,82,61,Kaufmann,82,61,Kaufmann,82
62,Huber,81,62,Huber,81,62,Huber,81
62,Wagner,81,62,Wagner,81,62,Wagner,81
64,Zwyssig,79,64,Zwyssig,79,64,Zwyssig,79
65,Bühlmann,77,65,Bühlmann,77,65,Bühlmann,77
66,Walker,76,66,Walker,76,66,Walker,76
67,Koch,75,67,Koch,75,67,Koch,75
68,Herger,74,68,Herger,74,68,Herger,74
68,Stöckli,74,68,Stöckli,74,68,Stöckli,74
68,von Rotz,74,68,von Rotz,74,68,von Rotz,74
71,Bühler,72,71,Bühler,72,71,Bühler,72
72,Baumann,71,72,Baumann,71,72,Baumann,71
72,Filliger,71,72,Filliger,71,72,Filliger,71
74,Furrer,69,74,Furrer,69,74,Furrer,69
74,Roth,69,74,Roth,69,74,Roth,69
74,Sigrist,69,74,Sigrist,69,74,Sigrist,69
77,Flüeler,67,77,Flüeler,67,77,Flüeler,67
77,Wallimann,67,77,Wallimann,67,77,Wallimann,67
79,Berisha,66,79,Berisha,66,79,Berisha,66
80,Frei,65,80,Frei,65,80,Frei,65
80,Schneider,65,80,Schneider,65,80,Schneider,65
82,Portmann,63,82,Portmann,63,82,Portmann,63
83,Ettlin,61,83,Ettlin,61,83,Ettlin,61
84,Bünter,60,84,Bünter,60,84,Bünter,60
85,Bieri,59,85,Bieri,59,85,Bieri,59
85,Egli,59,85,Egli,59,85,Egli,59
85,Häfliger,59,85,Häfliger,59,85,Häfliger,59
85,Tresch,59,85,Tresch,59,85,Tresch,59
89,Graf,57,89,Graf,57,89,Graf,57
90,Amrein,56,90,Amrein,56,90,Amrein,56
90,Erni,56,90,Erni,56,90,Erni,56
92,Huser,55,92,Huser,55,92,Huser,55
92,Wicki,55,92,Wicki,55,92,Wicki,55
94,Infanger,53,94,Infanger,53,94,Infanger,53
95,Fuchs,52,95,Fuchs,52,95,Fuchs,52
95,Schmitter,52,95,Schmitter,52,95,Schmitter,52
95,Truttmann,52,95,Truttmann,52,95,Truttmann,52
98,Renggli,51,98,Renggli,51,98,Renggli,51
98,Wigger,51,98,Wigger,51,98,Wigger,51
100,Brunner,50,100,Brunner,50,100,Brunner,50
