Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Rohrer,811,1,Rohrer,811,1,Rohrer,811
2,Durrer,793,2,Durrer,793,2,Durrer,793
3,Burch,742,3,Burch,742,3,Burch,742
4,Gasser,543,4,Gasser,543,4,Gasser,543
5,Bucher,535,5,Bucher,535,5,Bucher,535
6,von Rotz,483,6,von Rotz,483,6,von Rotz,483
7,Imfeld,467,7,Imfeld,467,7,Imfeld,467
8,Wallimann,449,8,Wallimann,449,8,Wallimann,449
9,Britschgi,403,9,Britschgi,403,9,Britschgi,403
10,Kiser,386,10,Kiser,386,10,Kiser,386
11,Ettlin,383,11,Ettlin,383,11,Ettlin,383
12,Halter,365,12,Halter,365,12,Halter,365
13,Müller,346,13,Müller,346,13,Müller,346
14,Omlin,339,14,Omlin,339,14,Omlin,339
15,Kathriner,337,15,Kathriner,337,15,Kathriner,337
16,Odermatt,330,16,Odermatt,330,16,Odermatt,330
17,Ming,325,17,Ming,325,17,Ming,325
18,Röthlin,307,18,Röthlin,307,18,Röthlin,307
19,von Ah,292,19,von Ah,292,19,von Ah,292
20,Küchler,283,20,Küchler,283,20,Küchler,283
21,Spichtig,278,21,Spichtig,278,21,Spichtig,278
22,Vogler,269,22,Vogler,269,22,Vogler,269
23,Berchtold,267,23,Berchtold,267,23,Berchtold,267
24,Enz,245,24,Enz,245,24,Enz,245
25,Abächerli,234,25,Abächerli,234,25,Abächerli,234
26,Niederberger,223,26,Niederberger,223,26,Niederberger,223
27,Zumstein,218,27,Zumstein,218,27,Zumstein,218
28,Michel,215,28,Michel,215,28,Michel,215
29,Sigrist,197,29,Sigrist,197,29,Sigrist,197
30,Barmettler,196,30,Barmettler,196,30,Barmettler,196
31,von Wyl,189,31,von Wyl,189,31,von Wyl,189
32,von Moos,187,32,von Moos,187,32,von Moos,187
33,Waser,182,33,Waser,182,33,Waser,182
34,Blättler,181,34,Blättler,181,34,Blättler,181
35,Mathis,178,35,Mathis,178,35,Mathis,178
36,Windlin,176,36,Windlin,176,36,Windlin,176
37,Krummenacher,173,37,Krummenacher,173,37,Krummenacher,173
38,Hurschler,170,38,Hurschler,170,38,Hurschler,170
39,Hess,167,39,Hess,167,39,Hess,167
39,von Flüe,167,39,von Flüe,167,39,von Flüe,167
41,Riebli,160,41,Riebli,160,41,Riebli,160
42,Reinhard,151,42,Reinhard,151,42,Reinhard,151
43,Dillier,128,43,Dillier,128,43,Dillier,128
43,Fanger,128,43,Fanger,128,43,Fanger,128
45,Häcki,122,45,Häcki,122,45,Häcki,122
46,Amstutz,120,46,Amstutz,120,46,Amstutz,120
47,Christen,118,47,Christen,118,47,Christen,118
48,Egger,114,48,Egger,114,48,Egger,114
48,Schleiss,114,48,Schleiss,114,48,Schleiss,114
50,Jakober,109,50,Jakober,109,50,Jakober,109
50,Matter,109,50,Matter,109,50,Matter,109
52,von Deschwanden,104,52,von Deschwanden,104,52,von Deschwanden,104
53,Langensand,102,53,Langensand,102,53,Langensand,102
54,Furrer,100,54,Furrer,100,54,Furrer,100
54,von Atzigen,100,54,von Atzigen,100,54,von Atzigen,100
56,Küng,98,56,Küng,98,56,Küng,98
57,Limacher,91,57,Limacher,91,57,Limacher,91
58,Anderhalden,90,58,Anderhalden,90,58,Anderhalden,90
59,Arnold,89,59,Arnold,89,59,Arnold,89
60,Berwert,88,60,Berwert,88,60,Berwert,88
60,Meier,88,60,Meier,88,60,Meier,88
62,Huber,87,62,Huber,87,62,Huber,87
63,Amgarten,85,63,Amgarten,85,63,Amgarten,85
63,Wolf,85,63,Wolf,85,63,Wolf,85
65,Amstalden,78,65,Amstalden,78,65,Amstalden,78
66,Zimmermann,76,66,Zimmermann,76,66,Zimmermann,76
67,Schrackmann,75,67,Schrackmann,75,67,Schrackmann,75
68,Eberli,74,68,Eberli,74,68,Eberli,74
68,Gisler,74,68,Gisler,74,68,Gisler,74
68,Infanger,74,68,Infanger,74,68,Infanger,74
68,Kaufmann,74,68,Kaufmann,74,68,Kaufmann,74
72,Flück,72,72,Flück,72,72,Flück,72
72,Zumbühl,72,72,Zumbühl,72,72,Zumbühl,72
74,Achermann,71,74,Achermann,71,74,Achermann,71
75,Peter,70,75,Peter,70,75,Peter,70
76,da Silva,67,76,da Silva,67,76,da Silva,67
77,Berisha,66,77,Berisha,66,77,Berisha,66
78,Portmann,65,78,Portmann,65,78,Portmann,65
79,Abegg,64,79,Abegg,64,79,Abegg,64
79,Wirz,64,79,Wirz,64,79,Wirz,64
79,Ziegler,64,79,Ziegler,64,79,Ziegler,64
82,Meyer,63,82,Meyer,63,82,Meyer,63
82,Schmid,63,82,Schmid,63,82,Schmid,63
84,Bürgi,61,84,Bürgi,61,84,Bürgi,61
84,Moser,61,84,Moser,61,84,Moser,61
84,Zurmühle,61,84,Zurmühle,61,84,Zurmühle,61
87,Amrhein,60,87,Amrhein,60,87,Amrhein,60
87,Kunz,60,87,Kunz,60,87,Kunz,60
87,Wagner,60,87,Wagner,60,87,Wagner,60
90,Burri,59,90,Burri,59,90,Burri,59
91,Aufdermauer,58,91,Aufdermauer,58,91,Aufdermauer,58
91,Della Torre,58,91,Della Torre,58,91,Della Torre,58
91,Gabriel,58,91,Gabriel,58,91,Gabriel,58
91,Lüthold,58,91,Lüthold,58,91,Lüthold,58
95,Degelo,57,95,Degelo,57,95,Degelo,57
95,Steiner,57,95,Steiner,57,95,Steiner,57
97,Lussi,56,97,Lussi,56,97,Lussi,56
98,Koch,55,98,Koch,55,98,Koch,55
98,Stalder,55,98,Stalder,55,98,Stalder,55
100,Kuster,54,100,Kuster,54,100,Kuster,54
