Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,3865,1,Müller,3865,1,Müller,3865
2,Keller,2635,2,Keller,2635,2,Keller,2635
3,Schmid,2330,3,Schmid,2330,3,Schmid,2330
4,Frei,2151,4,Frei,2151,4,Frei,2151
5,Meier,1931,5,Meier,1931,5,Meier,1931
6,Brunner,1675,6,Brunner,1675,6,Brunner,1675
7,Graf,1540,7,Graf,1540,7,Graf,1540
8,Schneider,1531,8,Schneider,1531,8,Schneider,1531
9,Huber,1515,9,Huber,1515,9,Huber,1515
10,Scherrer,1509,10,Scherrer,1509,10,Scherrer,1509
11,Rüegg,1486,11,Rüegg,1486,11,Rüegg,1486
12,Steiner,1437,12,Steiner,1437,12,Steiner,1437
13,Baumgartner,1428,13,Baumgartner,1428,13,Baumgartner,1428
14,Bischof,1327,14,Bischof,1327,14,Bischof,1327
15,Weber,1277,15,Weber,1277,15,Weber,1277
16,Koller,1215,16,Koller,1215,16,Koller,1215
17,Hutter,1206,17,Hutter,1206,17,Hutter,1206
18,Widmer,1203,18,Widmer,1203,18,Widmer,1203
19,Eggenberger,1154,19,Eggenberger,1154,19,Eggenberger,1154
20,Baumann,1150,20,Baumann,1150,20,Baumann,1150
21,Egli,1142,21,Egli,1142,21,Egli,1142
22,Jud,1035,22,Jud,1035,22,Jud,1035
23,Schönenberger,1032,23,Schönenberger,1032,23,Schönenberger,1032
24,Ackermann,1016,24,Ackermann,1016,24,Ackermann,1016
25,Sieber,1000,25,Sieber,1000,25,Sieber,1000
26,Giger,996,26,Giger,996,26,Giger,996
27,Bösch,992,27,Bösch,992,27,Bösch,992
28,Sutter,978,28,Sutter,978,28,Sutter,978
29,Rohner,966,29,Rohner,966,29,Rohner,966
30,Schlegel,965,30,Schlegel,965,30,Schlegel,965
31,Eberle,960,31,Eberle,960,31,Eberle,960
32,Moser,957,32,Moser,957,32,Moser,957
33,Kuster,944,33,Kuster,944,33,Kuster,944
34,Roth,943,34,Roth,943,34,Roth,943
