Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,890,1,Müller,890,1,Müller,890
2,Meier,519,2,Meier,519,2,Meier,519
3,Keller,482,3,Keller,482,3,Keller,482
4,Leu,419,4,Leu,419,4,Leu,419
5,Schmid,391,5,Schmid,391,5,Schmid,391
6,Weber,388,6,Weber,388,6,Weber,388
7,Bührer,356,7,Bührer,356,7,Bührer,356
8,Stamm,353,8,Stamm,353,8,Stamm,353
9,Wanner,350,9,Wanner,350,9,Wanner,350
10,Graf,291,10,Graf,291,10,Graf,291
11,Tanner,282,11,Tanner,282,11,Tanner,282
12,Schneider,277,12,Schneider,277,12,Schneider,277
13,Schlatter,267,13,Schlatter,267,13,Schlatter,267
14,Fischer,250,14,Fischer,250,14,Fischer,250
15,Huber,229,15,Huber,229,15,Huber,229
16,Meyer,227,16,Meyer,227,16,Meyer,227
17,Meister,220,17,Meister,220,17,Meister,220
17,Walter,220,17,Walter,220,17,Walter,220
19,Baumann,217,19,Baumann,217,19,Baumann,217
20,Werner,207,20,Werner,207,20,Werner,207
21,Brunner,197,21,Brunner,197,21,Brunner,197
22,Gasser,196,22,Gasser,196,22,Gasser,196
23,Bolli,185,23,Bolli,185,23,Bolli,185
23,Zimmermann,185,23,Zimmermann,185,23,Zimmermann,185
25,Bollinger,184,25,Bollinger,184,25,Bollinger,184
26,Brütsch,176,26,Brütsch,176,26,Brütsch,176
27,Frei,175,27,Frei,175,27,Frei,175
28,Hauser,174,28,Hauser,174,28,Hauser,174
29,Gysel,162,29,Gysel,162,29,Gysel,162
30,Waldvogel,160,30,Waldvogel,160,30,Waldvogel,160
31,Stoll,157,31,Stoll,157,31,Stoll,157
31,Winzeler,157,31,Winzeler,157,31,Winzeler,157
33,Krasniqi,153,33,Krasniqi,153,33,Krasniqi,153
34,Gnädinger,149,34,Gnädinger,149,34,Gnädinger,149
35,Ehrat,144,35,Ehrat,144,35,Ehrat,144
36,Moser,140,36,Moser,140,36,Moser,140
37,Fehr,139,37,Fehr,139,37,Fehr,139
38,Bachmann,137,38,Bachmann,137,38,Bachmann,137
39,Widmer,136,39,Widmer,136,39,Widmer,136
40,Steinemann,122,40,Steinemann,122,40,Steinemann,122
41,Koch,121,41,Koch,121,41,Koch,121
42,Ochsner,120,42,Ochsner,120,42,Ochsner,120
43,Bächtold,118,43,Bächtold,118,43,Bächtold,118
44,Kunz,117,44,Kunz,117,44,Kunz,117
44,Suter,117,44,Suter,117,44,Suter,117
46,Peter,116,46,Peter,116,46,Peter,116
47,Ruh,115,47,Ruh,115,47,Ruh,115
47,Schwaninger,115,47,Schwaninger,115,47,Schwaninger,115
49,Fuchs,113,49,Fuchs,113,49,Fuchs,113
50,Schudel,112,50,Schudel,112,50,Schudel,112
51,Brühlmann,111,51,Brühlmann,111,51,Brühlmann,111
52,Berisha,108,52,Berisha,108,52,Berisha,108
53,Vogelsanger,107,53,Vogelsanger,107,53,Vogelsanger,107
54,Frey,102,54,Frey,102,54,Frey,102
54,Neukomm,102,54,Neukomm,102,54,Neukomm,102
56,Wehrli,101,56,Wehrli,101,56,Wehrli,101
57,Neidhart,100,57,Neidhart,100,57,Neidhart,100
58,Külling,99,58,Külling,99,58,Külling,99
59,Kern,98,59,Kern,98,59,Kern,98
60,Hedinger,97,60,Hedinger,97,60,Hedinger,97
60,Ritzmann,97,60,Ritzmann,97,60,Ritzmann,97
60,Roth,97,60,Roth,97,60,Roth,97
60,Rüedi,97,60,Rüedi,97,60,Rüedi,97
64,Kübler,96,64,Kübler,96,64,Kübler,96
65,Wäckerlin,95,65,Wäckerlin,95,65,Wäckerlin,95
66,Ademi,94,66,Ademi,94,66,Ademi,94
67,Sigg,91,67,Sigg,91,67,Sigg,91
68,Hug,90,68,Hug,90,68,Hug,90
69,Schwyn,89,69,Schwyn,89,69,Schwyn,89
70,Egli,88,70,Egli,88,70,Egli,88
70,Ott,88,70,Ott,88,70,Ott,88
72,Hallauer,87,72,Hallauer,87,72,Hallauer,87
72,Ziegler,87,72,Ziegler,87,72,Ziegler,87
74,Greutmann,86,74,Greutmann,86,74,Greutmann,86
75,Möckli,85,75,Möckli,85,75,Möckli,85
76,Roost,84,76,Roost,84,76,Roost,84
77,Studer,83,77,Studer,83,77,Studer,83
78,Berger,82,78,Berger,82,78,Berger,82
78,Schaad,82,78,Schaad,82,78,Schaad,82
80,Schweizer,79,80,Schweizer,79,80,Schweizer,79
81,Lang,78,81,Lang,78,81,Lang,78
81,Lüthi,78,81,Lüthi,78,81,Lüthi,78
83,Maier,77,83,Maier,77,83,Maier,77
83,Osmani,77,83,Osmani,77,83,Osmani,77
83,Schilling,77,83,Schilling,77,83,Schilling,77
86,Pletscher,76,86,Pletscher,76,86,Pletscher,76
86,Shala,76,86,Shala,76,86,Shala,76
88,Baumgartner,75,88,Baumgartner,75,88,Baumgartner,75
88,Braun,75,88,Braun,75,88,Braun,75
88,Hafner,75,88,Hafner,75,88,Hafner,75
88,Russenberger,75,88,Russenberger,75,88,Russenberger,75
88,Wyss,75,88,Wyss,75,88,Wyss,75
93,Uehlinger,74,93,Uehlinger,74,93,Uehlinger,74
94,Christen,72,94,Christen,72,94,Christen,72
94,Kuhn,72,94,Kuhn,72,94,Kuhn,72
94,Pfister,72,94,Pfister,72,94,Pfister,72
94,Stocker,72,94,Stocker,72,94,Stocker,72
98,Kaufmann,70,98,Kaufmann,70,98,Kaufmann,70
98,Steiner,70,98,Steiner,70,98,Steiner,70
100,Germann,69,100,Germann,69,100,Germann,69
