Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,2296,1,Müller,2296,1,Müller,2296
2,Meier,1727,2,Meier,1727,2,Meier,1727
3,Studer,1535,3,Studer,1535,3,Studer,1535
4,Wyss,1461,4,Wyss,1461,4,Wyss,1461
5,Schmid,996,5,Schmid,996,5,Schmid,996
6,Jäggi,918,6,Jäggi,918,6,Jäggi,918
7,Steiner,907,7,Steiner,907,7,Steiner,907
8,Flury,830,8,Flury,830,8,Flury,830
9,Schneider,826,9,Schneider,826,9,Schneider,826
10,Moser,813,10,Moser,813,10,Moser,813
10,von Arx,813,10,von Arx,813,10,von Arx,813
12,Borer,800,12,Borer,800,12,Borer,800
13,Marti,789,13,Marti,789,13,Marti,789
14,Brunner,768,14,Brunner,768,14,Brunner,768
15,Weber,766,15,Weber,766,15,Weber,766
16,Lüthi,755,16,Lüthi,755,16,Lüthi,755
17,Hänggi,747,17,Hänggi,747,17,Hänggi,747
18,Roth,658,18,Roth,658,18,Roth,658
19,Hofer,648,19,Hofer,648,19,Hofer,648
20,Probst,644,20,Probst,644,20,Probst,644
21,Ackermann,637,21,Ackermann,637,21,Ackermann,637
22,Gerber,616,22,Gerber,616,22,Gerber,616
23,Meyer,607,23,Meyer,607,23,Meyer,607
24,Fluri,600,24,Fluri,600,24,Fluri,600
25,Bader,590,25,Bader,590,25,Bader,590
25,Huber,590,25,Huber,590,25,Huber,590
27,Fischer,577,27,Fischer,577,27,Fischer,577
28,Allemann,575,28,Allemann,575,28,Allemann,575
29,Zimmermann,556,29,Zimmermann,556,29,Zimmermann,556
30,Kaufmann,553,30,Kaufmann,553,30,Kaufmann,553
31,Berger,551,31,Berger,551,31,Berger,551
32,Baumgartner,542,32,Baumgartner,542,32,Baumgartner,542
33,Kohler,539,33,Kohler,539,33,Kohler,539
34,Stampfli,527,34,Stampfli,527,34,Stampfli,527
35,Affolter,524,35,Affolter,524,35,Affolter,524
36,Meister,519,36,Meister,519,36,Meister,519
37,Schenker,518,37,Schenker,518,37,Schenker,518
38,Lehmann,512,38,Lehmann,512,38,Lehmann,512
39,Keller,499,39,Keller,499,39,Keller,499
40,Kissling,494,40,Kissling,494,40,Kissling,494
40,Widmer,494,40,Widmer,494,40,Widmer,494
42,Baumann,489,42,Baumann,489,42,Baumann,489
43,Frei,481,43,Frei,481,43,Frei,481
44,Frey,474,44,Frey,474,44,Frey,474
45,Kunz,471,45,Kunz,471,45,Kunz,471
46,Leuenberger,466,46,Leuenberger,466,46,Leuenberger,466
47,Flückiger,455,47,Flückiger,455,47,Flückiger,455
48,Krasniqi,444,48,Krasniqi,444,48,Krasniqi,444
49,Gasser,434,49,Gasser,434,49,Gasser,434
50,Christen,418,50,Christen,418,50,Christen,418
51,Jeker,376,51,Jeker,376,51,Jeker,376
52,Schär,374,52,Schär,374,52,Schär,374
53,Berisha,369,53,Berisha,369,53,Berisha,369
53,Wüthrich,369,53,Wüthrich,369,53,Wüthrich,369
55,Christ,364,55,Christ,364,55,Christ,364
55,Scheidegger,364,55,Scheidegger,364,55,Scheidegger,364
57,Suter,347,57,Suter,347,57,Suter,347
58,Stuber,346,58,Stuber,346,58,Stuber,346
59,Kamber,343,59,Kamber,343,59,Kamber,343
60,Graf,341,60,Graf,341,60,Graf,341
61,Aebi,338,61,Aebi,338,61,Aebi,338
61,Grolimund,338,61,Grolimund,338,61,Grolimund,338
63,Koch,337,63,Koch,337,63,Koch,337
64,Siegenthaler,336,64,Siegenthaler,336,64,Siegenthaler,336
65,Zaugg,334,65,Zaugg,334,65,Zaugg,334
66,Stebler,330,66,Stebler,330,66,Stebler,330
67,Vogt,329,67,Vogt,329,67,Vogt,329
68,Eggenschwiler,328,68,Eggenschwiler,328,68,Eggenschwiler,328
68,Kaiser,328,68,Kaiser,328,68,Kaiser,328
70,Gashi,321,70,Gashi,321,70,Gashi,321
71,Zürcher,320,71,Zürcher,320,71,Zürcher,320
72,Pfister,313,72,Pfister,313,72,Pfister,313
73,Saner,311,73,Saner,311,73,Saner,311
73,Stalder,311,73,Stalder,311,73,Stalder,311
75,Hug,307,75,Hug,307,75,Hug,307
75,Ingold,307,75,Ingold,307,75,Ingold,307
77,Schaad,304,77,Schaad,304,77,Schaad,304
78,Altermatt,302,78,Altermatt,302,78,Altermatt,302
79,Morina,298,79,Morina,298,79,Morina,298
80,Kocher,295,80,Kocher,295,80,Kocher,295
81,von Burg,289,81,von Burg,289,81,von Burg,289
82,Walter,287,82,Walter,287,82,Walter,287
83,Nussbaumer,282,83,Nussbaumer,282,83,Nussbaumer,282
83,Ramadani,282,83,Ramadani,282,83,Ramadani,282
85,Bucher,281,85,Bucher,281,85,Bucher,281
86,Schärer,278,86,Schärer,278,86,Schärer,278
87,Flück,275,87,Flück,275,87,Flück,275
87,Furrer,275,87,Furrer,275,87,Furrer,275
89,Häner,272,89,Häner,272,89,Häner,272
90,Blaser,265,90,Blaser,265,90,Blaser,265
90,Sommer,265,90,Sommer,265,90,Sommer,265
92,Bühler,264,92,Bühler,264,92,Bühler,264
93,Vögtli,262,93,Vögtli,262,93,Vögtli,262
94,Hunziker,257,94,Hunziker,257,94,Hunziker,257
95,Büttiker,256,95,Büttiker,256,95,Büttiker,256
95,Egger,256,95,Egger,256,95,Egger,256
95,Spielmann,256,95,Spielmann,256,95,Spielmann,256
95,Wagner,256,95,Wagner,256,95,Wagner,256
95,Walker,256,95,Walker,256,95,Walker,256
100,Hess,255,100,Hess,255,100,Hess,255
