Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Kälin,2692,1,Kälin,2692,1,Kälin,2692
2,Betschart,2060,2,Betschart,2060,2,Betschart,2060
3,Schuler,1927,3,Schuler,1927,3,Schuler,1927
4,Müller,1290,4,Müller,1290,4,Müller,1290
5,Steiner,1271,5,Steiner,1271,5,Steiner,1271
6,Marty,1233,6,Marty,1233,6,Marty,1233
7,Suter,1202,7,Suter,1202,7,Suter,1202
8,Gwerder,1017,8,Gwerder,1017,8,Gwerder,1017
9,Ulrich,898,9,Ulrich,898,9,Ulrich,898
10,Reichmuth,882,10,Reichmuth,882,10,Reichmuth,882
11,Mächler,846,11,Mächler,846,11,Mächler,846
12,Camenzind,807,12,Camenzind,807,12,Camenzind,807
13,Züger,796,13,Züger,796,13,Züger,796
14,Schelbert,785,14,Schelbert,785,14,Schelbert,785
15,Fuchs,722,15,Fuchs,722,15,Fuchs,722
16,Fässler,679,16,Fässler,679,16,Fässler,679
17,Keller,641,17,Keller,641,17,Keller,641
18,Weber,639,18,Weber,639,18,Weber,639
19,Schmid,623,19,Schmid,623,19,Schmid,623
20,Heinzer,622,20,Heinzer,622,20,Heinzer,622
21,Meier,615,21,Meier,615,21,Meier,615
22,Bürgler,612,22,Bürgler,612,22,Bürgler,612
23,Inderbitzin,606,23,Inderbitzin,606,23,Inderbitzin,606
24,Holdener,577,24,Holdener,577,24,Holdener,577
25,Schönbächler,567,25,Schönbächler,567,25,Schönbächler,567
26,Diethelm,565,26,Diethelm,565,26,Diethelm,565
27,Reichlin,548,27,Reichlin,548,27,Reichlin,548
28,Auf der Maur,543,28,Auf der Maur,543,28,Auf der Maur,543
29,Huber,511,29,Huber,511,29,Huber,511
30,Lüönd,509,30,Lüönd,509,30,Lüönd,509
31,Bruhin,507,31,Bruhin,507,31,Bruhin,507
32,Schnyder,485,32,Schnyder,485,32,Schnyder,485
33,Mettler,464,33,Mettler,464,33,Mettler,464
34,Birchler,461,34,Birchler,461,34,Birchler,461
35,Kistler,459,35,Kistler,459,35,Kistler,459
36,Beeler,458,36,Beeler,458,36,Beeler,458
37,Kessler,428,37,Kessler,428,37,Kessler,428
38,Zehnder,419,38,Zehnder,419,38,Zehnder,419
39,Gisler,414,39,Gisler,414,39,Gisler,414
40,Bachmann,406,40,Bachmann,406,40,Bachmann,406
41,Föhn,403,41,Föhn,403,41,Föhn,403
42,Imhof,393,42,Imhof,393,42,Imhof,393
43,Arnold,386,43,Arnold,386,43,Arnold,386
