Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,2692,1,Müller,2692,1,Müller,2692
2,Keller,2280,2,Keller,2280,2,Keller,2280
3,Schmid,1593,3,Schmid,1593,3,Schmid,1593
4,Meier,1383,4,Meier,1383,4,Meier,1383
5,Huber,1215,5,Huber,1215,5,Huber,1215
6,Frei,1120,6,Frei,1120,6,Frei,1120
7,Weber,956,7,Weber,956,7,Weber,956
8,Schneider,789,8,Schneider,789,8,Schneider,789
9,Graf,766,9,Graf,766,9,Graf,766
10,Ammann,695,10,Ammann,695,10,Ammann,695
11,Roth,656,11,Roth,656,11,Roth,656
12,Brunner,643,12,Brunner,643,12,Brunner,643
13,Baumann,641,13,Baumann,641,13,Baumann,641
14,Widmer,633,14,Widmer,633,14,Widmer,633
15,Fischer,619,15,Fischer,619,15,Fischer,619
16,Stäheli,618,16,Stäheli,618,16,Stäheli,618
17,Hug,585,17,Hug,585,17,Hug,585
18,Baumgartner,559,18,Baumgartner,559,18,Baumgartner,559
19,Scherrer,546,19,Scherrer,546,19,Scherrer,546
20,Bachmann,542,20,Bachmann,542,20,Bachmann,542
21,Moser,524,21,Moser,524,21,Moser,524
22,Herzog,509,22,Herzog,509,22,Herzog,509
23,Bühler,481,23,Bühler,481,23,Bühler,481
24,Meyer,473,24,Meyer,473,24,Meyer,473
25,Steiner,460,25,Steiner,460,25,Steiner,460
26,Koller,459,26,Koller,459,26,Koller,459
27,Koch,447,27,Koch,447,27,Koch,447
28,Lüthi,427,28,Lüthi,427,28,Lüthi,427
29,Gerber,418,29,Gerber,418,29,Gerber,418
30,Egli,413,30,Egli,413,30,Egli,413
30,Tanner,413,30,Tanner,413,30,Tanner,413
32,Zimmermann,407,32,Zimmermann,407,32,Zimmermann,407
33,Forster,388,33,Forster,388,33,Forster,388
34,Rutishauser,387,34,Rutishauser,387,34,Rutishauser,387
35,Fuchs,385,35,Fuchs,385,35,Fuchs,385
35,Rüegg,385,35,Rüegg,385,35,Rüegg,385
35,Schenk,385,35,Schenk,385,35,Schenk,385
38,Tobler,382,38,Tobler,382,38,Tobler,382
39,Schär,376,39,Schär,376,39,Schär,376
40,Zürcher,363,40,Zürcher,363,40,Zürcher,363
41,Hofer,360,41,Hofer,360,41,Hofer,360
41,Wagner,360,41,Wagner,360,41,Wagner,360
43,Peter,359,43,Peter,359,43,Peter,359
44,Lehmann,356,44,Lehmann,356,44,Lehmann,356
45,Germann,350,45,Germann,350,45,Germann,350
46,Hasler,348,46,Hasler,348,46,Hasler,348
47,Pfister,346,47,Pfister,346,47,Pfister,346
48,Schweizer,345,48,Schweizer,345,48,Schweizer,345
49,Eugster,343,49,Eugster,343,49,Eugster,343
50,Eberle,331,50,Eberle,331,50,Eberle,331
50,Egger,331,50,Egger,331,50,Egger,331
50,Thalmann,331,50,Thalmann,331,50,Thalmann,331
53,Fehr,328,53,Fehr,328,53,Fehr,328
54,Ramadani,324,54,Ramadani,324,54,Ramadani,324
55,Schwarz,323,55,Schwarz,323,55,Schwarz,323
56,Studer,322,56,Studer,322,56,Studer,322
57,Frischknecht,315,57,Frischknecht,315,57,Frischknecht,315
57,Sutter,315,57,Sutter,315,57,Sutter,315
59,Hess,311,59,Hess,311,59,Hess,311
60,Kuhn,307,60,Kuhn,307,60,Kuhn,307
61,Hauser,306,61,Hauser,306,61,Hauser,306
62,Lang,302,62,Lang,302,62,Lang,302
63,Brühwiler,300,63,Brühwiler,300,63,Brühwiler,300
64,Grob,295,64,Grob,295,64,Grob,295
65,Schönholzer,293,65,Schönholzer,293,65,Schönholzer,293
66,Gasser,292,66,Gasser,292,66,Gasser,292
67,Hungerbühler,290,67,Hungerbühler,290,67,Hungerbühler,290
67,Imhof,290,67,Imhof,290,67,Imhof,290
67,Krasniqi,290,67,Krasniqi,290,67,Krasniqi,290
70,Hofmann,289,70,Hofmann,289,70,Hofmann,289
70,Näf,289,70,Näf,289,70,Näf,289
72,Oswald,286,72,Oswald,286,72,Oswald,286
73,Gubler,278,73,Gubler,278,73,Gubler,278
74,Berger,277,74,Berger,277,74,Berger,277
75,Rohner,274,75,Rohner,274,75,Rohner,274
76,Hollenstein,272,76,Hollenstein,272,76,Hollenstein,272
77,Bischof,269,77,Bischof,269,77,Bischof,269
77,Brändle,269,77,Brändle,269,77,Brändle,269
77,Kreis,269,77,Kreis,269,77,Kreis,269
80,Fässler,267,80,Fässler,267,80,Fässler,267
81,Bajrami,263,81,Bajrami,263,81,Bajrami,263
81,Schönenberger,263,81,Schönenberger,263,81,Schönenberger,263
83,Kaufmann,262,83,Kaufmann,262,83,Kaufmann,262
83,Schwager,262,83,Schwager,262,83,Schwager,262
85,Bär,260,85,Bär,260,85,Bär,260
85,Kaiser,260,85,Kaiser,260,85,Kaiser,260
87,Bösch,258,87,Bösch,258,87,Bösch,258
88,Kunz,257,88,Kunz,257,88,Kunz,257
88,Manser,257,88,Manser,257,88,Manser,257
90,da Silva,256,90,da Silva,256,90,da Silva,256
90,Marti,256,90,Marti,256,90,Marti,256
90,Weibel,256,90,Weibel,256,90,Weibel,256
93,Mettler,255,93,Mettler,255,93,Mettler,255
93,Rechsteiner,255,93,Rechsteiner,255,93,Rechsteiner,255
95,Ackermann,253,95,Ackermann,253,95,Ackermann,253
95,Schmidt,253,95,Schmidt,253,95,Schmidt,253
97,Schoch,252,97,Schoch,252,97,Schoch,252
98,Braun,251,98,Braun,251,98,Braun,251
98,Senn,251,98,Senn,251,98,Senn,251
98,Wirth,251,98,Wirth,251,98,Wirth,251
