Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Bernasconi,2188,1,Bernasconi,2188,1,Bernasconi,2188
2,Ferrari,1269,2,Ferrari,1269,2,Ferrari,1269
3,Bianchi,1240,3,Bianchi,1240,3,Bianchi,1240
4,Rossi,1222,4,Rossi,1222,4,Rossi,1222
5,Fontana,756,5,Fontana,756,5,Fontana,756
6,Crivelli,746,6,Crivelli,746,6,Crivelli,746
7,Galli,715,7,Galli,715,7,Galli,715
8,Cattaneo,625,8,Cattaneo,625,8,Cattaneo,625
9,Colombo,560,9,Colombo,560,9,Colombo,560
10,Rezzonico,517,10,Rezzonico,517,10,Rezzonico,517
11,Cereghetti,497,11,Cereghetti,497,11,Cereghetti,497
12,da Silva,456,12,da Silva,456,12,da Silva,456
13,Corti,441,13,Corti,441,13,Corti,441
13,Riva,441,13,Riva,441,13,Riva,441
15,Müller,436,15,Müller,436,15,Müller,436
16,Pereira,417,16,Pereira,417,16,Pereira,417
17,Cavadini,409,17,Cavadini,409,17,Cavadini,409
18,Pellegrini,394,18,Pellegrini,394,18,Pellegrini,394
19,Grassi,387,19,Grassi,387,19,Grassi,387
20,Martinelli,385,20,Martinelli,385,20,Martinelli,385
21,Russo,383,21,Russo,383,21,Russo,383
22,Beretta,380,22,Beretta,380,22,Beretta,380
23,Canonica,377,23,Canonica,377,23,Canonica,377
24,Leoni,375,24,Leoni,375,24,Leoni,375
25,Quadri,364,25,Quadri,364,25,Quadri,364
26,Camponovo,354,26,Camponovo,354,26,Camponovo,354
27,Lepori,353,27,Lepori,353,27,Lepori,353
28,Campana,350,28,Campana,350,28,Campana,350
29,Bassi,348,29,Bassi,348,29,Bassi,348
30,Soldati,345,30,Soldati,345,30,Soldati,345
31,Rusconi,341,31,Rusconi,341,31,Rusconi,341
32,Romano,338,32,Romano,338,32,Romano,338
33,Zanetti,336,33,Zanetti,336,33,Zanetti,336
34,Sala,332,34,Sala,332,34,Sala,332
35,Croci,331,35,Croci,331,35,Croci,331
36,Pozzi,320,36,Pozzi,320,36,Pozzi,320
37,Pagani,318,37,Pagani,318,37,Pagani,318
38,Conti,317,38,Conti,317,38,Conti,317
39,Balmelli,312,39,Balmelli,312,39,Balmelli,312
40,Ferreira,307,40,Ferreira,307,40,Ferreira,307
41,Gianinazzi,305,41,Gianinazzi,305,41,Gianinazzi,305
42,Rodrigues,304,42,Rodrigues,304,42,Rodrigues,304
43,Vassalli,298,43,Vassalli,298,43,Vassalli,298
44,Keller,289,44,Keller,289,44,Keller,289
45,Poretti,287,45,Poretti,287,45,Poretti,287
46,dos Santos,286,46,dos Santos,286,46,dos Santos,286
47,Guidotti,285,47,Guidotti,285,47,Guidotti,285
47,Krasniqi,285,47,Krasniqi,285,47,Krasniqi,285
49,Frigerio,284,49,Frigerio,284,49,Frigerio,284
50,Sartori,283,50,Sartori,283,50,Sartori,283
50,Soldini,283,50,Soldini,283,50,Soldini,283
52,Togni,277,52,Togni,277,52,Togni,277
53,Solari,274,53,Solari,274,53,Solari,274
54,Costa,273,54,Costa,273,54,Costa,273
54,Regazzoni,273,54,Regazzoni,273,54,Regazzoni,273
56,Giudici,271,56,Giudici,271,56,Giudici,271
57,Guerra,269,57,Guerra,269,57,Guerra,269
58,Cavalli,267,58,Cavalli,267,58,Cavalli,267
58,Valsangiacomo,267,58,Valsangiacomo,267,58,Valsangiacomo,267
60,Alberti,266,60,Alberti,266,60,Alberti,266
61,Agustoni,265,61,Agustoni,265,61,Agustoni,265
61,Tettamanti,265,61,Tettamanti,265,61,Tettamanti,265
63,Lucchini,262,63,Lucchini,262,63,Lucchini,262
64,Lombardo,260,64,Lombardo,260,64,Lombardo,260
65,Fernandes,257,65,Fernandes,257,65,Fernandes,257
65,Piffaretti,257,65,Piffaretti,257,65,Piffaretti,257
67,Berisha,254,67,Berisha,254,67,Berisha,254
68,Donati,253,68,Donati,253,68,Donati,253
69,Esposito,251,69,Esposito,251,69,Esposito,251
69,Milani,251,69,Milani,251,69,Milani,251
71,Rossini,249,71,Rossini,249,71,Rossini,249
72,Meier,248,72,Meier,248,72,Meier,248
72,Robbiani,248,72,Robbiani,248,72,Robbiani,248
74,Lurati,247,74,Lurati,247,74,Lurati,247
75,Zanini,245,75,Zanini,245,75,Zanini,245
76,Moretti,243,76,Moretti,243,76,Moretti,243
77,Chiesa,241,77,Chiesa,241,77,Chiesa,241
78,Taddei,240,78,Taddei,240,78,Taddei,240
79,Moro,239,79,Moro,239,79,Moro,239
80,Bruno,234,80,Bruno,234,80,Bruno,234
81,Ortelli,233,81,Ortelli,233,81,Ortelli,233
82,Molteni,230,82,Molteni,230,82,Molteni,230
83,Gianella,228,83,Gianella,228,83,Gianella,228
83,Schmid,228,83,Schmid,228,83,Schmid,228
85,Castelli,227,85,Castelli,227,85,Castelli,227
86,Grossi,226,86,Grossi,226,86,Grossi,226
87,Gianini,225,87,Gianini,225,87,Gianini,225
88,Ponti,223,88,Ponti,223,88,Ponti,223
88,Rizzi,223,88,Rizzi,223,88,Rizzi,223
90,Albisetti,222,90,Albisetti,222,90,Albisetti,222
91,Butti,221,91,Butti,221,91,Butti,221
91,Morandi,221,91,Morandi,221,91,Morandi,221
93,Pagnamenta,220,93,Pagnamenta,220,93,Pagnamenta,220
94,Genini,216,94,Genini,216,94,Genini,216
95,Locatelli,214,95,Locatelli,214,95,Locatelli,214
96,Martini,213,96,Martini,213,96,Martini,213
97,Bizzozero,212,97,Bizzozero,212,97,Bizzozero,212
