Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Arnold,2189,1,Arnold,2189,1,Arnold,2189
2,Gisler,2122,2,Gisler,2122,2,Gisler,2122
3,Herger,866,3,Herger,866,3,Herger,866
4,Bissig,755,4,Bissig,755,4,Bissig,755
5,Walker,718,5,Walker,718,5,Walker,718
6,Baumann,617,6,Baumann,617,6,Baumann,617
7,Schuler,588,7,Schuler,588,7,Schuler,588
8,Zgraggen,580,8,Zgraggen,580,8,Zgraggen,580
9,Kempf,492,9,Kempf,492,9,Kempf,492
10,Zurfluh,488,10,Zurfluh,488,10,Zurfluh,488
11,Tresch,464,11,Tresch,464,11,Tresch,464
12,Müller,394,12,Müller,394,12,Müller,394
13,Epp,356,13,Epp,356,13,Epp,356
14,Aschwanden,351,14,Aschwanden,351,14,Aschwanden,351
15,Stadler,313,15,Stadler,313,15,Stadler,313
16,Jauch,299,16,Jauch,299,16,Jauch,299
17,Imhof,294,17,Imhof,294,17,Imhof,294
18,Furrer,272,18,Furrer,272,18,Furrer,272
19,Ziegler,260,19,Ziegler,260,19,Ziegler,260
20,Planzer,257,20,Planzer,257,20,Planzer,257
21,Imholz,242,21,Imholz,242,21,Imholz,242
22,Gamma,238,22,Gamma,238,22,Gamma,238
23,Wyrsch,231,23,Wyrsch,231,23,Wyrsch,231
24,Gnos,216,24,Gnos,216,24,Gnos,216
25,Infanger,208,25,Infanger,208,25,Infanger,208
26,Wipfli,184,26,Wipfli,184,26,Wipfli,184
27,Briker,174,27,Briker,174,27,Briker,174
28,Scheiber,163,28,Scheiber,163,28,Scheiber,163
29,Brand,147,29,Brand,147,29,Brand,147
30,Indergand,146,30,Indergand,146,30,Indergand,146
31,Zberg,140,31,Zberg,140,31,Zberg,140
32,Dittli,135,32,Dittli,135,32,Dittli,135
32,Muheim,135,32,Muheim,135,32,Muheim,135
34,Furger,134,34,Furger,134,34,Furger,134
35,Lussmann,132,35,Lussmann,132,35,Lussmann,132
35,Regli,132,35,Regli,132,35,Regli,132
37,Simmen,131,37,Simmen,131,37,Simmen,131
38,Gerig,127,38,Gerig,127,38,Gerig,127
39,Fedier,126,39,Fedier,126,39,Fedier,126
40,Christen,101,40,Christen,101,40,Christen,101
40,Püntener,101,40,Püntener,101,40,Püntener,101
42,Marty,98,42,Marty,98,42,Marty,98
43,Loretz,97,43,Loretz,97,43,Loretz,97
44,Zwyssig,94,44,Zwyssig,94,44,Zwyssig,94
45,Betschart,87,45,Betschart,87,45,Betschart,87
46,Huber,86,46,Huber,86,46,Huber,86
47,Truttmann,80,47,Truttmann,80,47,Truttmann,80
48,Mattli,79,48,Mattli,79,48,Mattli,79
49,Russi,77,49,Russi,77,49,Russi,77
50,Kieliger,72,50,Kieliger,72,50,Kieliger,72
50,Riedi,72,50,Riedi,72,50,Riedi,72
52,Dubacher,63,52,Dubacher,63,52,Dubacher,63
52,Gasser,63,52,Gasser,63,52,Gasser,63
54,Poletti,62,54,Poletti,62,54,Poletti,62
54,Traxel,62,54,Traxel,62,54,Traxel,62
56,Schmid,60,56,Schmid,60,56,Schmid,60
57,Inderbitzin,59,57,Inderbitzin,59,57,Inderbitzin,59
57,Inderkum,59,57,Inderkum,59,57,Inderkum,59
59,Meier,58,59,Meier,58,59,Meier,58
60,da Silva,57,60,da Silva,57,60,da Silva,57
61,Meyer,56,61,Meyer,56,61,Meyer,56
61,Schilter,56,61,Schilter,56,61,Schilter,56
