Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,da Silva,3482,1,da Silva,3482,1,da Silva,3482
2,Ferreira,2430,2,Ferreira,2430,2,Ferreira,2430
3,Pereira,2380,3,Pereira,2380,3,Pereira,2380
4,Favre,2155,4,Favre,2155,4,Favre,2155
5,Rochat,2154,5,Rochat,2154,5,Rochat,2154
6,dos Santos,2108,6,dos Santos,2108,6,dos Santos,2108
7,Martin,2076,7,Martin,2076,7,Martin,2076
8,Rodrigues,1874,8,Rodrigues,1874,8,Rodrigues,1874
9,Gomes,1661,9,Gomes,1661,9,Gomes,1661
10,Fernandes,1644,10,Fernandes,1644,10,Fernandes,1644
11,Lopes,1432,11,Lopes,1432,11,Lopes,1432
12,Müller,1370,12,Müller,1370,12,Müller,1370
13,Martins,1344,13,Martins,1344,13,Martins,1344
14,Pittet,1319,14,Pittet,1319,14,Pittet,1319
15,Ribeiro,1209,15,Ribeiro,1209,15,Ribeiro,1209
16,Gonçalves,1204,16,Gonçalves,1204,16,Gonçalves,1204
17,Silva,1183,17,Silva,1183,17,Silva,1183
18,Alves,1182,18,Alves,1182,18,Alves,1182
19,Oliveira,1174,19,Oliveira,1174,19,Oliveira,1174
20,Garcia,1147,20,Garcia,1147,20,Garcia,1147
21,Teixeira,1127,21,Teixeira,1127,21,Teixeira,1127
22,Pinto,1117,22,Pinto,1117,22,Pinto,1117
23,da Costa,1113,23,da Costa,1113,23,da Costa,1113
24,Reymond,1105,24,Reymond,1105,24,Reymond,1105
25,Santos,1082,25,Santos,1082,25,Santos,1082
26,Meylan,1069,26,Meylan,1069,26,Meylan,1069
27,Chevalley,1041,27,Chevalley,1041,27,Chevalley,1041
28,Gashi,1028,28,Gashi,1028,28,Gashi,1028
29,Blanc,1013,29,Blanc,1013,29,Blanc,1013
30,Marques,973,30,Marques,973,30,Marques,973
31,Krasniqi,972,31,Krasniqi,972,31,Krasniqi,972
32,Mendes,945,32,Mendes,945,32,Mendes,945
33,Meyer,895,33,Meyer,895,33,Meyer,895
34,Rodriguez,886,34,Rodriguez,886,34,Rodriguez,886
35,Moreira,868,35,Moreira,868,35,Moreira,868
36,Dias,848,36,Dias,848,36,Dias,848
37,Monteiro,830,37,Monteiro,830,37,Monteiro,830
38,Berisha,827,38,Berisha,827,38,Berisha,827
38,Fernandez,827,38,Fernandez,827,38,Fernandez,827
40,Pasche,810,40,Pasche,810,40,Pasche,810
41,de Sousa,809,41,de Sousa,809,41,de Sousa,809
42,Richard,804,42,Richard,804,42,Richard,804
43,Correia,798,43,Correia,798,43,Correia,798
44,de Oliveira,788,44,de Oliveira,788,44,de Oliveira,788
45,Rossier,775,45,Rossier,775,45,Rossier,775
46,Golay,771,46,Golay,771,46,Golay,771
47,Costa,755,47,Costa,755,47,Costa,755
48,Weber,747,48,Weber,747,48,Weber,747
49,Nguyen,745,49,Nguyen,745,49,Nguyen,745
50,Guignard,731,50,Guignard,731,50,Guignard,731
51,Perrin,726,51,Perrin,726,51,Perrin,726
52,Chappuis,720,52,Chappuis,720,52,Chappuis,720
53,Perez,719,53,Perez,719,53,Perez,719
54,Gerber,712,54,Gerber,712,54,Gerber,712
55,Martinez,704,55,Martinez,704,55,Martinez,704
56,Gonzalez,703,56,Gonzalez,703,56,Gonzalez,703
57,Lopez,695,57,Lopez,695,57,Lopez,695
58,Perret,686,58,Perret,686,58,Perret,686
59,Rey,682,59,Rey,682,59,Rey,682
60,Soares,678,60,Soares,678,60,Soares,678
61,Vieira,667,61,Vieira,667,61,Vieira,667
62,Schneider,666,62,Schneider,666,62,Schneider,666
63,Carvalho,663,63,Carvalho,663,63,Carvalho,663
64,Berger,661,64,Berger,661,64,Berger,661
65,Clerc,654,65,Clerc,654,65,Clerc,654
66,de Jesus,653,66,de Jesus,653,66,de Jesus,653
67,Schmid,641,67,Schmid,641,67,Schmid,641
68,Jaccard,621,68,Jaccard,621,68,Jaccard,621
69,Michel,616,69,Michel,616,69,Michel,616
70,Aubert,610,70,Aubert,610,70,Aubert,610
71,Almeida,609,71,Almeida,609,71,Almeida,609
72,Mayor,600,72,Mayor,600,72,Mayor,600
73,Besson,595,73,Besson,595,73,Besson,595
74,Dubois,588,74,Dubois,588,74,Dubois,588
75,Maillard,583,75,Maillard,583,75,Maillard,583
76,Jaquier,580,76,Jaquier,580,76,Jaquier,580
77,Monnier,578,77,Monnier,578,77,Monnier,578
78,Gaillard,575,78,Gaillard,575,78,Gaillard,575
79,Morel,566,79,Morel,566,79,Morel,566
80,Cardoso,562,80,Cardoso,562,80,Cardoso,562
81,Sousa,557,81,Sousa,557,81,Sousa,557
82,Piguet,554,82,Piguet,554,82,Piguet,554
82,Rapin,554,82,Rapin,554,82,Rapin,554
84,Tavares,544,84,Tavares,544,84,Tavares,544
85,Dutoit,529,85,Dutoit,529,85,Dutoit,529
86,Jordan,527,86,Jordan,527,86,Jordan,527
87,Moret,519,87,Moret,519,87,Moret,519
88,Monney,511,88,Monney,511,88,Monney,511
89,Henchoz,509,89,Henchoz,509,89,Henchoz,509
90,Gilliéron,506,90,Gilliéron,506,90,Gilliéron,506
91,Pahud,499,91,Pahud,499,91,Pahud,499
92,Gomez,495,92,Gomez,495,92,Gomez,495
93,Grandjean,491,93,Grandjean,491,93,Grandjean,491
94,Guex,487,94,Guex,487,94,Guex,487
95,Pache,485,95,Pache,485,95,Pache,485
96,Steiner,484,96,Steiner,484,96,Steiner,484
97,Chollet,482,97,Chollet,482,97,Chollet,482
98,Keller,480,98,Keller,480,98,Keller,480
99,Chapuis,476,99,Chapuis,476,99,Chapuis,476
100,Morina,471,100,Morina,471,100,Morina,471
