Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Fournier,1621,1,Fournier,1621,1,Fournier,1621
2,da Silva,1525,2,da Silva,1525,2,da Silva,1525
3,Ferreira,1335,3,Ferreira,1335,3,Ferreira,1335
4,Rey,1303,4,Rey,1303,4,Rey,1303
5,Favre,1294,5,Favre,1294,5,Favre,1294
6,Schmid,1209,6,Schmid,1209,6,Schmid,1209
7,Bonvin,1198,7,Bonvin,1198,7,Bonvin,1198
8,Pereira,1159,8,Pereira,1159,8,Pereira,1159
9,Imboden,1107,9,Imboden,1107,9,Imboden,1107
10,Zufferey,1077,10,Zufferey,1077,10,Zufferey,1077
11,dos Santos,1003,11,dos Santos,1003,11,dos Santos,1003
12,Roduit,989,12,Roduit,989,12,Roduit,989
13,Rodrigues,891,13,Rodrigues,891,13,Rodrigues,891
14,Burgener,867,14,Burgener,867,14,Burgener,867
15,Monnet,830,15,Monnet,830,15,Monnet,830
16,Fux,825,16,Fux,825,16,Fux,825
17,Fellay,804,17,Fellay,804,17,Fellay,804
18,Martins,798,18,Martins,798,18,Martins,798
19,Maret,778,19,Maret,778,19,Maret,778
20,Carron,762,20,Carron,762,20,Carron,762
21,Bruchez,751,21,Bruchez,751,21,Bruchez,751
22,Crettenand,733,22,Crettenand,733,22,Crettenand,733
22,Imhof,733,22,Imhof,733,22,Imhof,733
24,Studer,703,24,Studer,703,24,Studer,703
25,Michellod,692,25,Michellod,692,25,Michellod,692
25,Pfammatter,692,25,Pfammatter,692,25,Pfammatter,692
27,Constantin,689,27,Constantin,689,27,Constantin,689
27,Darbellay,689,27,Darbellay,689,27,Darbellay,689
29,Gomes,688,29,Gomes,688,29,Gomes,688
30,Furrer,681,30,Furrer,681,30,Furrer,681
31,Emery,674,31,Emery,674,31,Emery,674
31,Schnyder,674,31,Schnyder,674,31,Schnyder,674
33,Vouillamoz,672,33,Vouillamoz,672,33,Vouillamoz,672
34,Andenmatten,670,34,Andenmatten,670,34,Andenmatten,670
34,Gillioz,670,34,Gillioz,670,34,Gillioz,670
36,Bregy,665,36,Bregy,665,36,Bregy,665
37,Lopes,664,37,Lopes,664,37,Lopes,664
37,Marques,664,37,Marques,664,37,Marques,664
39,Fernandes,655,39,Fernandes,655,39,Fernandes,655
40,Dubuis,640,40,Dubuis,640,40,Dubuis,640
