Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,1277,1,Müller,1277,1,Müller,1277
2,Iten,1089,2,Iten,1089,2,Iten,1089
3,Meier,811,3,Meier,811,3,Meier,811
4,Hürlimann,732,4,Hürlimann,732,4,Hürlimann,732
5,Nussbaumer,650,5,Nussbaumer,650,5,Nussbaumer,650
6,Schmid,562,6,Schmid,562,6,Schmid,562
7,Weber,435,7,Weber,435,7,Weber,435
8,Arnold,400,8,Arnold,400,8,Arnold,400
9,Staub,387,9,Staub,387,9,Staub,387
10,Bucher,372,10,Bucher,372,10,Bucher,372
11,Hegglin,371,11,Hegglin,371,11,Hegglin,371
12,Rogenmoser,357,12,Rogenmoser,357,12,Rogenmoser,357
13,Steiner,356,13,Steiner,356,13,Steiner,356
14,Huber,350,14,Huber,350,14,Huber,350
15,Elsener,349,15,Elsener,349,15,Elsener,349
16,Schuler,344,16,Schuler,344,16,Schuler,344
17,Zimmermann,330,17,Zimmermann,330,17,Zimmermann,330
18,Suter,317,18,Suter,317,18,Suter,317
19,Zürcher,314,19,Zürcher,314,19,Zürcher,314
20,Keiser,292,20,Keiser,292,20,Keiser,292
21,Odermatt,290,21,Odermatt,290,21,Odermatt,290
22,Weiss,272,22,Weiss,272,22,Weiss,272
23,Wyss,268,23,Wyss,268,23,Wyss,268
24,Röllin,267,24,Röllin,267,24,Röllin,267
25,Baumann,261,25,Baumann,261,25,Baumann,261
26,Baumgartner,257,26,Baumgartner,257,26,Baumgartner,257
27,Keller,250,27,Keller,250,27,Keller,250
28,Andermatt,248,28,Andermatt,248,28,Andermatt,248
28,Fischer,248,28,Fischer,248,28,Fischer,248
28,Henggeler,248,28,Henggeler,248,28,Henggeler,248
31,Meyer,245,31,Meyer,245,31,Meyer,245
32,Merz,237,32,Merz,237,32,Merz,237
33,Betschart,235,33,Betschart,235,33,Betschart,235
34,Christen,231,34,Christen,231,34,Christen,231
34,Fuchs,231,34,Fuchs,231,34,Fuchs,231
36,Ulrich,226,36,Ulrich,226,36,Ulrich,226
37,Gisler,224,37,Gisler,224,37,Gisler,224
38,Sidler,222,38,Sidler,222,38,Sidler,222
39,Stocker,220,39,Stocker,220,39,Stocker,220
40,Schneider,215,40,Schneider,215,40,Schneider,215
41,Frei,210,41,Frei,210,41,Frei,210
42,Bachmann,205,42,Bachmann,205,42,Bachmann,205
43,Villiger,201,43,Villiger,201,43,Villiger,201
44,Roth,198,44,Roth,198,44,Roth,198
45,Furrer,188,45,Furrer,188,45,Furrer,188
46,Kaufmann,187,46,Kaufmann,187,46,Kaufmann,187
46,Kälin,187,46,Kälin,187,46,Kälin,187
48,Brunner,182,48,Brunner,182,48,Brunner,182
49,Hotz,174,49,Hotz,174,49,Hotz,174
50,Hess,172,50,Hess,172,50,Hess,172
51,Speck,161,51,Speck,161,51,Speck,161
52,Moser,160,52,Moser,160,52,Moser,160
53,Häusler,159,53,Häusler,159,53,Häusler,159
53,Studer,159,53,Studer,159,53,Studer,159
55,Koch,154,55,Koch,154,55,Koch,154
56,Walker,150,56,Walker,150,56,Walker,150
57,Bühler,149,57,Bühler,149,57,Bühler,149
58,Bütler,148,58,Bütler,148,58,Bütler,148
58,Moos,148,58,Moos,148,58,Moos,148
58,Portmann,148,58,Portmann,148,58,Portmann,148
58,Rust,148,58,Rust,148,58,Rust,148
62,Blattmann,146,62,Blattmann,146,62,Blattmann,146
62,Koller,146,62,Koller,146,62,Koller,146
64,Hausheer,144,64,Hausheer,144,64,Hausheer,144
65,Theiler,143,65,Theiler,143,65,Theiler,143
66,Landtwing,138,66,Landtwing,138,66,Landtwing,138
66,Widmer,138,66,Widmer,138,66,Widmer,138
68,Stadelmann,136,68,Stadelmann,136,68,Stadelmann,136
69,Knüsel,133,69,Knüsel,133,69,Knüsel,133
69,Limacher,133,69,Limacher,133,69,Limacher,133
71,Bieri,132,71,Bieri,132,71,Bieri,132
72,Küng,131,72,Küng,131,72,Küng,131
73,Niederberger,130,73,Niederberger,130,73,Niederberger,130
74,Huwyler,127,74,Huwyler,127,74,Huwyler,127
75,Zehnder,126,75,Zehnder,126,75,Zehnder,126
76,Wismer,125,76,Wismer,125,76,Wismer,125
77,Reichmuth,124,77,Reichmuth,124,77,Reichmuth,124
77,Schwerzmann,124,77,Schwerzmann,124,77,Schwerzmann,124
79,Marty,123,79,Marty,123,79,Marty,123
80,Camenzind,118,80,Camenzind,118,80,Camenzind,118
81,Frey,117,81,Frey,117,81,Frey,117
81,Gasser,117,81,Gasser,117,81,Gasser,117
81,Scherer,117,81,Scherer,117,81,Scherer,117
81,Weibel,117,81,Weibel,117,81,Weibel,117
85,Heinrich,116,85,Heinrich,116,85,Heinrich,116
86,Peter,111,86,Peter,111,86,Peter,111
86,Schicker,111,86,Schicker,111,86,Schicker,111
88,Pfister,110,88,Pfister,110,88,Pfister,110
88,Stalder,110,88,Stalder,110,88,Stalder,110
90,Annen,109,90,Annen,109,90,Annen,109
90,Kunz,109,90,Kunz,109,90,Kunz,109
92,Werder,108,92,Werder,108,92,Werder,108
93,Huwiler,106,93,Huwiler,106,93,Huwiler,106
94,Gabriel,104,94,Gabriel,104,94,Gabriel,104
94,Vogel,104,94,Vogel,104,94,Vogel,104
96,Hartmann,103,96,Hartmann,103,96,Hartmann,103
96,Rüttimann,103,96,Rüttimann,103,96,Rüttimann,103
98,Aschwanden,102,98,Aschwanden,102,98,Aschwanden,102
99,Erni,101,99,Erni,101,99,Erni,101
100,Besmer,100,100,Besmer,100,100,Besmer,100
