Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,11089,1,Müller,11089,1,Müller,11089
2,Meier,8933,2,Meier,8933,2,Meier,8933
3,Schmid,6410,3,Schmid,6410,3,Schmid,6410
4,Keller,6374,4,Keller,6374,4,Keller,6374
5,Weber,4946,5,Weber,4946,5,Weber,4946
6,Huber,4777,6,Huber,4777,6,Huber,4777
7,Frei,3881,7,Frei,3881,7,Frei,3881
8,Schneider,3801,8,Schneider,3801,8,Schneider,3801
9,Fischer,3464,9,Fischer,3464,9,Fischer,3464
10,Brunner,3201,10,Brunner,3201,10,Brunner,3201
11,Baumann,3114,11,Baumann,3114,11,Baumann,3114
12,Graf,3092,12,Graf,3092,12,Graf,3092
13,Meyer,3015,13,Meyer,3015,13,Meyer,3015
14,Steiner,2854,14,Steiner,2854,14,Steiner,2854
15,Bachmann,2814,15,Bachmann,2814,15,Bachmann,2814
16,Widmer,2553,16,Widmer,2553,16,Widmer,2553
17,Zimmermann,2475,17,Zimmermann,2475,17,Zimmermann,2475
18,Kunz,2317,18,Kunz,2317,18,Kunz,2317
19,Rüegg,2301,19,Rüegg,2301,19,Rüegg,2301
20,Moser,2215,20,Moser,2215,20,Moser,2215
21,Suter,2211,21,Suter,2211,21,Suter,2211
22,Egli,2185,22,Egli,2185,22,Egli,2185
23,Pfister,2014,23,Pfister,2014,23,Pfister,2014
24,Bosshard,1999,24,Bosshard,1999,24,Bosshard,1999
25,Roth,1981,25,Roth,1981,25,Roth,1981
26,Baumgartner,1954,26,Baumgartner,1954,26,Baumgartner,1954
27,Peter,1937,27,Peter,1937,27,Peter,1937
28,da Silva,1934,28,da Silva,1934,28,da Silva,1934
29,Krasniqi,1884,29,Krasniqi,1884,29,Krasniqi,1884
30,Hauser,1799,30,Hauser,1799,30,Hauser,1799
31,Bühler,1781,31,Bühler,1781,31,Bühler,1781
32,Berisha,1779,32,Berisha,1779,32,Berisha,1779
33,Gerber,1676,33,Gerber,1676,33,Gerber,1676
34,Koch,1665,34,Koch,1665,34,Koch,1665
35,Wyss,1658,35,Wyss,1658,35,Wyss,1658
36,Hofmann,1620,36,Hofmann,1620,36,Hofmann,1620
37,Schweizer,1598,37,Schweizer,1598,37,Schweizer,1598
38,Furrer,1577,38,Furrer,1577,38,Furrer,1577
39,Frey,1555,39,Frey,1555,39,Frey,1555
40,Berger,1536,40,Berger,1536,40,Berger,1536
41,Bucher,1532,41,Bucher,1532,41,Bucher,1532
