Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Maria,41253,Maria,41253,Maria,41253,Région linguistique allemande
Anna,32409,Anna,32409,Anna,32409,Région linguistique allemande
Ursula,31028,Ursula,31028,Ursula,31028,Région linguistique allemande
Monika,29943,Monika,29943,Monika,29943,Région linguistique allemande
Ruth,27853,Ruth,27853,Ruth,27853,Région linguistique allemande
Sandra,27475,Sandra,27475,Sandra,27475,Région linguistique allemande
Claudia,26379,Claudia,26379,Claudia,26379,Région linguistique allemande
Elisabeth,25941,Elisabeth,25941,Elisabeth,25941,Région linguistique allemande
Verena,25359,Verena,25359,Verena,25359,Région linguistique allemande
Andrea,25297,Andrea,25297,Andrea,25297,Région linguistique allemande
Barbara,23939,Barbara,23939,Barbara,23939,Région linguistique allemande
Silvia,22451,Silvia,22451,Silvia,22451,Région linguistique allemande
Nicole,22113,Nicole,22113,Nicole,22113,Région linguistique allemande
Daniela,21317,Daniela,21317,Daniela,21317,Région linguistique allemande
Karin,21058,Karin,21058,Karin,21058,Région linguistique allemande
Susanne,18713,Susanne,18713,Susanne,18713,Région linguistique allemande
Katharina,17449,Katharina,17449,Katharina,17449,Région linguistique allemande
Marianne,17329,Marianne,17329,Marianne,17329,Région linguistique allemande
Margrit,17054,Margrit,17054,Margrit,17054,Région linguistique allemande
Erika,16955,Erika,16955,Erika,16955,Région linguistique allemande
Brigitte,16649,Brigitte,16649,Brigitte,16649,Région linguistique allemande
Christine,16512,Christine,16512,Christine,16512,Région linguistique allemande
Esther,16229,Esther,16229,Esther,16229,Région linguistique allemande
Rita,15956,Rita,15956,Rita,15956,Région linguistique allemande
Anita,15472,Anita,15472,Anita,15472,Région linguistique allemande
Manuela,15458,Manuela,15458,Manuela,15458,Région linguistique allemande
Laura,15179,Laura,15179,Laura,15179,Région linguistique allemande
Rosmarie,15100,Rosmarie,15100,Rosmarie,15100,Région linguistique allemande
Heidi,15093,Heidi,15093,Heidi,15093,Région linguistique allemande
Sarah,15064,Sarah,15064,Sarah,15064,Région linguistique allemande
Sonja,14708,Sonja,14708,Sonja,14708,Région linguistique allemande
Beatrice,14599,Beatrice,14599,Beatrice,14599,Région linguistique allemande
Doris,14190,Doris,14190,Doris,14190,Région linguistique allemande
Franziska,13553,Franziska,13553,Franziska,13553,Région linguistique allemande
Julia,13296,Julia,13296,Julia,13296,Région linguistique allemande
Yvonne,13266,Yvonne,13266,Yvonne,13266,Région linguistique allemande
Cornelia,13204,Cornelia,13204,Cornelia,13204,Région linguistique allemande
Gabriela,12810,Gabriela,12810,Gabriela,12810,Région linguistique allemande
Irene,12602,Irene,12602,Irene,12602,Région linguistique allemande
Martina,12406,Martina,12406,Martina,12406,Région linguistique allemande
Melanie,12306,Melanie,12306,Melanie,12306,Région linguistique allemande
Sara,12015,Sara,12015,Sara,12015,Région linguistique allemande
Sabrina,10753,Sabrina,10753,Sabrina,10753,Région linguistique allemande
Gertrud,10565,Gertrud,10565,Gertrud,10565,Région linguistique allemande
Eva,10399,Eva,10399,Eva,10399,Région linguistique allemande
Lea,10390,Lea,10390,Lea,10390,Région linguistique allemande
Nina,10368,Nina,10368,Nina,10368,Région linguistique allemande
Alexandra,10349,Alexandra,10349,Alexandra,10349,Région linguistique allemande
Nadine,10325,Nadine,10325,Nadine,10325,Région linguistique allemande
Fabienne,10081,Fabienne,10081,Fabienne,10081,Région linguistique allemande
Edith,10024,Edith,10024,Edith,10024,Région linguistique allemande
Regula,9963,Regula,9963,Regula,9963,Région linguistique allemande
Tanja,9886,Tanja,9886,Tanja,9886,Région linguistique allemande
Jasmin,9695,Jasmin,9695,Jasmin,9695,Région linguistique allemande
