Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Peter,50552,Peter,50552,Peter,50552,Région linguistique allemande
Daniel,50520,Daniel,50520,Daniel,50520,Région linguistique allemande
Thomas,45795,Thomas,45795,Thomas,45795,Région linguistique allemande
Hans,40976,Hans,40976,Hans,40976,Région linguistique allemande
Andreas,38155,Andreas,38155,Andreas,38155,Région linguistique allemande
Martin,37419,Martin,37419,Martin,37419,Région linguistique allemande
Michael,36343,Michael,36343,Michael,36343,Région linguistique allemande
Markus,35741,Markus,35741,Markus,35741,Région linguistique allemande
Christian,32288,Christian,32288,Christian,32288,Région linguistique allemande
Stefan,29624,Stefan,29624,Stefan,29624,Région linguistique allemande
Marco,25973,Marco,25973,Marco,25973,Région linguistique allemande
Urs,24936,Urs,24936,Urs,24936,Région linguistique allemande
Patrick,23103,Patrick,23103,Patrick,23103,Région linguistique allemande
David,22071,David,22071,David,22071,Région linguistique allemande
Walter,21367,Walter,21367,Walter,21367,Région linguistique allemande
Bruno,21161,Bruno,21161,Bruno,21161,Région linguistique allemande
Marcel,20989,Marcel,20989,Marcel,20989,Région linguistique allemande
Simon,20031,Simon,20031,Simon,20031,Région linguistique allemande
René,19660,René,19660,René,19660,Région linguistique allemande
Beat,19613,Beat,19613,Beat,19613,Région linguistique allemande
Roland,19043,Roland,19043,Roland,19043,Région linguistique allemande
Werner,17289,Werner,17289,Werner,17289,Région linguistique allemande
Christoph,16739,Christoph,16739,Christoph,16739,Région linguistique allemande
Rolf,16620,Rolf,16620,Rolf,16620,Région linguistique allemande
Lukas,16471,Lukas,16471,Lukas,16471,Région linguistique allemande
Roger,16414,Roger,16414,Roger,16414,Région linguistique allemande
Pascal,16379,Pascal,16379,Pascal,16379,Région linguistique allemande
Adrian,16329,Adrian,16329,Adrian,16329,Région linguistique allemande
Kurt,16119,Kurt,16119,Kurt,16119,Région linguistique allemande
Marc,15397,Marc,15397,Marc,15397,Région linguistique allemande
Josef,15134,Josef,15134,Josef,15134,Région linguistique allemande
Heinz,15048,Heinz,15048,Heinz,15048,Région linguistique allemande
Rudolf,14628,Rudolf,14628,Rudolf,14628,Région linguistique allemande
Fabian,14566,Fabian,14566,Fabian,14566,Région linguistique allemande
Reto,14375,Reto,14375,Reto,14375,Région linguistique allemande
Paul,14340,Paul,14340,Paul,14340,Région linguistique allemande
Manuel,14240,Manuel,14240,Manuel,14240,Région linguistique allemande
Luca,14213,Luca,14213,Luca,14213,Région linguistique allemande
Alexander,13935,Alexander,13935,Alexander,13935,Région linguistique allemande
Philipp,13884,Philipp,13884,Philipp,13884,Région linguistique allemande
Matthias,13532,Matthias,13532,Matthias,13532,Région linguistique allemande
Robert,13314,Robert,13314,Robert,13314,Région linguistique allemande
Jan,13254,Jan,13254,Jan,13254,Région linguistique allemande
Samuel,13224,Samuel,13224,Samuel,13224,Région linguistique allemande
Stephan,12513,Stephan,12513,Stephan,12513,Région linguistique allemande
Jürg,12270,Jürg,12270,Jürg,12270,Région linguistique allemande
André,11918,André,11918,André,11918,Région linguistique allemande
Ernst,11736,Ernst,11736,Ernst,11736,Région linguistique allemande
Roman,11629,Roman,11629,Roman,11629,Région linguistique allemande
Dominik,11306,Dominik,11306,Dominik,11306,Région linguistique allemande
Tobias,11103,Tobias,11103,Tobias,11103,Région linguistique allemande
Oliver,11091,Oliver,11091,Oliver,11091,Région linguistique allemande
Florian,10943,Florian,10943,Florian,10943,Région linguistique allemande
Benjamin,10919,Benjamin,10919,Benjamin,10919,Région linguistique allemande
Mario,10883,Mario,10883,Mario,10883,Région linguistique allemande
Anton,10752,Anton,10752,Anton,10752,Région linguistique allemande
Alfred,10667,Alfred,10667,Alfred,10667,Région linguistique allemande
Jonas,10412,Jonas,10412,Jonas,10412,Région linguistique allemande
Franz,9823,Franz,9823,Franz,9823,Région linguistique allemande
Sandro,9765,Sandro,9765,Sandro,9765,Région linguistique allemande
Max,9584,Max,9584,Max,9584,Région linguistique allemande
Ulrich,9355,Ulrich,9355,Ulrich,9355,Région linguistique allemande
Felix,9348,Felix,9348,Felix,9348,Région linguistique allemande
Noah,9283,Noah,9283,Noah,9283,Région linguistique allemande
Raphael,9156,Raphael,9156,Raphael,9156,Région linguistique allemande
Kevin,9104,Kevin,9104,Kevin,9104,Région linguistique allemande
Antonio,8814,Antonio,8814,Antonio,8814,Région linguistique allemande
Fabio,8779,Fabio,8779,Fabio,8779,Région linguistique allemande
Johann,8772,Johann,8772,Johann,8772,Région linguistique allemande
Dario,8504,Dario,8504,Dario,8504,Région linguistique allemande
Nico,8210,Nico,8210,Nico,8210,Région linguistique allemande
Bernhard,8174,Bernhard,8174,Bernhard,8174,Région linguistique allemande
Nicolas,8036,Nicolas,8036,Nicolas,8036,Région linguistique allemande
Tim,7798,Tim,7798,Tim,7798,Région linguistique allemande
Fritz,7796,Fritz,7796,Fritz,7796,Région linguistique allemande
Karl,7733,Karl,7733,Karl,7733,Région linguistique allemande
Sven,7722,Sven,7722,Sven,7722,Région linguistique allemande
Remo,7310,Remo,7310,Remo,7310,Région linguistique allemande
Julian,7235,Julian,7235,Julian,7235,Région linguistique allemande
Robin,7140,Robin,7140,Robin,7140,Région linguistique allemande
Leon,7061,Leon,7061,Leon,7061,Région linguistique allemande
Sebastian,6917,Sebastian,6917,Sebastian,6917,Région linguistique allemande
Giuseppe,6913,Giuseppe,6913,Giuseppe,6913,Région linguistique allemande
Erich,6912,Erich,6912,Erich,6912,Région linguistique allemande
Joel,6859,Joel,6859,Joel,6859,Région linguistique allemande
Gabriel,6500,Gabriel,6500,Gabriel,6500,Région linguistique allemande
Ivan,6494,Ivan,6494,Ivan,6494,Région linguistique allemande
Claudio,6377,Claudio,6377,Claudio,6377,Région linguistique allemande
Elias,6360,Elias,6360,Elias,6360,Région linguistique allemande
Jakob,6274,Jakob,6274,Jakob,6274,Région linguistique allemande
Michel,6266,Michel,6266,Michel,6266,Région linguistique allemande
Lars,6214,Lars,6214,Lars,6214,Région linguistique allemande
Richard,6085,Richard,6085,Richard,6085,Région linguistique allemande
Silvan,5791,Silvan,5791,Silvan,5791,Région linguistique allemande
Matteo,5727,Matteo,5727,Matteo,5727,Région linguistique allemande
Ali,5673,Ali,5673,Ali,5673,Région linguistique allemande
Gian,5641,Gian,5641,Gian,5641,Région linguistique allemande
Albert,5628,Albert,5628,Albert,5628,Région linguistique allemande
Alessandro,5616,Alessandro,5616,Alessandro,5616,Région linguistique allemande
José,5613,José,5613,José,5613,Région linguistique allemande
