Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Maria,26329,Maria,26329,Maria,26329,Région linguistique française
Marie,13140,Marie,13140,Marie,13140,Région linguistique française
Anne,7647,Anne,7647,Anne,7647,Région linguistique française
Ana,7467,Ana,7467,Ana,7467,Région linguistique française
Catherine,7420,Catherine,7420,Catherine,7420,Région linguistique française
Nathalie,7397,Nathalie,7397,Nathalie,7397,Région linguistique française
Isabelle,7024,Isabelle,7024,Isabelle,7024,Région linguistique française
Christine,6487,Christine,6487,Christine,6487,Région linguistique française
Sandra,6476,Sandra,6476,Sandra,6476,Région linguistique française
Nicole,6356,Nicole,6356,Nicole,6356,Région linguistique française
Françoise,5926,Françoise,5926,Françoise,5926,Région linguistique française
Laura,5694,Laura,5694,Laura,5694,Région linguistique française
Sarah,5660,Sarah,5660,Sarah,5660,Région linguistique française
Monique,5473,Monique,5473,Monique,5473,Région linguistique française
Patricia,5436,Patricia,5436,Patricia,5436,Région linguistique française
Sophie,5407,Sophie,5407,Sophie,5407,Région linguistique française
Anna,5013,Anna,5013,Anna,5013,Région linguistique française
Valérie,5010,Valérie,5010,Valérie,5010,Région linguistique française
Céline,4966,Céline,4966,Céline,4966,Région linguistique française
Jacqueline,4775,Jacqueline,4775,Jacqueline,4775,Région linguistique française
Christiane,4697,Christiane,4697,Christiane,4697,Région linguistique française
Véronique,4656,Véronique,4656,Véronique,4656,Région linguistique française
Stéphanie,4592,Stéphanie,4592,Stéphanie,4592,Région linguistique française
Chantal,4538,Chantal,4538,Chantal,4538,Région linguistique française
Caroline,4448,Caroline,4448,Caroline,4448,Région linguistique française
Sylvie,4274,Sylvie,4274,Sylvie,4274,Région linguistique française
Emma,4214,Emma,4214,Emma,4214,Région linguistique française
Sara,4158,Sara,4158,Sara,4158,Région linguistique française
Julie,4109,Julie,4109,Julie,4109,Région linguistique française
Corinne,4089,Corinne,4089,Corinne,4089,Région linguistique française
Elisabeth,3982,Elisabeth,3982,Elisabeth,3982,Région linguistique française
Camille,3917,Camille,3917,Camille,3917,Région linguistique française
Emilie,3906,Emilie,3906,Emilie,3906,Région linguistique française
Martine,3849,Martine,3849,Martine,3849,Région linguistique française
Léa,3745,Léa,3745,Léa,3745,Région linguistique française
Eva,3731,Eva,3731,Eva,3731,Région linguistique française
Jessica,3674,Jessica,3674,Jessica,3674,Région linguistique française
Mélanie,3588,Mélanie,3588,Mélanie,3588,Région linguistique française
Marianne,3586,Marianne,3586,Marianne,3586,Région linguistique française
Laurence,3582,Laurence,3582,Laurence,3582,Région linguistique française
Fabienne,3580,Fabienne,3580,Fabienne,3580,Région linguistique française
Chloé,3574,Chloé,3574,Chloé,3574,Région linguistique française
Charlotte,3514,Charlotte,3514,Charlotte,3514,Région linguistique française
