Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Jean,12725,Jean,12725,Jean,12725,Région linguistique française
David,11475,David,11475,David,11475,Région linguistique française
Daniel,11438,Daniel,11438,Daniel,11438,Région linguistique française
Nicolas,10711,Nicolas,10711,Nicolas,10711,Région linguistique française
Pierre,10172,Pierre,10172,Pierre,10172,Région linguistique française
Philippe,9900,Philippe,9900,Philippe,9900,Région linguistique française
Michel,9671,Michel,9671,Michel,9671,Région linguistique française
Alexandre,8894,Alexandre,8894,Alexandre,8894,Région linguistique française
José,8754,José,8754,José,8754,Région linguistique française
Christian,7817,Christian,7817,Christian,7817,Région linguistique française
Olivier,7744,Olivier,7744,Olivier,7744,Région linguistique française
Patrick,7229,Patrick,7229,Patrick,7229,Région linguistique française
Christophe,6675,Christophe,6675,Christophe,6675,Région linguistique française
Julien,6635,Julien,6635,Julien,6635,Région linguistique française
Stéphane,6457,Stéphane,6457,Stéphane,6457,Région linguistique française
Alain,6412,Alain,6412,Alain,6412,Région linguistique française
André,6283,André,6283,André,6283,Région linguistique française
Thomas,6216,Thomas,6216,Thomas,6216,Région linguistique française
Laurent,6156,Laurent,6156,Laurent,6156,Région linguistique française
Sébastien,5905,Sébastien,5905,Sébastien,5905,Région linguistique française
Marc,5887,Marc,5887,Marc,5887,Région linguistique française
Pascal,5829,Pascal,5829,Pascal,5829,Région linguistique française
Claude,5633,Claude,5633,Claude,5633,Région linguistique française
Eric,5632,Eric,5632,Eric,5632,Région linguistique française
François,5621,François,5621,François,5621,Région linguistique française
Frédéric,5531,Frédéric,5531,Frédéric,5531,Région linguistique française
Vincent,5324,Vincent,5324,Vincent,5324,Région linguistique française
Gabriel,5063,Gabriel,5063,Gabriel,5063,Région linguistique française
Samuel,5015,Samuel,5015,Samuel,5015,Région linguistique française
Bernard,4993,Bernard,4993,Bernard,4993,Région linguistique française
Antonio,4870,Antonio,4870,Antonio,4870,Région linguistique française
Jacques,4673,Jacques,4673,Jacques,4673,Région linguistique française
Thierry,4414,Thierry,4414,Thierry,4414,Région linguistique française
Maxime,4362,Maxime,4362,Maxime,4362,Région linguistique française
Raphaël,4356,Raphaël,4356,Raphaël,4356,Région linguistique française
Cédric,4340,Cédric,4340,Cédric,4340,Région linguistique française
Carlos,4200,Carlos,4200,Carlos,4200,Région linguistique française
Manuel,4045,Manuel,4045,Manuel,4045,Région linguistique française
Luca,3982,Luca,3982,Luca,3982,Région linguistique française
Bruno,3964,Bruno,3964,Bruno,3964,Région linguistique française
Romain,3895,Romain,3895,Romain,3895,Région linguistique française
Antoine,3887,Antoine,3887,Antoine,3887,Région linguistique française
Louis,3828,Louis,3828,Louis,3828,Région linguistique française
Lucas,3743,Lucas,3743,Lucas,3743,Région linguistique française
Yves,3734,Yves,3734,Yves,3734,Région linguistique française
Marco,3622,Marco,3622,Marco,3622,Région linguistique française
Paul,3609,Paul,3609,Paul,3609,Région linguistique française
Benjamin,3587,Benjamin,3587,Benjamin,3587,Région linguistique française
Jonathan,3578,Jonathan,3578,Jonathan,3578,Région linguistique française
Guillaume,3508,Guillaume,3508,Guillaume,3508,Région linguistique française
Simon,3423,Simon,3423,Simon,3423,Région linguistique française
Kevin,3388,Kevin,3388,Kevin,3388,Région linguistique française
Jérôme,3386,Jérôme,3386,Jérôme,3386,Région linguistique française
Hugo,3355,Hugo,3355,Hugo,3355,Région linguistique française
