Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Maria,6282,Maria,6282,Maria,6282,Région linguistique italienne
Anna,2760,Anna,2760,Anna,2760,Région linguistique italienne
Sara,2020,Sara,2020,Sara,2020,Région linguistique italienne
Daniela,1886,Daniela,1886,Daniela,1886,Région linguistique italienne
Laura,1862,Laura,1862,Laura,1862,Région linguistique italienne
Elena,1802,Elena,1802,Elena,1802,Région linguistique italienne
Francesca,1670,Francesca,1670,Francesca,1670,Région linguistique italienne
Giulia,1643,Giulia,1643,Giulia,1643,Région linguistique italienne
Paola,1445,Paola,1445,Paola,1445,Région linguistique italienne
Cristina,1393,Cristina,1393,Cristina,1393,Région linguistique italienne
Chiara,1355,Chiara,1355,Chiara,1355,Région linguistique italienne
Claudia,1344,Claudia,1344,Claudia,1344,Région linguistique italienne
Monica,1340,Monica,1340,Monica,1340,Région linguistique italienne
Barbara,1322,Barbara,1322,Barbara,1322,Région linguistique italienne
Martina,1246,Martina,1246,Martina,1246,Région linguistique italienne
Valentina,1241,Valentina,1241,Valentina,1241,Région linguistique italienne
Elisa,1195,Elisa,1195,Elisa,1195,Région linguistique italienne
Silvia,1191,Silvia,1191,Silvia,1191,Région linguistique italienne
Sofia,1168,Sofia,1168,Sofia,1168,Région linguistique italienne
Manuela,1146,Manuela,1146,Manuela,1146,Région linguistique italienne
Patrizia,1143,Patrizia,1143,Patrizia,1143,Région linguistique italienne
Alice,1139,Alice,1139,Alice,1139,Région linguistique italienne
Alessia,1072,Alessia,1072,Alessia,1072,Région linguistique italienne
Angela,1043,Angela,1043,Angela,1043,Région linguistique italienne
Simona,1036,Simona,1036,Simona,1036,Région linguistique italienne
Alessandra,1019,Alessandra,1019,Alessandra,1019,Région linguistique italienne
Nadia,1017,Nadia,1017,Nadia,1017,Région linguistique italienne
Lucia,1008,Lucia,1008,Lucia,1008,Région linguistique italienne
Michela,972,Michela,972,Michela,972,Région linguistique italienne
Carla,949,Carla,949,Carla,949,Région linguistique italienne
Sandra,906,Sandra,906,Sandra,906,Région linguistique italienne
Rita,891,Rita,891,Rita,891,Région linguistique italienne
Nicole,888,Nicole,888,Nicole,888,Région linguistique italienne
Stefania,884,Stefania,884,Stefania,884,Région linguistique italienne
Roberta,837,Roberta,837,Roberta,837,Région linguistique italienne
Giovanna,827,Giovanna,827,Giovanna,827,Région linguistique italienne
Sabrina,816,Sabrina,816,Sabrina,816,Région linguistique italienne
Sonia,803,Sonia,803,Sonia,803,Région linguistique italienne
Antonella,795,Antonella,795,Antonella,795,Région linguistique italienne
Emma,778,Emma,778,Emma,778,Région linguistique italienne
Rosa,777,Rosa,777,Rosa,777,Région linguistique italienne
Lara,771,Lara,771,Lara,771,Région linguistique italienne
Giada,742,Giada,742,Giada,742,Région linguistique italienne
Gabriella,740,Gabriella,740,Gabriella,740,Région linguistique italienne
Giorgia,728,Giorgia,728,Giorgia,728,Région linguistique italienne
Beatrice,709,Beatrice,709,Beatrice,709,Région linguistique italienne
Lisa,704,Lisa,704,Lisa,704,Région linguistique italienne
Federica,670,Federica,670,Federica,670,Région linguistique italienne
Silvana,667,Silvana,667,Silvana,667,Région linguistique italienne
Marina,657,Marina,657,Marina,657,Région linguistique italienne
Franca,637,Franca,637,Franca,637,Région linguistique italienne
Giuseppina,612,Giuseppina,612,Giuseppina,612,Région linguistique italienne
Eleonora,606,Eleonora,606,Eleonora,606,Région linguistique italienne
Cinzia,603,Cinzia,603,Cinzia,603,Région linguistique italienne
Valeria,598,Valeria,598,Valeria,598,Région linguistique italienne
Tiziana,596,Tiziana,596,Tiziana,596,Région linguistique italienne
Caterina,594,Caterina,594,Caterina,594,Région linguistique italienne
Arianna,585,Arianna,585,Arianna,585,Région linguistique italienne
Aurora,583,Aurora,583,Aurora,583,Région linguistique italienne
Carmen,581,Carmen,581,Carmen,581,Région linguistique italienne
Jessica,579,Jessica,579,Jessica,579,Région linguistique italienne
