Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Gian,145,Gian,145,Gian,145,Région linguistique romanche
Martin,140,Martin,140,Martin,140,Région linguistique romanche
Christian,126,Christian,126,Christian,126,Région linguistique romanche
Daniel,124,Daniel,124,Daniel,124,Région linguistique romanche
Gion,124,Gion,124,Gion,124,Région linguistique romanche
Jon,115,Jon,115,Jon,115,Région linguistique romanche
Reto,100,Reto,100,Reto,100,Région linguistique romanche
Mario,90,Mario,90,Mario,90,Région linguistique romanche
Peter,87,Peter,87,Peter,87,Région linguistique romanche
Marco,85,Marco,85,Marco,85,Région linguistique romanche
Flurin,82,Flurin,82,Flurin,82,Région linguistique romanche
Thomas,81,Thomas,81,Thomas,81,Région linguistique romanche
Claudio,78,Claudio,78,Claudio,78,Région linguistique romanche
Simon,73,Simon,73,Simon,73,Région linguistique romanche
Andri,69,Andri,69,Andri,69,Région linguistique romanche
Manuel,66,Manuel,66,Manuel,66,Région linguistique romanche
Sandro,66,Sandro,66,Sandro,66,Région linguistique romanche
Andreas,65,Andreas,65,Andreas,65,Région linguistique romanche
Curdin,64,Curdin,64,Curdin,64,Région linguistique romanche
Roman,64,Roman,64,Roman,64,Région linguistique romanche
Werner,64,Werner,64,Werner,64,Région linguistique romanche
Paul,61,Paul,61,Paul,61,Région linguistique romanche
Corsin,60,Corsin,60,Corsin,60,Région linguistique romanche
Hans,60,Hans,60,Hans,60,Région linguistique romanche
Walter,60,Walter,60,Walter,60,Région linguistique romanche
Giusep,59,Giusep,59,Giusep,59,Région linguistique romanche
Luca,59,Luca,59,Luca,59,Région linguistique romanche
David,58,David,58,David,58,Région linguistique romanche
Bruno,57,Bruno,57,Bruno,57,Région linguistique romanche
Fadri,57,Fadri,57,Fadri,57,Région linguistique romanche
Robert,56,Robert,56,Robert,56,Région linguistique romanche
Fabio,55,Fabio,55,Fabio,55,Région linguistique romanche
Markus,55,Markus,55,Markus,55,Région linguistique romanche
Adrian,54,Adrian,54,Adrian,54,Région linguistique romanche
Fabian,53,Fabian,53,Fabian,53,Région linguistique romanche
Marcus,53,Marcus,53,Marcus,53,Région linguistique romanche
Anton,52,Anton,52,Anton,52,Région linguistique romanche
Michael,52,Michael,52,Michael,52,Région linguistique romanche
Urs,51,Urs,51,Urs,51,Région linguistique romanche
Dario,50,Dario,50,Dario,50,Région linguistique romanche
Livio,50,Livio,50,Livio,50,Région linguistique romanche
Roland,50,Roland,50,Roland,50,Région linguistique romanche
Alfred,49,Alfred,49,Alfred,49,Région linguistique romanche
Jachen,49,Jachen,49,Jachen,49,Région linguistique romanche
Duri,48,Duri,48,Duri,48,Région linguistique romanche
Marcel,48,Marcel,48,Marcel,48,Région linguistique romanche
Rudolf,48,Rudolf,48,Rudolf,48,Région linguistique romanche
Silvio,48,Silvio,48,Silvio,48,Région linguistique romanche
Josef,47,Josef,47,Josef,47,Région linguistique romanche
Remo,46,Remo,46,Remo,46,Région linguistique romanche
Andrea,45,Andrea,45,Andrea,45,Région linguistique romanche
Beat,45,Beat,45,Beat,45,Région linguistique romanche
Guido,45,Guido,45,Guido,45,Région linguistique romanche
Antonio,41,Antonio,41,Antonio,41,Région linguistique romanche
Johann,41,Johann,41,Johann,41,Région linguistique romanche
Stefan,41,Stefan,41,Stefan,41,Région linguistique romanche
Arno,40,Arno,40,Arno,40,Région linguistique romanche
Erwin,40,Erwin,40,Erwin,40,Région linguistique romanche
Flavio,40,Flavio,40,Flavio,40,Région linguistique romanche
Jan,40,Jan,40,Jan,40,Région linguistique romanche
Lucas,40,Lucas,40,Lucas,40,Région linguistique romanche
René,40,René,40,René,40,Région linguistique romanche
Rico,39,Rico,39,Rico,39,Région linguistique romanche
Alexander,38,Alexander,38,Alexander,38,Région linguistique romanche
Damian,38,Damian,38,Damian,38,Région linguistique romanche
Pius,38,Pius,38,Pius,38,Région linguistique romanche
Severin,38,Severin,38,Severin,38,Région linguistique romanche
Mauro,36,Mauro,36,Mauro,36,Région linguistique romanche
José,35,José,35,José,35,Région linguistique romanche
Linus,35,Linus,35,Linus,35,Région linguistique romanche
Luis,35,Luis,35,Luis,35,Région linguistique romanche
Patrick,35,Patrick,35,Patrick,35,Région linguistique romanche
Silvan,35,Silvan,35,Silvan,35,Région linguistique romanche
Linard,34,Linard,34,Linard,34,Région linguistique romanche
Men,34,Men,34,Men,34,Région linguistique romanche
Rafael,34,Rafael,34,Rafael,34,Région linguistique romanche
Albert,33,Albert,33,Albert,33,Région linguistique romanche
Florian,33,Florian,33,Florian,33,Région linguistique romanche
Laurin,33,Laurin,33,Laurin,33,Région linguistique romanche
Nico,33,Nico,33,Nico,33,Région linguistique romanche
Richard,33,Richard,33,Richard,33,Région linguistique romanche
Alois,32,Alois,32,Alois,32,Région linguistique romanche
Armon,32,Armon,32,Armon,32,Région linguistique romanche
Georg,32,Georg,32,Georg,32,Région linguistique romanche
Elia,31,Elia,31,Elia,31,Région linguistique romanche
Leo,31,Leo,31,Leo,31,Région linguistique romanche
Nino,31,Nino,31,Nino,31,Région linguistique romanche
Samuel,31,Samuel,31,Samuel,31,Région linguistique romanche
Ursin,31,Ursin,31,Ursin,31,Région linguistique romanche
Meinrad,30,Meinrad,30,Meinrad,30,Région linguistique romanche
Andrin,29,Andrin,29,Andrin,29,Région linguistique romanche
Marc,29,Marc,29,Marc,29,Région linguistique romanche
Maurus,29,Maurus,29,Maurus,29,Région linguistique romanche
Armin,28,Armin,28,Armin,28,Région linguistique romanche
Pascal,28,Pascal,28,Pascal,28,Région linguistique romanche
Roger,28,Roger,28,Roger,28,Région linguistique romanche
Mathias,27,Mathias,27,Mathias,27,Région linguistique romanche
Nicola,27,Nicola,27,Nicola,27,Région linguistique romanche
Otto,27,Otto,27,Otto,27,Région linguistique romanche
Christoph,26,Christoph,26,Christoph,26,Région linguistique romanche
