Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Maria,73412,Maria,73412,Maria,73412,Suisse
Anna,40099,Anna,40099,Anna,40099,Suisse
Sandra,34944,Sandra,34944,Sandra,34944,Suisse
Ursula,32371,Ursula,32371,Ursula,32371,Suisse
Monika,31199,Monika,31199,Monika,31199,Suisse
Claudia,30247,Claudia,30247,Claudia,30247,Suisse
Elisabeth,29791,Elisabeth,29791,Elisabeth,29791,Suisse
Nicole,29426,Nicole,29426,Nicole,29426,Suisse
Ruth,28983,Ruth,28983,Ruth,28983,Suisse
Barbara,27517,Barbara,27517,Barbara,27517,Suisse
Andrea,26965,Andrea,26965,Andrea,26965,Suisse
Verena,26080,Verena,26080,Verena,26080,Suisse
Daniela,25733,Daniela,25733,Daniela,25733,Suisse
Silvia,25576,Silvia,25576,Silvia,25576,Suisse
Christine,23142,Christine,23142,Christine,23142,Suisse
Laura,23080,Laura,23080,Laura,23080,Suisse
Marie,22426,Marie,22426,Marie,22426,Suisse
Karin,22418,Karin,22418,Karin,22418,Suisse
Sarah,21195,Sarah,21195,Sarah,21195,Suisse
Marianne,20871,Marianne,20871,Marianne,20871,Suisse
Brigitte,19564,Brigitte,19564,Brigitte,19564,Suisse
Susanne,19557,Susanne,19557,Susanne,19557,Suisse
Sara,18491,Sara,18491,Sara,18491,Suisse
Rita,18418,Rita,18418,Rita,18418,Suisse
Erika,18223,Erika,18223,Erika,18223,Suisse
Katharina,18060,Katharina,18060,Katharina,18060,Suisse
Manuela,17826,Manuela,17826,Manuela,17826,Suisse
Esther,17528,Esther,17528,Esther,17528,Suisse
Anita,17492,Anita,17492,Anita,17492,Suisse
Margrit,17316,Margrit,17316,Margrit,17316,Suisse
Julia,16156,Julia,16156,Julia,16156,Suisse
Ana,16141,Ana,16141,Ana,16141,Suisse
Beatrice,15872,Beatrice,15872,Beatrice,15872,Suisse
Heidi,15850,Heidi,15850,Heidi,15850,Suisse
Sonja,15413,Sonja,15413,Sonja,15413,Suisse
Rosmarie,15328,Rosmarie,15328,Rosmarie,15328,Suisse
Doris,15321,Doris,15321,Doris,15321,Suisse
Yvonne,14623,Yvonne,14623,Yvonne,14623,Suisse
Eva,14551,Eva,14551,Eva,14551,Suisse
Elena,14501,Elena,14501,Elena,14501,Suisse
Martina,14479,Martina,14479,Martina,14479,Suisse
Alexandra,14199,Alexandra,14199,Alexandra,14199,Suisse
Gabriela,14105,Gabriela,14105,Gabriela,14105,Suisse
Jacqueline,14073,Jacqueline,14073,Jacqueline,14073,Suisse
Franziska,13983,Franziska,13983,Franziska,13983,Suisse
Fabienne,13809,Fabienne,13809,Fabienne,13809,Suisse
Sabrina,13749,Sabrina,13749,Sabrina,13749,Suisse
Cornelia,13737,Cornelia,13737,Cornelia,13737,Suisse
Irene,13703,Irene,13703,Irene,13703,Suisse
Isabelle,13493,Isabelle,13493,Isabelle,13493,Suisse
Patricia,13421,Patricia,13421,Patricia,13421,Suisse
Nathalie,13356,Nathalie,13356,Nathalie,13356,Suisse
Melanie,13009,Melanie,13009,Melanie,13009,Suisse
Nina,12768,Nina,12768,Nina,12768,Suisse
Corinne,12644,Corinne,12644,Corinne,12644,Suisse
Nadine,12332,Nadine,12332,Nadine,12332,Suisse
Angela,12326,Angela,12326,Angela,12326,Suisse
Rosa,12258,Rosa,12258,Rosa,12258,Suisse
Emma,12235,Emma,12235,Emma,12235,Suisse
Jessica,12071,Jessica,12071,Jessica,12071,Suisse
Vanessa,12045,Vanessa,12045,Vanessa,12045,Suisse
Lara,11991,Lara,11991,Lara,11991,Suisse
Lea,11852,Lea,11852,Lea,11852,Suisse
Sophie,11846,Sophie,11846,Sophie,11846,Suisse
Edith,11347,Edith,11347,Edith,11347,Suisse
Alice,11174,Alice,11174,Alice,11174,Suisse
Caroline,10686,Caroline,10686,Caroline,10686,Suisse
Gertrud,10517,Gertrud,10517,Gertrud,10517,Suisse
Anne,10501,Anne,10501,Anne,10501,Suisse
Tanja,10420,Tanja,10420,Tanja,10420,Suisse
Regula,10268,Regula,10268,Regula,10268,Suisse
Denise,10200,Denise,10200,Denise,10200,Suisse
Céline,10098,Céline,10098,Céline,10098,Suisse
Carmen,10093,Carmen,10093,Carmen,10093,Suisse
Simone,10024,Simone,10024,Simone,10024,Suisse
Jasmin,9969,Jasmin,9969,Jasmin,9969,Suisse
Tamara,9958,Tamara,9958,Tamara,9958,Suisse
Petra,9939,Petra,9939,Petra,9939,Suisse
Sabine,9926,Sabine,9926,Sabine,9926,Suisse
Catherine,9831,Catherine,9831,Catherine,9831,Suisse
Marina,9731,Marina,9731,Marina,9731,Suisse
Lisa,9643,Lisa,9643,Lisa,9643,Suisse
Nadia,9596,Nadia,9596,Nadia,9596,Suisse
Stefanie,9576,Stefanie,9576,Stefanie,9576,Suisse
Susanna,9568,Susanna,9568,Susanna,9568,Suisse
Diana,9459,Diana,9459,Diana,9459,Suisse
Michelle,9236,Michelle,9236,Michelle,9236,Suisse
Chiara,9175,Chiara,9175,Chiara,9175,Suisse
Sofia,9164,Sofia,9164,Sofia,9164,Suisse
Chantal,8984,Chantal,8984,Chantal,8984,Suisse
Christina,8862,Christina,8862,Christina,8862,Suisse
Rahel,8710,Rahel,8710,Rahel,8710,Suisse
Lena,8543,Lena,8543,Lena,8543,Suisse
Therese,8523,Therese,8523,Therese,8523,Suisse
Johanna,8445,Johanna,8445,Johanna,8445,Suisse
Anja,8355,Anja,8355,Anja,8355,Suisse
Olivia,8268,Olivia,8268,Olivia,8268,Suisse
Mia,8250,Mia,8250,Mia,8250,Suisse
Alina,8152,Alina,8152,Alina,8152,Suisse
Valentina,8106,Valentina,8106,Valentina,8106,Suisse
