Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Daniel,62884,Daniel,62884,Daniel,62884,Suisse
Peter,54007,Peter,54007,Peter,54007,Suisse
Thomas,52732,Thomas,52732,Thomas,52732,Suisse
Hans,44073,Hans,44073,Hans,44073,Suisse
Christian,41702,Christian,41702,Christian,41702,Suisse
Martin,40627,Martin,40627,Martin,40627,Suisse
Michael,39922,Michael,39922,Michael,39922,Suisse
Andreas,39583,Andreas,39583,Andreas,39583,Suisse
Markus,36883,Markus,36883,Markus,36883,Suisse
David,33861,David,33861,David,33861,Suisse
Marco,33321,Marco,33321,Marco,33321,Suisse
Patrick,31156,Patrick,31156,Patrick,31156,Suisse
Stefan,30942,Stefan,30942,Stefan,30942,Suisse
Bruno,26478,Bruno,26478,Bruno,26478,Suisse
Urs,25840,Urs,25840,Urs,25840,Suisse
Marcel,23789,Marcel,23789,Marcel,23789,Suisse
Walter,23626,Walter,23626,Walter,23626,Suisse
Simon,23563,Simon,23563,Simon,23563,Suisse
René,23188,René,23188,René,23188,Suisse
Roland,22440,Roland,22440,Roland,22440,Suisse
Pascal,22412,Pascal,22412,Pascal,22412,Suisse
Marc,21428,Marc,21428,Marc,21428,Suisse
Luca,21110,Luca,21110,Luca,21110,Suisse
Beat,20365,Beat,20365,Beat,20365,Suisse
Manuel,19156,Manuel,19156,Manuel,19156,Suisse
Roger,19127,Roger,19127,Roger,19127,Suisse
Nicolas,18998,Nicolas,18998,Nicolas,18998,Suisse
Werner,18679,Werner,18679,Werner,18679,Suisse
André,18578,André,18578,André,18578,Suisse
Paul,18531,Paul,18531,Paul,18531,Suisse
Samuel,18530,Samuel,18530,Samuel,18530,Suisse
Adrian,17710,Adrian,17710,Adrian,17710,Suisse
Rolf,17534,Rolf,17534,Rolf,17534,Suisse
Christoph,17337,Christoph,17337,Christoph,17337,Suisse
Kurt,17252,Kurt,17252,Kurt,17252,Suisse
Lukas,16852,Lukas,16852,Lukas,16852,Suisse
Michel,16592,Michel,16592,Michel,16592,Suisse
Robert,16395,Robert,16395,Robert,16395,Suisse
Antonio,16373,Antonio,16373,Antonio,16373,Suisse
Josef,16122,Josef,16122,Josef,16122,Suisse
Heinz,15931,Heinz,15931,Heinz,15931,Suisse
Jean,15860,Jean,15860,Jean,15860,Suisse
Rudolf,15718,Rudolf,15718,Rudolf,15718,Suisse
Alexander,15467,Alexander,15467,Alexander,15467,Suisse
Fabian,15228,Fabian,15228,Fabian,15228,Suisse
José,15063,José,15063,José,15063,Suisse
Reto,14980,Reto,14980,Reto,14980,Suisse
Mario,14431,Mario,14431,Mario,14431,Suisse
Matthias,14428,Matthias,14428,Matthias,14428,Suisse
Benjamin,14424,Benjamin,14424,Benjamin,14424,Suisse
Philippe,14368,Philippe,14368,Philippe,14368,Suisse
Philipp,14169,Philipp,14169,Philipp,14169,Suisse
Florian,14047,Florian,14047,Florian,14047,Suisse
Jan,13981,Jan,13981,Jan,13981,Suisse
Stephan,13372,Stephan,13372,Stephan,13372,Suisse
Kevin,12896,Kevin,12896,Kevin,12896,Suisse
Jürg,12830,Jürg,12830,Jürg,12830,Suisse
Ernst,12733,Ernst,12733,Ernst,12733,Suisse
Pierre,12502,Pierre,12502,Pierre,12502,Suisse
Fabio,12461,Fabio,12461,Fabio,12461,Suisse
Roman,12416,Roman,12416,Roman,12416,Suisse
Noah,12129,Noah,12129,Noah,12129,Suisse
Oliver,12047,Oliver,12047,Oliver,12047,Suisse
Alfred,11911,Alfred,11911,Alfred,11911,Suisse
Giuseppe,11897,Giuseppe,11897,Giuseppe,11897,Suisse
Gabriel,11834,Gabriel,11834,Gabriel,11834,Suisse
Jonas,11789,Jonas,11789,Jonas,11789,Suisse
Anton,11590,Anton,11590,Anton,11590,Suisse
Tobias,11516,Tobias,11516,Tobias,11516,Suisse
Dominik,11408,Dominik,11408,Dominik,11408,Suisse
Sandro,11259,Sandro,11259,Sandro,11259,Suisse
Max,10826,Max,10826,Max,10826,Suisse
Franz,10563,Franz,10563,Franz,10563,Suisse
Olivier,10446,Olivier,10446,Olivier,10446,Suisse
Alexandre,10318,Alexandre,10318,Alexandre,10318,Suisse
Alain,10234,Alain,10234,Alain,10234,Suisse
Dario,10071,Dario,10071,Dario,10071,Suisse
Johann,10018,Johann,10018,Johann,10018,Suisse
Ulrich,9999,Ulrich,9999,Ulrich,9999,Suisse
Matteo,9949,Matteo,9949,Matteo,9949,Suisse
Francesco,9904,Francesco,9904,Francesco,9904,Suisse
Alessandro,9886,Alessandro,9886,Alessandro,9886,Suisse
Raphael,9809,Raphael,9809,Raphael,9809,Suisse
Felix,9794,Felix,9794,Felix,9794,Suisse
Eric,9561,Eric,9561,Eric,9561,Suisse
Claudio,9242,Claudio,9242,Claudio,9242,Suisse
Robin,9193,Robin,9193,Robin,9193,Suisse
Ivan,9028,Ivan,9028,Ivan,9028,Suisse
Bernhard,8686,Bernhard,8686,Bernhard,8686,Suisse
Karl,8520,Karl,8520,Karl,8520,Suisse
Fritz,8445,Fritz,8445,Fritz,8445,Suisse
Sven,8351,Sven,8351,Sven,8351,Suisse
Tim,8341,Tim,8341,Tim,8341,Suisse
Andrea,8332,Andrea,8332,Andrea,8332,Suisse
Yves,8282,Yves,8282,Yves,8282,Suisse
Nico,8275,Nico,8275,Nico,8275,Suisse
Carlos,8186,Carlos,8186,Carlos,8186,Suisse
Julien,8182,Julien,8182,Julien,8182,Suisse
Louis,8140,Louis,8140,Louis,8140,Suisse
Julian,8067,Julian,8067,Julian,8067,Suisse
