Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Mia,289,Mia,289,Mia,289,Région linguistique allemande
Emilia,284,Emilia,284,Emilia,284,Région linguistique allemande
Sofia,244,Sofia,244,Sofia,244,Région linguistique allemande
Emma,219,Emma,219,Emma,219,Région linguistique allemande
Lia,214,Lia,214,Lia,214,Région linguistique allemande
Elena,207,Elena,207,Elena,207,Région linguistique allemande
Lina,207,Lina,207,Lina,207,Région linguistique allemande
Malea,192,Malea,192,Malea,192,Région linguistique allemande
Mila,187,Mila,187,Mila,187,Région linguistique allemande
Nora,175,Nora,175,Nora,175,Région linguistique allemande
Lea,170,Lea,170,Lea,170,Région linguistique allemande
Leonie,170,Leonie,170,Leonie,170,Région linguistique allemande
Yara,170,Yara,170,Yara,170,Région linguistique allemande
Alina,168,Alina,168,Alina,168,Région linguistique allemande
Sophia,167,Sophia,167,Sophia,167,Région linguistique allemande
Ella,166,Ella,166,Ella,166,Région linguistique allemande
Elin,159,Elin,159,Elin,159,Région linguistique allemande
Lena,158,Lena,158,Lena,158,Région linguistique allemande
Lara,155,Lara,155,Lara,155,Région linguistique allemande
Elina,154,Elina,154,Elina,154,Région linguistique allemande
Laura,147,Laura,147,Laura,147,Région linguistique allemande
Valentina,145,Valentina,145,Valentina,145,Région linguistique allemande
Olivia,143,Olivia,143,Olivia,143,Région linguistique allemande
Anna,139,Anna,139,Anna,139,Région linguistique allemande
Aurora,134,Aurora,134,Aurora,134,Région linguistique allemande
Luana,129,Luana,129,Luana,129,Région linguistique allemande
Emily,128,Emily,128,Emily,128,Région linguistique allemande
Juna,128,Juna,128,Juna,128,Région linguistique allemande
Chiara,126,Chiara,126,Chiara,126,Région linguistique allemande
Amelia,125,Amelia,125,Amelia,125,Région linguistique allemande
Livia,125,Livia,125,Livia,125,Région linguistique allemande
Nina,125,Nina,125,Nina,125,Région linguistique allemande
Luna,115,Luna,115,Luna,115,Région linguistique allemande
Yuna,115,Yuna,115,Yuna,115,Région linguistique allemande
Julia,113,Julia,113,Julia,113,Région linguistique allemande
Sophie,112,Sophie,112,Sophie,112,Région linguistique allemande
Malia,105,Malia,105,Malia,105,Région linguistique allemande
Luisa,103,Luisa,103,Luisa,103,Région linguistique allemande
Mara,103,Mara,103,Mara,103,Région linguistique allemande
Dua,101,Dua,101,Dua,101,Région linguistique allemande
Jana,101,Jana,101,Jana,101,Région linguistique allemande
Leana,98,Leana,98,Leana,98,Région linguistique allemande
Lynn,98,Lynn,98,Lynn,98,Région linguistique allemande
Noemi,98,Noemi,98,Noemi,98,Région linguistique allemande
Alea,97,Alea,97,Alea,97,Région linguistique allemande
Fiona,97,Fiona,97,Fiona,97,Région linguistique allemande
Elisa,96,Elisa,96,Elisa,96,Région linguistique allemande
Mira,96,Mira,96,Mira,96,Région linguistique allemande
Ronja,96,Ronja,96,Ronja,96,Région linguistique allemande
Melina,95,Melina,95,Melina,95,Région linguistique allemande
Hanna,94,Hanna,94,Hanna,94,Région linguistique allemande
Sara,94,Sara,94,Sara,94,Région linguistique allemande
Giulia,93,Giulia,93,Giulia,93,Région linguistique allemande
