Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Emma,25,Emma,25,Emma,25,Région linguistique italienne
Aurora,24,Aurora,24,Aurora,24,Région linguistique italienne
Ginevra,21,Ginevra,21,Ginevra,21,Région linguistique italienne
Sofia,19,Sofia,19,Sofia,19,Région linguistique italienne
Mia,17,Mia,17,Mia,17,Région linguistique italienne
Alice,16,Alice,16,Alice,16,Région linguistique italienne
Olivia,16,Olivia,16,Olivia,16,Région linguistique italienne
Sophie,16,Sophie,16,Sophie,16,Région linguistique italienne
Giulia,14,Giulia,14,Giulia,14,Région linguistique italienne
Camilla,13,Camilla,13,Camilla,13,Région linguistique italienne
Beatrice,12,Beatrice,12,Beatrice,12,Région linguistique italienne
Chloe,12,Chloe,12,Chloe,12,Région linguistique italienne
Matilde,12,Matilde,12,Matilde,12,Région linguistique italienne
Ambra,11,Ambra,11,Ambra,11,Région linguistique italienne
Chiara,11,Chiara,11,Chiara,11,Région linguistique italienne
Emily,11,Emily,11,Emily,11,Région linguistique italienne
Nina,11,Nina,11,Nina,11,Région linguistique italienne
Amélie,10,Amélie,10,Amélie,10,Région linguistique italienne
Arianna,10,Arianna,10,Arianna,10,Région linguistique italienne
Ludovica,10,Ludovica,10,Ludovica,10,Région linguistique italienne
Noemi,10,Noemi,10,Noemi,10,Région linguistique italienne
Vittoria,10,Vittoria,10,Vittoria,10,Région linguistique italienne
Eleonora,9,Eleonora,9,Eleonora,9,Région linguistique italienne
Iris,9,Iris,9,Iris,9,Région linguistique italienne
Luna,9,Luna,9,Luna,9,Région linguistique italienne
Nicole,9,Nicole,9,Nicole,9,Région linguistique italienne
Anna,8,Anna,8,Anna,8,Région linguistique italienne
Céline,8,Céline,8,Céline,8,Région linguistique italienne
Diana,8,Diana,8,Diana,8,Région linguistique italienne
Gaia,8,Gaia,8,Gaia,8,Région linguistique italienne
Melissa,8,Melissa,8,Melissa,8,Région linguistique italienne
Adele,7,Adele,7,Adele,7,Région linguistique italienne
Amelia,7,Amelia,7,Amelia,7,Région linguistique italienne
Azzurra,7,Azzurra,7,Azzurra,7,Région linguistique italienne
Elisa,7,Elisa,7,Elisa,7,Région linguistique italienne
Lia,7,Lia,7,Lia,7,Région linguistique italienne
Martina,7,Martina,7,Martina,7,Région linguistique italienne
Nora,7,Nora,7,Nora,7,Région linguistique italienne
Bianca,6,Bianca,6,Bianca,6,Région linguistique italienne
Cecilia,6,Cecilia,6,Cecilia,6,Région linguistique italienne
Elena,6,Elena,6,Elena,6,Région linguistique italienne
Ella,6,Ella,6,Ella,6,Région linguistique italienne
Isabel,6,Isabel,6,Isabel,6,Région linguistique italienne
Margherita,6,Margherita,6,Margherita,6,Région linguistique italienne
Victoria,6,Victoria,6,Victoria,6,Région linguistique italienne
Agata,5,Agata,5,Agata,5,Région linguistique italienne
Alessia,5,Alessia,5,Alessia,5,Région linguistique italienne
Anastasia,5,Anastasia,5,Anastasia,5,Région linguistique italienne
Asia,5,Asia,5,Asia,5,Région linguistique italienne
Celeste,5,Celeste,5,Celeste,5,Région linguistique italienne
Giada,5,Giada,5,Giada,5,Région linguistique italienne
Gioia,5,Gioia,5,Gioia,5,Région linguistique italienne
Grace,5,Grace,5,Grace,5,Région linguistique italienne
Lavinia,5,Lavinia,5,Lavinia,5,Région linguistique italienne
Lena,5,Lena,5,Lena,5,Région linguistique italienne
Letizia,5,Letizia,5,Letizia,5,Région linguistique italienne
Livia,5,Livia,5,Livia,5,Région linguistique italienne
Luce,5,Luce,5,Luce,5,Région linguistique italienne
Maria,5,Maria,5,Maria,5,Région linguistique italienne
Matilda,5,Matilda,5,Matilda,5,Région linguistique italienne
Naomi,5,Naomi,5,Naomi,5,Région linguistique italienne
Rebecca,5,Rebecca,5,Rebecca,5,Région linguistique italienne
Sara,5,Sara,5,Sara,5,Région linguistique italienne
Serena,5,Serena,5,Serena,5,Région linguistique italienne
Viola,5,Viola,5,Viola,5,Région linguistique italienne
Alessandra,4,Alessandra,4,Alessandra,4,Région linguistique italienne
Amanda,4,Amanda,4,Amanda,4,Région linguistique italienne
Amelie,4,Amelie,4,Amelie,4,Région linguistique italienne
Carlotta,4,Carlotta,4,Carlotta,4,Région linguistique italienne
Carolina,4,Carolina,4,Carolina,4,Région linguistique italienne
Chloé,4,Chloé,4,Chloé,4,Région linguistique italienne
Cloe,4,Cloe,4,Cloe,4,Région linguistique italienne
Ellie,4,Ellie,4,Ellie,4,Région linguistique italienne
Elodie,4,Elodie,4,Elodie,4,Région linguistique italienne
Evelyn,4,Evelyn,4,Evelyn,4,Région linguistique italienne
Fiamma,4,Fiamma,4,Fiamma,4,Région linguistique italienne
Isabelle,4,Isabelle,4,Isabelle,4,Région linguistique italienne
Lara,4,Lara,4,Lara,4,Région linguistique italienne
Leonie,4,Leonie,4,Leonie,4,Région linguistique italienne
Linda,4,Linda,4,Linda,4,Région linguistique italienne
Mila,4,Mila,4,Mila,4,Région linguistique italienne
Soraya,4,Soraya,4,Soraya,4,Région linguistique italienne
Stella,4,Stella,4,Stella,4,Région linguistique italienne
Tea,4,Tea,4,Tea,4,Région linguistique italienne
Tessa,4,Tessa,4,Tessa,4,Région linguistique italienne
Vera,4,Vera,4,Vera,4,Région linguistique italienne
Zoe,4,Zoe,4,Zoe,4,Région linguistique italienne
Alba,3,Alba,3,Alba,3,Région linguistique italienne
Aline,3,Aline,3,Aline,3,Région linguistique italienne
Alma,3,Alma,3,Alma,3,Région linguistique italienne
Andrea,3,Andrea,3,Andrea,3,Région linguistique italienne
Ariel,3,Ariel,3,Ariel,3,Région linguistique italienne
Ayla,3,Ayla,3,Ayla,3,Région linguistique italienne
Celine,3,Celine,3,Celine,3,Région linguistique italienne
Clara,3,Clara,3,Clara,3,Région linguistique italienne
Clarissa,3,Clarissa,3,Clarissa,3,Région linguistique italienne
Cora,3,Cora,3,Cora,3,Région linguistique italienne
Daphne,3,Daphne,3,Daphne,3,Région linguistique italienne
Dua,3,Dua,3,Dua,3,Région linguistique italienne
Eloise,3,Eloise,3,Eloise,3,Région linguistique italienne
