Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Leonardo,36,Leonardo,36,Leonardo,36,Région linguistique italienne
Noah,26,Noah,26,Noah,26,Région linguistique italienne
Enea,24,Enea,24,Enea,24,Région linguistique italienne
Liam,23,Liam,23,Liam,23,Région linguistique italienne
Edoardo,17,Edoardo,17,Edoardo,17,Région linguistique italienne
Matteo,17,Matteo,17,Matteo,17,Région linguistique italienne
Ethan,15,Ethan,15,Ethan,15,Région linguistique italienne
Lorenzo,15,Lorenzo,15,Lorenzo,15,Région linguistique italienne
Riccardo,15,Riccardo,15,Riccardo,15,Région linguistique italienne
Alessandro,14,Alessandro,14,Alessandro,14,Région linguistique italienne
Elia,14,Elia,14,Elia,14,Région linguistique italienne
Nathan,14,Nathan,14,Nathan,14,Région linguistique italienne
Gabriel,13,Gabriel,13,Gabriel,13,Région linguistique italienne
Leo,13,Leo,13,Leo,13,Région linguistique italienne
Zeno,13,Zeno,13,Zeno,13,Région linguistique italienne
Gabriele,12,Gabriele,12,Gabriele,12,Région linguistique italienne
Tommaso,12,Tommaso,12,Tommaso,12,Région linguistique italienne
Filippo,11,Filippo,11,Filippo,11,Région linguistique italienne
Gioele,11,Gioele,11,Gioele,11,Région linguistique italienne
Mattia,11,Mattia,11,Mattia,11,Région linguistique italienne
Samuele,11,Samuele,11,Samuele,11,Région linguistique italienne
Daniel,10,Daniel,10,Daniel,10,Région linguistique italienne
Dylan,10,Dylan,10,Dylan,10,Région linguistique italienne
Diego,9,Diego,9,Diego,9,Région linguistique italienne
Ettore,9,Ettore,9,Ettore,9,Région linguistique italienne
Francesco,9,Francesco,9,Francesco,9,Région linguistique italienne
Giulio,9,Giulio,9,Giulio,9,Région linguistique italienne
Ian,9,Ian,9,Ian,9,Région linguistique italienne
Kevin,9,Kevin,9,Kevin,9,Région linguistique italienne
Leon,9,Leon,9,Leon,9,Région linguistique italienne
Rafael,9,Rafael,9,Rafael,9,Région linguistique italienne
Romeo,9,Romeo,9,Romeo,9,Région linguistique italienne
Evan,8,Evan,8,Evan,8,Région linguistique italienne
Nicolò,8,Nicolò,8,Nicolò,8,Région linguistique italienne
Oliver,8,Oliver,8,Oliver,8,Région linguistique italienne
Ryan,8,Ryan,8,Ryan,8,Région linguistique italienne
Sebastian,8,Sebastian,8,Sebastian,8,Région linguistique italienne
Timo,8,Timo,8,Timo,8,Région linguistique italienne
Federico,7,Federico,7,Federico,7,Région linguistique italienne
Mathias,7,Mathias,7,Mathias,7,Région linguistique italienne
Samuel,7,Samuel,7,Samuel,7,Région linguistique italienne
Christian,6,Christian,6,Christian,6,Région linguistique italienne
Jacopo,6,Jacopo,6,Jacopo,6,Région linguistique italienne
James,6,James,6,James,6,Région linguistique italienne
Ludovico,6,Ludovico,6,Ludovico,6,Région linguistique italienne
Pietro,6,Pietro,6,Pietro,6,Région linguistique italienne
Thomas,6,Thomas,6,Thomas,6,Région linguistique italienne
William,6,William,6,William,6,Région linguistique italienne
Achille,5,Achille,5,Achille,5,Région linguistique italienne
Adrian,5,Adrian,5,Adrian,5,Région linguistique italienne
Alessio,5,Alessio,5,Alessio,5,Région linguistique italienne
Alexander,5,Alexander,5,Alexander,5,Région linguistique italienne
Andrea,5,Andrea,5,Andrea,5,Région linguistique italienne
Ares,5,Ares,5,Ares,5,Région linguistique italienne
Elias,5,Elias,5,Elias,5,Région linguistique italienne
Giovanni,5,Giovanni,5,Giovanni,5,Région linguistique italienne
Kilian,5,Kilian,5,Kilian,5,Région linguistique italienne
Luca,5,Luca,5,Luca,5,Région linguistique italienne
Michele,5,Michele,5,Michele,5,Région linguistique italienne
Rayan,5,Rayan,5,Rayan,5,Région linguistique italienne
Robin,5,Robin,5,Robin,5,Région linguistique italienne
Santiago,5,Santiago,5,Santiago,5,Région linguistique italienne
Adam,4,Adam,4,Adam,4,Région linguistique italienne
Alex,4,Alex,4,Alex,4,Région linguistique italienne
Antonio,4,Antonio,4,Antonio,4,Région linguistique italienne
Aris,4,Aris,4,Aris,4,Région linguistique italienne
Aron,4,Aron,4,Aron,4,Région linguistique italienne
Axel,4,Axel,4,Axel,4,Région linguistique italienne
Daniele,4,Daniele,4,Daniele,4,Région linguistique italienne
David,4,David,4,David,4,Région linguistique italienne
Domenico,4,Domenico,4,Domenico,4,Région linguistique italienne
Leandro,4,Leandro,4,Leandro,4,Région linguistique italienne
Logan,4,Logan,4,Logan,4,Région linguistique italienne
Lucas,4,Lucas,4,Lucas,4,Région linguistique italienne
Manuel,4,Manuel,4,Manuel,4,Région linguistique italienne
Marco,4,Marco,4,Marco,4,Région linguistique italienne
Martin,4,Martin,4,Martin,4,Région linguistique italienne
Massimo,4,Massimo,4,Massimo,4,Région linguistique italienne
Michael,4,Michael,4,Michael,4,Région linguistique italienne
Milo,4,Milo,4,Milo,4,Région linguistique italienne
Nicola,4,Nicola,4,Nicola,4,Région linguistique italienne
Nikola,4,Nikola,4,Nikola,4,Région linguistique italienne
Paride,4,Paride,4,Paride,4,Région linguistique italienne
Stefano,4,Stefano,4,Stefano,4,Région linguistique italienne
Theo,4,Theo,4,Theo,4,Région linguistique italienne
Vittorio,4,Vittorio,4,Vittorio,4,Région linguistique italienne
Yanis,4,Yanis,4,Yanis,4,Région linguistique italienne
Yari,4,Yari,4,Yari,4,Région linguistique italienne
Aaron,3,Aaron,3,Aaron,3,Région linguistique italienne
Akil,3,Akil,3,Akil,3,Région linguistique italienne
Amos,3,Amos,3,Amos,3,Région linguistique italienne
Arturo,3,Arturo,3,Arturo,3,Région linguistique italienne
Damiano,3,Damiano,3,Damiano,3,Région linguistique italienne
Damien,3,Damien,3,Damien,3,Région linguistique italienne
Danilo,3,Danilo,3,Danilo,3,Région linguistique italienne
Davide,3,Davide,3,Davide,3,Région linguistique italienne
Geremia,3,Geremia,3,Geremia,3,Région linguistique italienne
Giacomo,3,Giacomo,3,Giacomo,3,Région linguistique italienne
Giorgio,3,Giorgio,3,Giorgio,3,Région linguistique italienne
Giuseppe,3,Giuseppe,3,Giuseppe,3,Région linguistique italienne
