Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Noah,495,Noah,495,Noah,495,Suisse
Liam,442,Liam,442,Liam,442,Suisse
Matteo,361,Matteo,361,Matteo,361,Suisse
Gabriel,282,Gabriel,282,Gabriel,282,Suisse
Leo,280,Leo,280,Leo,280,Suisse
Leano,276,Leano,276,Leano,276,Suisse
Luca,269,Luca,269,Luca,269,Suisse
Leon,258,Leon,258,Leon,258,Suisse
Lio,243,Lio,243,Lio,243,Suisse
Elias,240,Elias,240,Elias,240,Suisse
Louis,236,Louis,236,Louis,236,Suisse
Nino,199,Nino,199,Nino,199,Suisse
Aaron,196,Aaron,196,Aaron,196,Suisse
Leonardo,196,Leonardo,196,Leonardo,196,Suisse
Ben,190,Ben,190,Ben,190,Suisse
Elio,190,Elio,190,Elio,190,Suisse
Elia,185,Elia,185,Elia,185,Suisse
Luan,182,Luan,182,Luan,182,Suisse
Theo,181,Theo,181,Theo,181,Suisse
David,180,David,180,David,180,Suisse
Samuel,179,Samuel,179,Samuel,179,Suisse
Levi,178,Levi,178,Levi,178,Suisse
Livio,171,Livio,171,Livio,171,Suisse
Malik,170,Malik,170,Malik,170,Suisse
Mateo,169,Mateo,169,Mateo,169,Suisse
Lian,159,Lian,159,Lian,159,Suisse
Nico,159,Nico,159,Nico,159,Suisse
Arthur,158,Arthur,158,Arthur,158,Suisse
Leandro,157,Leandro,157,Leandro,157,Suisse
Adam,156,Adam,156,Adam,156,Suisse
Diego,156,Diego,156,Diego,156,Suisse
Finn,150,Finn,150,Finn,150,Suisse
Julian,150,Julian,150,Julian,150,Suisse
Mattia,150,Mattia,150,Mattia,150,Suisse
Noé,148,Noé,148,Noé,148,Suisse
Enea,144,Enea,144,Enea,144,Suisse
Emil,143,Emil,143,Emil,143,Suisse
Mael,142,Mael,142,Mael,142,Suisse
Nael,142,Nael,142,Nael,142,Suisse
Levin,139,Levin,139,Levin,139,Suisse
Kian,136,Kian,136,Kian,136,Suisse
Oliver,135,Oliver,135,Oliver,135,Suisse
Daniel,131,Daniel,131,Daniel,131,Suisse
Rayan,131,Rayan,131,Rayan,131,Suisse
Milo,130,Milo,130,Milo,130,Suisse
Alexander,127,Alexander,127,Alexander,127,Suisse
Robin,127,Robin,127,Robin,127,Suisse
Emilio,126,Emilio,126,Emilio,126,Suisse
Enzo,126,Enzo,126,Enzo,126,Suisse
Lino,125,Lino,125,Lino,125,Suisse
Lucas,125,Lucas,125,Lucas,125,Suisse
Dario,124,Dario,124,Dario,124,Suisse
Rafael,122,Rafael,122,Rafael,122,Suisse
Max,119,Max,119,Max,119,Suisse
Tim,117,Tim,117,Tim,117,Suisse
Laurin,112,Laurin,112,Laurin,112,Suisse
Nathan,112,Nathan,112,Nathan,112,Suisse
Jonas,111,Jonas,111,Jonas,111,Suisse
Maël,110,Maël,110,Maël,110,Suisse
Valentin,110,Valentin,110,Valentin,110,Suisse
Alessio,109,Alessio,109,Alessio,109,Suisse
Luka,107,Luka,107,Luka,107,Suisse
Benjamin,106,Benjamin,106,Benjamin,106,Suisse
Felix,106,Felix,106,Felix,106,Suisse
Lenny,106,Lenny,106,Lenny,106,Suisse
Nelio,103,Nelio,103,Nelio,103,Suisse
Ethan,100,Ethan,100,Ethan,100,Suisse
Gian,100,Gian,100,Gian,100,Suisse
Henry,99,Henry,99,Henry,99,Suisse
Lionel,98,Lionel,98,Lionel,98,Suisse
Mauro,98,Mauro,98,Mauro,98,Suisse
Fabio,97,Fabio,97,Fabio,97,Suisse
Nevio,97,Nevio,97,Nevio,97,Suisse
Lorenzo,96,Lorenzo,96,Lorenzo,96,Suisse
Lukas,94,Lukas,94,Lukas,94,Suisse
Adrian,93,Adrian,93,Adrian,93,Suisse
Léo,93,Léo,93,Léo,93,Suisse
Santiago,93,Santiago,93,Santiago,93,Suisse
Luis,92,Luis,92,Luis,92,Suisse
Timo,90,Timo,90,Timo,90,Suisse
Théo,89,Théo,89,Théo,89,Suisse
Loris,88,Loris,88,Loris,88,Suisse
Paul,88,Paul,88,Paul,88,Suisse
Simon,88,Simon,88,Simon,88,Suisse
Isaac,87,Isaac,87,Isaac,87,Suisse
James,86,James,86,James,86,Suisse
Andrin,81,Andrin,81,Andrin,81,Suisse
Nicolas,81,Nicolas,81,Nicolas,81,Suisse
William,81,William,81,William,81,Suisse
Noel,80,Noel,80,Noel,80,Suisse
Aron,79,Aron,79,Aron,79,Suisse
Jaro,79,Jaro,79,Jaro,79,Suisse
Jan,78,Jan,78,Jan,78,Suisse
Lars,78,Lars,78,Lars,78,Suisse
Léon,78,Léon,78,Léon,78,Suisse
Nils,77,Nils,77,Nils,77,Suisse
Kilian,76,Kilian,76,Kilian,76,Suisse
Jules,74,Jules,74,Jules,74,Suisse
Aurel,73,Aurel,73,Aurel,73,Suisse
Evan,73,Evan,73,Evan,73,Suisse
