Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Mia,4,1,Mia,4,1,Mia,4,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
2,Emma,2,2,Emma,2,2,Emma,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
2,Lia,2,2,Lia,2,2,Lia,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
2,Lina,2,2,Lina,2,2,Lina,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
2,Malea,2,2,Malea,2,2,Malea,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
2,Finja,2,2,Finja,2,2,Finja,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Elena,1,7,Elena,1,7,Elena,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Valentina,1,7,Valentina,1,7,Valentina,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Nina,1,7,Nina,1,7,Nina,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Leonie,1,7,Leonie,1,7,Leonie,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Eva,1,7,Eva,1,7,Eva,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Julia,1,7,Julia,1,7,Julia,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Laura,1,7,Laura,1,7,Laura,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Emily,1,7,Emily,1,7,Emily,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Maria,1,7,Maria,1,7,Maria,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Lou,1,7,Lou,1,7,Lou,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Leana,1,7,Leana,1,7,Leana,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Lorena,1,7,Lorena,1,7,Lorena,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Liv,1,7,Liv,1,7,Liv,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Aurelia,1,7,Aurelia,1,7,Aurelia,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Iris,1,7,Iris,1,7,Iris,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Valeria,1,7,Valeria,1,7,Valeria,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Lisa,1,7,Lisa,1,7,Lisa,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Linda,1,7,Linda,1,7,Linda,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Louisa,1,7,Louisa,1,7,Louisa,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Johanna,1,7,Johanna,1,7,Johanna,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Bianca,1,7,Bianca,1,7,Bianca,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Malou,1,7,Malou,1,7,Malou,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Vera,1,7,Vera,1,7,Vera,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Viola,1,7,Viola,1,7,Viola,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Alena,1,7,Alena,1,7,Alena,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Daria,1,7,Daria,1,7,Daria,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Romina,1,7,Romina,1,7,Romina,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Samira,1,7,Samira,1,7,Samira,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Nia,1,7,Nia,1,7,Nia,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Ruby,1,7,Ruby,1,7,Ruby,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Sanna,1,7,Sanna,1,7,Sanna,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Valea,1,7,Valea,1,7,Valea,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Tina,1,7,Tina,1,7,Tina,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Alani,1,7,Alani,1,7,Alani,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Gina,1,7,Gina,1,7,Gina,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Mavie,1,7,Mavie,1,7,Mavie,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Astrid,1,7,Astrid,1,7,Astrid,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Lilian,1,7,Lilian,1,7,Lilian,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Darija,1,7,Darija,1,7,Darija,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Xenia,1,7,Xenia,1,7,Xenia,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Mariella,1,7,Mariella,1,7,Mariella,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Naila,1,7,Naila,1,7,Naila,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Robin,1,7,Robin,1,7,Robin,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Sonja,1,7,Sonja,1,7,Sonja,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Stefanie,1,7,Stefanie,1,7,Stefanie,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Enja,1,7,Enja,1,7,Enja,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Caitlyn,1,7,Caitlyn,1,7,Caitlyn,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Dibora,1,7,Dibora,1,7,Dibora,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Nihal,1,7,Nihal,1,7,Nihal,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Carolin,1,7,Carolin,1,7,Carolin,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Felia,1,7,Felia,1,7,Felia,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Meli,1,7,Meli,1,7,Meli,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Romea,1,7,Romea,1,7,Romea,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
7,Ilarya,1,7,Ilarya,1,7,Ilarya,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
