Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Emma,23,1,Emma,23,1,Emma,23,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
2,Alice,17,2,Alice,17,2,Alice,17,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
3,Mathilde,16,3,Mathilde,16,3,Mathilde,16,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
4,Louise,15,4,Louise,15,4,Louise,15,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
5,Olivia,14,5,Olivia,14,5,Olivia,14,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
5,Alba,14,5,Alba,14,5,Alba,14,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
7,Mia,13,7,Mia,13,7,Mia,13,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
7,Eva,13,7,Eva,13,7,Eva,13,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
9,Sofia,12,9,Sofia,12,9,Sofia,12,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Emilia,11,10,Emilia,11,10,Emilia,11,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Elena,11,10,Elena,11,10,Elena,11,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Lina,11,10,Lina,11,10,Lina,11,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Alma,11,10,Alma,11,10,Alma,11,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Clara,11,10,Clara,11,10,Clara,11,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
15,Inaya,10,15,Inaya,10,15,Inaya,10,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
15,Lou,10,15,Lou,10,15,Lou,10,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
