Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Emma,27,1,Emma,27,1,Emma,27,Genève,Genève,Genève,Genf,Ginevra
2,Sofia,26,2,Sofia,26,2,Sofia,26,Genève,Genève,Genève,Genf,Ginevra
3,Mia,24,3,Mia,24,3,Mia,24,Genève,Genève,Genève,Genf,Ginevra
4,Alice,23,4,Alice,23,4,Alice,23,Genève,Genève,Genève,Genf,Ginevra
5,Luna,20,5,Luna,20,5,Luna,20,Genève,Genève,Genève,Genf,Ginevra
6,Elena,19,6,Elena,19,6,Elena,19,Genève,Genève,Genève,Genf,Ginevra
6,Olivia,19,6,Olivia,19,6,Olivia,19,Genève,Genève,Genève,Genf,Ginevra
8,Alma,18,8,Alma,18,8,Alma,18,Genève,Genève,Genève,Genf,Ginevra
9,Eva,17,9,Eva,17,9,Eva,17,Genève,Genève,Genève,Genf,Ginevra
9,Victoria,17,9,Victoria,17,9,Victoria,17,Genève,Genève,Genève,Genf,Ginevra
9,Alba,17,9,Alba,17,9,Alba,17,Genève,Genève,Genève,Genf,Ginevra
12,Nina,15,12,Nina,15,12,Nina,15,Genève,Genève,Genève,Genf,Ginevra
13,Ayla,14,13,Ayla,14,13,Ayla,14,Genève,Genève,Genève,Genf,Ginevra
13,Clara,14,13,Clara,14,13,Clara,14,Genève,Genève,Genève,Genf,Ginevra
13,Chloé,14,13,Chloé,14,13,Chloé,14,Genève,Genève,Genève,Genf,Ginevra
13,Maya,14,13,Maya,14,13,Maya,14,Genève,Genève,Genève,Genf,Ginevra
17,Lina,13,17,Lina,13,17,Lina,13,Genève,Genève,Genève,Genf,Ginevra
17,Anna,13,17,Anna,13,17,Anna,13,Genève,Genève,Genève,Genf,Ginevra
17,Giulia,13,17,Giulia,13,17,Giulia,13,Genève,Genève,Genève,Genf,Ginevra
17,Léa,13,17,Léa,13,17,Léa,13,Genève,Genève,Genève,Genf,Ginevra
21,Lia,12,21,Lia,12,21,Lia,12,Genève,Genève,Genève,Genf,Ginevra
21,Lena,12,21,Lena,12,21,Lena,12,Genève,Genève,Genève,Genf,Ginevra
21,Inaya,12,21,Inaya,12,21,Inaya,12,Genève,Genève,Genève,Genf,Ginevra
21,Adèle,12,21,Adèle,12,21,Adèle,12,Genève,Genève,Genève,Genf,Ginevra
25,Nora,11,25,Nora,11,25,Nora,11,Genève,Genève,Genève,Genf,Ginevra
25,Mila,11,25,Mila,11,25,Mila,11,Genève,Genève,Genève,Genf,Ginevra
27,Ella,10,27,Ella,10,27,Ella,10,Genève,Genève,Genève,Genf,Ginevra
27,Julia,10,27,Julia,10,27,Julia,10,Genève,Genève,Genève,Genf,Ginevra
27,Maria,10,27,Maria,10,27,Maria,10,Genève,Genève,Genève,Genf,Ginevra
27,Ava,10,27,Ava,10,27,Ava,10,Genève,Genève,Genève,Genf,Ginevra
27,Bianca,10,27,Bianca,10,27,Bianca,10,Genève,Genève,Genève,Genf,Ginevra
32,Lara,9,32,Lara,9,32,Lara,9,Genève,Genève,Genève,Genf,Ginevra
32,Zoé,9,32,Zoé,9,32,Zoé,9,Genève,Genève,Genève,Genf,Ginevra
32,Iris,9,32,Iris,9,32,Iris,9,Genève,Genève,Genève,Genf,Ginevra
32,Alix,9,32,Alix,9,32,Alix,9,Genève,Genève,Genève,Genf,Ginevra
32,Inès,9,32,Inès,9,32,Inès,9,Genève,Genève,Genève,Genf,Ginevra
37,Sophia,8,37,Sophia,8,37,Sophia,8,Genève,Genève,Genève,Genf,Ginevra
37,Valentina,8,37,Valentina,8,37,Valentina,8,Genève,Genève,Genève,Genf,Ginevra
37,Alicia,8,37,Alicia,8,37,Alicia,8,Genève,Genève,Genève,Genf,Ginevra
37,Charlotte,8,37,Charlotte,8,37,Charlotte,8,Genève,Genève,Genève,Genf,Ginevra
37,Kiara,8,37,Kiara,8,37,Kiara,8,Genève,Genève,Genève,Genf,Ginevra
37,Louise,8,37,Louise,8,37,Louise,8,Genève,Genève,Genève,Genf,Ginevra
37,Lucie,8,37,Lucie,8,37,Lucie,8,Genève,Genève,Genève,Genf,Ginevra
37,Sienna,8,37,Sienna,8,37,Sienna,8,Genève,Genève,Genève,Genf,Ginevra
37,Jeanne,8,37,Jeanne,8,37,Jeanne,8,Genève,Genève,Genève,Genf,Ginevra
46,Lea,7,46,Lea,7,46,Lea,7,Genève,Genève,Genève,Genf,Ginevra
46,Aurora,7,46,Aurora,7,46,Aurora,7,Genève,Genève,Genève,Genf,Ginevra
46,Mathilde,7,46,Mathilde,7,46,Mathilde,7,Genève,Genève,Genève,Genf,Ginevra
46,Alya,7,46,Alya,7,46,Alya,7,Genève,Genève,Genève,Genf,Ginevra
46,Jade,7,46,Jade,7,46,Jade,7,Genève,Genève,Genève,Genf,Ginevra
46,Charlie,7,46,Charlie,7,46,Charlie,7,Genève,Genève,Genève,Genf,Ginevra
46,Leila,7,46,Leila,7,46,Leila,7,Genève,Genève,Genève,Genf,Ginevra
53,Livia,6,53,Livia,6,53,Livia,6,Genève,Genève,Genève,Genf,Ginevra
53,Lou,6,53,Lou,6,53,Lou,6,Genève,Genève,Genève,Genf,Ginevra
53,Amalia,6,53,Amalia,6,53,Amalia,6,Genève,Genève,Genève,Genf,Ginevra
53,Eliana,6,53,Eliana,6,53,Eliana,6,Genève,Genève,Genève,Genf,Ginevra
53,Ela,6,53,Ela,6,53,Ela,6,Genève,Genève,Genève,Genf,Ginevra
53,Gaia,6,53,Gaia,6,53,Gaia,6,Genève,Genève,Genève,Genf,Ginevra
53,Juliette,6,53,Juliette,6,53,Juliette,6,Genève,Genève,Genève,Genf,Ginevra
53,Léonie,6,53,Léonie,6,53,Léonie,6,Genève,Genève,Genève,Genf,Ginevra
53,Margaux,6,53,Margaux,6,53,Margaux,6,Genève,Genève,Genève,Genf,Ginevra
53,Lyana,6,53,Lyana,6,53,Lyana,6,Genève,Genève,Genève,Genf,Ginevra
53,Lola,6,53,Lola,6,53,Lola,6,Genève,Genève,Genève,Genf,Ginevra
53,Elia,6,53,Elia,6,53,Elia,6,Genève,Genève,Genève,Genf,Ginevra
53,Alia,6,53,Alia,6,53,Alia,6,Genève,Genève,Genève,Genf,Ginevra
53,Thaïs,6,53,Thaïs,6,53,Thaïs,6,Genève,Genève,Genève,Genf,Ginevra
53,Sofía,6,53,Sofía,6,53,Sofía,6,Genève,Genève,Genève,Genf,Ginevra
53,Gaïa,6,53,Gaïa,6,53,Gaïa,6,Genève,Genève,Genève,Genf,Ginevra
69,Yara,5,69,Yara,5,69,Yara,5,Genève,Genève,Genève,Genf,Ginevra
69,Elina,5,69,Elina,5,69,Elina,5,Genève,Genève,Genève,Genf,Ginevra
69,Amelia,5,69,Amelia,5,69,Amelia,5,Genève,Genève,Genève,Genf,Ginevra
69,Luana,5,69,Luana,5,69,Luana,5,Genève,Genève,Genève,Genf,Ginevra
69,Sara,5,69,Sara,5,69,Sara,5,Genève,Genève,Genève,Genf,Ginevra
69,Hana,5,69,Hana,5,69,Hana,5,Genève,Genève,Genève,Genf,Ginevra
69,Amélie,5,69,Amélie,5,69,Amélie,5,Genève,Genève,Genève,Genf,Ginevra
69,Ellie,5,69,Ellie,5,69,Ellie,5,Genève,Genève,Genève,Genf,Ginevra
69,Stella,5,69,Stella,5,69,Stella,5,Genève,Genève,Genève,Genf,Ginevra
69,Sarah,5,69,Sarah,5,69,Sarah,5,Genève,Genève,Genève,Genf,Ginevra
69,Helena,5,69,Helena,5,69,Helena,5,Genève,Genève,Genève,Genf,Ginevra
69,Matilde,5,69,Matilde,5,69,Matilde,5,Genève,Genève,Genève,Genf,Ginevra
69,Eline,5,69,Eline,5,69,Eline,5,Genève,Genève,Genève,Genf,Ginevra
69,Aya,5,69,Aya,5,69,Aya,5,Genève,Genève,Genève,Genf,Ginevra
69,Aliya,5,69,Aliya,5,69,Aliya,5,Genève,Genève,Genève,Genf,Ginevra
69,Anaïs,5,69,Anaïs,5,69,Anaïs,5,Genève,Genève,Genève,Genf,Ginevra
69,Céline,5,69,Céline,5,69,Céline,5,Genève,Genève,Genève,Genf,Ginevra
69,Alana,5,69,Alana,5,69,Alana,5,Genève,Genève,Genève,Genf,Ginevra
69,Camila,5,69,Camila,5,69,Camila,5,Genève,Genève,Genève,Genf,Ginevra
69,Serena,5,69,Serena,5,69,Serena,5,Genève,Genève,Genève,Genf,Ginevra
69,Léna,5,69,Léna,5,69,Léna,5,Genève,Genève,Genève,Genf,Ginevra
69,Layla,5,69,Layla,5,69,Layla,5,Genève,Genève,Genève,Genf,Ginevra
69,Agathe,5,69,Agathe,5,69,Agathe,5,Genève,Genève,Genève,Genf,Ginevra
69,Margot,5,69,Margot,5,69,Margot,5,Genève,Genève,Genève,Genf,Ginevra
69,Norah,5,69,Norah,5,69,Norah,5,Genève,Genève,Genève,Genf,Ginevra
69,Héloïse,5,69,Héloïse,5,69,Héloïse,5,Genève,Genève,Genève,Genf,Ginevra
69,Élise,5,69,Élise,5,69,Élise,5,Genève,Genève,Genève,Genf,Ginevra
69,Myriam,5,69,Myriam,5,69,Myriam,5,Genève,Genève,Genève,Genf,Ginevra
97,Chiara,4,97,Chiara,4,97,Chiara,4,Genève,Genève,Genève,Genf,Ginevra
97,Naomi,4,97,Naomi,4,97,Naomi,4,Genève,Genève,Genève,Genf,Ginevra
97,Liv,4,97,Liv,4,97,Liv,4,Genève,Genève,Genève,Genf,Ginevra
97,Arya,4,97,Arya,4,97,Arya,4,Genève,Genève,Genève,Genf,Ginevra
