Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Alma,10,1,Alma,10,1,Alma,10,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
2,Sofia,8,2,Sofia,8,2,Sofia,8,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
3,Luna,7,3,Luna,7,3,Luna,7,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
3,Mathilde,7,3,Mathilde,7,3,Mathilde,7,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
5,Olivia,6,5,Olivia,6,5,Olivia,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
5,Lina,6,5,Lina,6,5,Lina,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
5,Giulia,6,5,Giulia,6,5,Giulia,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
5,Inaya,6,5,Inaya,6,5,Inaya,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
5,Louise,6,5,Louise,6,5,Louise,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
5,Margaux,6,5,Margaux,6,5,Margaux,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
11,Mia,5,11,Mia,5,11,Mia,5,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
11,Alice,5,11,Alice,5,11,Alice,5,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
11,Alba,5,11,Alba,5,11,Alba,5,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Nora,4,14,Nora,4,14,Nora,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Ella,4,14,Ella,4,14,Ella,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Elina,4,14,Elina,4,14,Elina,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Elisa,4,14,Elisa,4,14,Elisa,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Zoé,4,14,Zoé,4,14,Zoé,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Ellie,4,14,Ellie,4,14,Ellie,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Alicia,4,14,Alicia,4,14,Alicia,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Alix,4,14,Alix,4,14,Alix,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Charlie,4,14,Charlie,4,14,Charlie,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Lila,4,14,Lila,4,14,Lila,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
14,Amélia,4,14,Amélia,4,14,Amélia,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
