Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Mila,4,1,Mila,4,1,Mila,4,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2,Emilia,3,2,Emilia,3,2,Emilia,3,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2,Elena,3,2,Elena,3,2,Elena,3,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2,Lina,3,2,Lina,3,2,Lina,3,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2,Lena,3,2,Lena,3,2,Lena,3,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2,Laura,3,2,Laura,3,2,Laura,3,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Mia,2,7,Mia,2,7,Mia,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Emma,2,7,Emma,2,7,Emma,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Ella,2,7,Ella,2,7,Ella,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Luna,2,7,Luna,2,7,Luna,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Lea,2,7,Lea,2,7,Lea,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Yara,2,7,Yara,2,7,Yara,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Elina,2,7,Elina,2,7,Elina,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Alina,2,7,Alina,2,7,Alina,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Elin,2,7,Elin,2,7,Elin,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Emily,2,7,Emily,2,7,Emily,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Sophie,2,7,Sophie,2,7,Sophie,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Lynn,2,7,Lynn,2,7,Lynn,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Liv,2,7,Liv,2,7,Liv,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Ela,2,7,Ela,2,7,Ela,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Selina,2,7,Selina,2,7,Selina,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Ladina,2,7,Ladina,2,7,Ladina,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Lotta,2,7,Lotta,2,7,Lotta,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Nuria,2,7,Nuria,2,7,Nuria,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Alisha,2,7,Alisha,2,7,Alisha,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Maeva,2,7,Maeva,2,7,Maeva,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
7,Eli,2,7,Eli,2,7,Eli,2,Nidwalden,Nidwalden,Nidwald,Nidwalden,Nidvaldo
