Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Lara,5,1,Lara,5,1,Lara,5,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
1,Lynn,5,1,Lynn,5,1,Lynn,5,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
3,Leonie,4,3,Leonie,4,3,Leonie,4,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
4,Jana,3,4,Jana,3,4,Jana,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
4,Melina,3,4,Melina,3,4,Melina,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
4,Zoe,3,4,Zoe,3,4,Zoe,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
4,Samira,3,4,Samira,3,4,Samira,3,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Mia,2,8,Mia,2,8,Mia,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Sofia,2,8,Sofia,2,8,Sofia,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Emilia,2,8,Emilia,2,8,Emilia,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Elena,2,8,Elena,2,8,Elena,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Lina,2,8,Lina,2,8,Lina,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Malea,2,8,Malea,2,8,Malea,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Anna,2,8,Anna,2,8,Anna,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Yara,2,8,Yara,2,8,Yara,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Elina,2,8,Elina,2,8,Elina,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Giulia,2,8,Giulia,2,8,Giulia,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Eva,2,8,Eva,2,8,Eva,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Livia,2,8,Livia,2,8,Livia,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Luisa,2,8,Luisa,2,8,Luisa,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Jael,2,8,Jael,2,8,Jael,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Mina,2,8,Mina,2,8,Mina,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Malina,2,8,Malina,2,8,Malina,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Amy,2,8,Amy,2,8,Amy,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Sina,2,8,Sina,2,8,Sina,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
8,Arwen,2,8,Arwen,2,8,Arwen,2,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Emma,1,27,Emma,1,27,Emma,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Nora,1,27,Nora,1,27,Nora,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Ella,1,27,Ella,1,27,Ella,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Lena,1,27,Lena,1,27,Lena,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Lea,1,27,Lea,1,27,Lea,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Alice,1,27,Alice,1,27,Alice,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Alina,1,27,Alina,1,27,Alina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Chiara,1,27,Chiara,1,27,Chiara,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Elin,1,27,Elin,1,27,Elin,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Julia,1,27,Julia,1,27,Julia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Laura,1,27,Laura,1,27,Laura,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Amelia,1,27,Amelia,1,27,Amelia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Emily,1,27,Emily,1,27,Emily,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Zoé,1,27,Zoé,1,27,Zoé,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Clara,1,27,Clara,1,27,Clara,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Malia,1,27,Malia,1,27,Malia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Mara,1,27,Mara,1,27,Mara,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Lou,1,27,Lou,1,27,Lou,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Noemi,1,27,Noemi,1,27,Noemi,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Liana,1,27,Liana,1,27,Liana,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Alea,1,27,Alea,1,27,Alea,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Leana,1,27,Leana,1,27,Leana,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Fiona,1,27,Fiona,1,27,Fiona,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Ellie,1,27,Ellie,1,27,Ellie,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Amelie,1,27,Amelie,1,27,Amelie,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Alicia,1,27,Alicia,1,27,Alicia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Melissa,1,27,Melissa,1,27,Melissa,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Aria,1,27,Aria,1,27,Aria,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Amaya,1,27,Amaya,1,27,Amaya,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Amalia,1,27,Amalia,1,27,Amalia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Stella,1,27,Stella,1,27,Stella,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Aline,1,27,Aline,1,27,Aline,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Romy,1,27,Romy,1,27,Romy,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Lisa,1,27,Lisa,1,27,Lisa,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Isabella,1,27,Isabella,1,27,Isabella,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Klea,1,27,Klea,1,27,Klea,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Linda,1,27,Linda,1,27,Linda,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Malin,1,27,Malin,1,27,Malin,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Hailey,1,27,Hailey,1,27,Hailey,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Mayla,1,27,Mayla,1,27,Mayla,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Selina,1,27,Selina,1,27,Selina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Yael,1,27,Yael,1,27,Yael,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Adriana,1,27,Adriana,1,27,Adriana,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Johanna,1,27,Johanna,1,27,Johanna,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Liara,1,27,Liara,1,27,Liara,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Mona,1,27,Mona,1,27,Mona,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Leya,1,27,Leya,1,27,Leya,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Vera,1,27,Vera,1,27,Vera,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Viola,1,27,Viola,1,27,Viola,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Daria,1,27,Daria,1,27,Daria,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Delia,1,27,Delia,1,27,Delia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Amanda,1,27,Amanda,1,27,Amanda,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Marina,1,27,Marina,1,27,Marina,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Hira,1,27,Hira,1,27,Hira,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Ilaria,1,27,Ilaria,1,27,Ilaria,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Lotta,1,27,Lotta,1,27,Lotta,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Zoey,1,27,Zoey,1,27,Zoey,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Linnea,1,27,Linnea,1,27,Linnea,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Nuria,1,27,Nuria,1,27,Nuria,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Eileen,1,27,Eileen,1,27,Eileen,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Elif,1,27,Elif,1,27,Elif,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Yasmin,1,27,Yasmin,1,27,Yasmin,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Ayleen,1,27,Ayleen,1,27,Ayleen,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Larissa,1,27,Larissa,1,27,Larissa,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Marla,1,27,Marla,1,27,Marla,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Lydia,1,27,Lydia,1,27,Lydia,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Teodora,1,27,Teodora,1,27,Teodora,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
27,Ria,1,27,Ria,1,27,Ria,1,Obwalden,Obwalden,Obwald,Obwalden,Obvaldo
