Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Lia,29,1,Lia,29,1,Lia,29,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
2,Emilia,25,2,Emilia,25,2,Emilia,25,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
3,Mia,24,3,Mia,24,3,Mia,24,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
4,Nora,23,4,Nora,23,4,Nora,23,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
5,Lina,22,5,Lina,22,5,Lina,22,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
5,Alina,22,5,Alina,22,5,Alina,22,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
7,Lena,20,7,Lena,20,7,Lena,20,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
8,Sofia,19,8,Sofia,19,8,Sofia,19,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
8,Laura,19,8,Laura,19,8,Laura,19,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
8,Livia,19,8,Livia,19,8,Livia,19,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
11,Mila,17,11,Mila,17,11,Mila,17,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
11,Malea,17,11,Malea,17,11,Malea,17,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
11,Yara,17,11,Yara,17,11,Yara,17,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
14,Emma,16,14,Emma,16,14,Emma,16,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
14,Leonie,16,14,Leonie,16,14,Leonie,16,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
16,Elena,15,16,Elena,15,16,Elena,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
16,Lara,15,16,Lara,15,16,Lara,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
16,Lea,15,16,Lea,15,16,Lea,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
16,Luana,15,16,Luana,15,16,Luana,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
16,Lorena,15,16,Lorena,15,16,Lorena,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
16,Noelia,15,16,Noelia,15,16,Noelia,15,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
22,Anna,14,22,Anna,14,22,Anna,14,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
22,Hanna,14,22,Hanna,14,22,Hanna,14,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
24,Valentina,13,24,Valentina,13,24,Valentina,13,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
24,Elina,13,24,Elina,13,24,Elina,13,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
24,Juna,13,24,Juna,13,24,Juna,13,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
27,Giulia,12,27,Giulia,12,27,Giulia,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
27,Dua,12,27,Dua,12,27,Dua,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
27,Mara,12,27,Mara,12,27,Mara,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
27,Melina,12,27,Melina,12,27,Melina,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
27,Lynn,12,27,Lynn,12,27,Lynn,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
27,Fiona,12,27,Fiona,12,27,Fiona,12,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
33,Sophia,11,33,Sophia,11,33,Sophia,11,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
33,Nina,11,33,Nina,11,33,Nina,11,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
33,Julia,11,33,Julia,11,33,Julia,11,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
33,Inaya,11,33,Inaya,11,33,Inaya,11,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
33,Luisa,11,33,Luisa,11,33,Luisa,11,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Luna,10,38,Luna,10,38,Luna,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Chiara,10,38,Chiara,10,38,Chiara,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Liana,10,38,Liana,10,38,Liana,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Alea,10,38,Alea,10,38,Alea,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Ronja,10,38,Ronja,10,38,Ronja,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Elea,10,38,Elea,10,38,Elea,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Amelie,10,38,Amelie,10,38,Amelie,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Amina,10,38,Amina,10,38,Amina,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
38,Selina,10,38,Selina,10,38,Selina,10,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
47,Ella,9,47,Ella,9,47,Ella,9,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
47,Elin,9,47,Elin,9,47,Elin,9,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
47,Yuna,9,47,Yuna,9,47,Yuna,9,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
47,Malia,9,47,Malia,9,47,Malia,9,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
51,Emily,8,51,Emily,8,51,Emily,8,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
51,Maria,8,51,Maria,8,51,Maria,8,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
51,Elisa,8,51,Elisa,8,51,Elisa,8,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
51,Sara,8,51,Sara,8,51,Sara,8,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
51,Noemi,8,51,Noemi,8,51,Noemi,8,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
51,Mira,8,51,Mira,8,51,Mira,8,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
51,Leana,8,51,Leana,8,51,Leana,8,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
51,Melissa,8,51,Melissa,8,51,Melissa,8,St. Gallen,Sankt Gallen,Saint-Gall,St. Gallen,San Gallo
