Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Mia,15,1,Mia,15,1,Mia,15,Solothurn,Solothurn,Soleure,Solothurn,Soletta
2,Emilia,13,2,Emilia,13,2,Emilia,13,Solothurn,Solothurn,Soleure,Solothurn,Soletta
3,Lina,12,3,Lina,12,3,Lina,12,Solothurn,Solothurn,Soleure,Solothurn,Soletta
4,Sofia,11,4,Sofia,11,4,Sofia,11,Solothurn,Solothurn,Soleure,Solothurn,Soletta
5,Emma,9,5,Emma,9,5,Emma,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
5,Sophia,9,5,Sophia,9,5,Sophia,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
5,Laura,9,5,Laura,9,5,Laura,9,Solothurn,Solothurn,Soleure,Solothurn,Soletta
8,Lia,8,8,Lia,8,8,Lia,8,Solothurn,Solothurn,Soleure,Solothurn,Soletta
8,Lea,8,8,Lea,8,8,Lea,8,Solothurn,Solothurn,Soleure,Solothurn,Soletta
8,Luana,8,8,Luana,8,8,Luana,8,Solothurn,Solothurn,Soleure,Solothurn,Soletta
8,Jara,8,8,Jara,8,8,Jara,8,Solothurn,Solothurn,Soleure,Solothurn,Soletta
12,Nora,7,12,Nora,7,12,Nora,7,Solothurn,Solothurn,Soleure,Solothurn,Soletta
12,Mila,7,12,Mila,7,12,Mila,7,Solothurn,Solothurn,Soleure,Solothurn,Soletta
12,Yara,7,12,Yara,7,12,Yara,7,Solothurn,Solothurn,Soleure,Solothurn,Soletta
12,Aurora,7,12,Aurora,7,12,Aurora,7,Solothurn,Solothurn,Soleure,Solothurn,Soletta
12,Chiara,7,12,Chiara,7,12,Chiara,7,Solothurn,Solothurn,Soleure,Solothurn,Soletta
12,Julia,7,12,Julia,7,12,Julia,7,Solothurn,Solothurn,Soleure,Solothurn,Soletta
12,Amira,7,12,Amira,7,12,Amira,7,Solothurn,Solothurn,Soleure,Solothurn,Soletta
12,Malina,7,12,Malina,7,12,Malina,7,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Elina,6,20,Elina,6,20,Elina,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Leonie,6,20,Leonie,6,20,Leonie,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Amelia,6,20,Amelia,6,20,Amelia,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Emily,6,20,Emily,6,20,Emily,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Livia,6,20,Livia,6,20,Livia,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Juna,6,20,Juna,6,20,Juna,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Jana,6,20,Jana,6,20,Jana,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Melina,6,20,Melina,6,20,Melina,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
20,Enya,6,20,Enya,6,20,Enya,6,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Elena,5,29,Elena,5,29,Elena,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Lena,5,29,Lena,5,29,Lena,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Luna,5,29,Luna,5,29,Luna,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Malea,5,29,Malea,5,29,Malea,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Alina,5,29,Alina,5,29,Alina,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Sophie,5,29,Sophie,5,29,Sophie,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Yuna,5,29,Yuna,5,29,Yuna,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Malia,5,29,Malia,5,29,Malia,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Hana,5,29,Hana,5,29,Hana,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Alea,5,29,Alea,5,29,Alea,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Lorena,5,29,Lorena,5,29,Lorena,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Jael,5,29,Jael,5,29,Jael,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Mina,5,29,Mina,5,29,Mina,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Hailey,5,29,Hailey,5,29,Hailey,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Marie,5,29,Marie,5,29,Marie,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
29,Nuria,5,29,Nuria,5,29,Nuria,5,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Ella,4,45,Ella,4,45,Ella,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Lara,4,45,Lara,4,45,Lara,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Valentina,4,45,Valentina,4,45,Valentina,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Nina,4,45,Nina,4,45,Nina,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Eva,4,45,Eva,4,45,Eva,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Elin,4,45,Elin,4,45,Elin,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Alma,4,45,Alma,4,45,Alma,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Inaya,4,45,Inaya,4,45,Inaya,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Liana,4,45,Liana,4,45,Liana,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Luisa,4,45,Luisa,4,45,Luisa,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Zoe,4,45,Zoe,4,45,Zoe,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Ronja,4,45,Ronja,4,45,Ronja,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Alessia,4,45,Alessia,4,45,Alessia,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Amelie,4,45,Amelie,4,45,Amelie,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Noelia,4,45,Noelia,4,45,Noelia,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Melissa,4,45,Melissa,4,45,Melissa,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Arya,4,45,Arya,4,45,Arya,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Amina,4,45,Amina,4,45,Amina,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Eliana,4,45,Eliana,4,45,Eliana,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Anouk,4,45,Anouk,4,45,Anouk,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Leona,4,45,Leona,4,45,Leona,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Viola,4,45,Viola,4,45,Viola,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Romina,4,45,Romina,4,45,Romina,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Nila,4,45,Nila,4,45,Nila,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Stina,4,45,Stina,4,45,Stina,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
45,Azra,4,45,Azra,4,45,Azra,4,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Olivia,3,71,Olivia,3,71,Olivia,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Giulia,3,71,Giulia,3,71,Giulia,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Maria,3,71,Maria,3,71,Maria,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Elisa,3,71,Elisa,3,71,Elisa,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Dua,3,71,Dua,3,71,Dua,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Ayla,3,71,Ayla,3,71,Ayla,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Clara,3,71,Clara,3,71,Clara,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Noemi,3,71,Noemi,3,71,Noemi,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Lynn,3,71,Lynn,3,71,Lynn,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Fiona,3,71,Fiona,3,71,Fiona,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Diana,3,71,Diana,3,71,Diana,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Alicia,3,71,Alicia,3,71,Alicia,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Kiara,3,71,Kiara,3,71,Kiara,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Julie,3,71,Julie,3,71,Julie,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Sarah,3,71,Sarah,3,71,Sarah,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Hannah,3,71,Hannah,3,71,Hannah,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Mayla,3,71,Mayla,3,71,Mayla,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Yael,3,71,Yael,3,71,Yael,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Lilly,3,71,Lilly,3,71,Lilly,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Neyla,3,71,Neyla,3,71,Neyla,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Amara,3,71,Amara,3,71,Amara,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Thea,3,71,Thea,3,71,Thea,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Ilaria,3,71,Ilaria,3,71,Ilaria,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Mathilda,3,71,Mathilda,3,71,Mathilda,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Linnea,3,71,Linnea,3,71,Linnea,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Lucia,3,71,Lucia,3,71,Lucia,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Paulina,3,71,Paulina,3,71,Paulina,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Joana,3,71,Joana,3,71,Joana,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Emilija,3,71,Emilija,3,71,Emilija,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
71,Linn,3,71,Linn,3,71,Linn,3,Solothurn,Solothurn,Soleure,Solothurn,Soletta
