Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Elena,4,1,Elena,4,1,Elena,4,Uri,Uri,Uri,Uri,Uri
1,Nora,4,1,Nora,4,1,Nora,4,Uri,Uri,Uri,Uri,Uri
1,Yara,4,1,Yara,4,1,Yara,4,Uri,Uri,Uri,Uri,Uri
1,Aline,4,1,Aline,4,1,Aline,4,Uri,Uri,Uri,Uri,Uri
5,Emilia,3,5,Emilia,3,5,Emilia,3,Uri,Uri,Uri,Uri,Uri
5,Elina,3,5,Elina,3,5,Elina,3,Uri,Uri,Uri,Uri,Uri
5,Alina,3,5,Alina,3,5,Alina,3,Uri,Uri,Uri,Uri,Uri
5,Elin,3,5,Elin,3,5,Elin,3,Uri,Uri,Uri,Uri,Uri
5,Livia,3,5,Livia,3,5,Livia,3,Uri,Uri,Uri,Uri,Uri
5,Noemi,3,5,Noemi,3,5,Noemi,3,Uri,Uri,Uri,Uri,Uri
5,Luisa,3,5,Luisa,3,5,Luisa,3,Uri,Uri,Uri,Uri,Uri
12,Emma,2,12,Emma,2,12,Emma,2,Uri,Uri,Uri,Uri,Uri
12,Olivia,2,12,Olivia,2,12,Olivia,2,Uri,Uri,Uri,Uri,Uri
12,Sophia,2,12,Sophia,2,12,Sophia,2,Uri,Uri,Uri,Uri,Uri
12,Valentina,2,12,Valentina,2,12,Valentina,2,Uri,Uri,Uri,Uri,Uri
12,Leonie,2,12,Leonie,2,12,Leonie,2,Uri,Uri,Uri,Uri,Uri
12,Julia,2,12,Julia,2,12,Julia,2,Uri,Uri,Uri,Uri,Uri
12,Laura,2,12,Laura,2,12,Laura,2,Uri,Uri,Uri,Uri,Uri
12,Amelia,2,12,Amelia,2,12,Amelia,2,Uri,Uri,Uri,Uri,Uri
12,Emily,2,12,Emily,2,12,Emily,2,Uri,Uri,Uri,Uri,Uri
12,Luana,2,12,Luana,2,12,Luana,2,Uri,Uri,Uri,Uri,Uri
12,Leana,2,12,Leana,2,12,Leana,2,Uri,Uri,Uri,Uri,Uri
12,Lynn,2,12,Lynn,2,12,Lynn,2,Uri,Uri,Uri,Uri,Uri
12,Ronja,2,12,Ronja,2,12,Ronja,2,Uri,Uri,Uri,Uri,Uri
12,Alessia,2,12,Alessia,2,12,Alessia,2,Uri,Uri,Uri,Uri,Uri
12,Amelie,2,12,Amelie,2,12,Amelie,2,Uri,Uri,Uri,Uri,Uri
12,Amina,2,12,Amina,2,12,Amina,2,Uri,Uri,Uri,Uri,Uri
12,Aurelia,2,12,Aurelia,2,12,Aurelia,2,Uri,Uri,Uri,Uri,Uri
12,Solea,2,12,Solea,2,12,Solea,2,Uri,Uri,Uri,Uri,Uri
12,Lyana,2,12,Lyana,2,12,Lyana,2,Uri,Uri,Uri,Uri,Uri
12,Ayleen,2,12,Ayleen,2,12,Ayleen,2,Uri,Uri,Uri,Uri,Uri
12,Rahel,2,12,Rahel,2,12,Rahel,2,Uri,Uri,Uri,Uri,Uri
33,Sofia,1,33,Sofia,1,33,Sofia,1,Uri,Uri,Uri,Uri,Uri
33,Lia,1,33,Lia,1,33,Lia,1,Uri,Uri,Uri,Uri,Uri
33,Mila,1,33,Mila,1,33,Mila,1,Uri,Uri,Uri,Uri,Uri
33,Ella,1,33,Ella,1,33,Ella,1,Uri,Uri,Uri,Uri,Uri
33,Luna,1,33,Luna,1,33,Luna,1,Uri,Uri,Uri,Uri,Uri
33,Lea,1,33,Lea,1,33,Lea,1,Uri,Uri,Uri,Uri,Uri
33,Malea,1,33,Malea,1,33,Malea,1,Uri,Uri,Uri,Uri,Uri
33,Aurora,1,33,Aurora,1,33,Aurora,1,Uri,Uri,Uri,Uri,Uri
33,Eva,1,33,Eva,1,33,Eva,1,Uri,Uri,Uri,Uri,Uri
33,Alma,1,33,Alma,1,33,Alma,1,Uri,Uri,Uri,Uri,Uri
33,Maria,1,33,Maria,1,33,Maria,1,Uri,Uri,Uri,Uri,Uri
33,Elisa,1,33,Elisa,1,33,Elisa,1,Uri,Uri,Uri,Uri,Uri
33,Juna,1,33,Juna,1,33,Juna,1,Uri,Uri,Uri,Uri,Uri
33,Lou,1,33,Lou,1,33,Lou,1,Uri,Uri,Uri,Uri,Uri
33,Victoria,1,33,Victoria,1,33,Victoria,1,Uri,Uri,Uri,Uri,Uri
33,Alea,1,33,Alea,1,33,Alea,1,Uri,Uri,Uri,Uri,Uri
33,Melina,1,33,Melina,1,33,Melina,1,Uri,Uri,Uri,Uri,Uri
33,Ellie,1,33,Ellie,1,33,Ellie,1,Uri,Uri,Uri,Uri,Uri
33,Naomi,1,33,Naomi,1,33,Naomi,1,Uri,Uri,Uri,Uri,Uri
33,Lorena,1,33,Lorena,1,33,Lorena,1,Uri,Uri,Uri,Uri,Uri
33,Liv,1,33,Liv,1,33,Liv,1,Uri,Uri,Uri,Uri,Uri
33,Aria,1,33,Aria,1,33,Aria,1,Uri,Uri,Uri,Uri,Uri
33,Amaya,1,33,Amaya,1,33,Amaya,1,Uri,Uri,Uri,Uri,Uri
33,Ariana,1,33,Ariana,1,33,Ariana,1,Uri,Uri,Uri,Uri,Uri
33,Arya,1,33,Arya,1,33,Arya,1,Uri,Uri,Uri,Uri,Uri
33,Stella,1,33,Stella,1,33,Stella,1,Uri,Uri,Uri,Uri,Uri
33,Lily,1,33,Lily,1,33,Lily,1,Uri,Uri,Uri,Uri,Uri
33,Julie,1,33,Julie,1,33,Julie,1,Uri,Uri,Uri,Uri,Uri
33,Valeria,1,33,Valeria,1,33,Valeria,1,Uri,Uri,Uri,Uri,Uri
33,Lisa,1,33,Lisa,1,33,Lisa,1,Uri,Uri,Uri,Uri,Uri
33,Sarah,1,33,Sarah,1,33,Sarah,1,Uri,Uri,Uri,Uri,Uri
33,Freya,1,33,Freya,1,33,Freya,1,Uri,Uri,Uri,Uri,Uri
33,Jael,1,33,Jael,1,33,Jael,1,Uri,Uri,Uri,Uri,Uri
33,Elodie,1,33,Elodie,1,33,Elodie,1,Uri,Uri,Uri,Uri,Uri
33,Mina,1,33,Mina,1,33,Mina,1,Uri,Uri,Uri,Uri,Uri
33,Leonor,1,33,Leonor,1,33,Leonor,1,Uri,Uri,Uri,Uri,Uri
33,Léa,1,33,Léa,1,33,Léa,1,Uri,Uri,Uri,Uri,Uri
33,Anastasia,1,33,Anastasia,1,33,Anastasia,1,Uri,Uri,Uri,Uri,Uri
33,Finja,1,33,Finja,1,33,Finja,1,Uri,Uri,Uri,Uri,Uri
33,Ladina,1,33,Ladina,1,33,Ladina,1,Uri,Uri,Uri,Uri,Uri
33,Malou,1,33,Malou,1,33,Malou,1,Uri,Uri,Uri,Uri,Uri
33,Mona,1,33,Mona,1,33,Mona,1,Uri,Uri,Uri,Uri,Uri
33,Gaia,1,33,Gaia,1,33,Gaia,1,Uri,Uri,Uri,Uri,Uri
33,Viola,1,33,Viola,1,33,Viola,1,Uri,Uri,Uri,Uri,Uri
33,Lucy,1,33,Lucy,1,33,Lucy,1,Uri,Uri,Uri,Uri,Uri
33,Céline,1,33,Céline,1,33,Céline,1,Uri,Uri,Uri,Uri,Uri
33,Nea,1,33,Nea,1,33,Nea,1,Uri,Uri,Uri,Uri,Uri
33,Mathilda,1,33,Mathilda,1,33,Mathilda,1,Uri,Uri,Uri,Uri,Uri
33,Aleyna,1,33,Aleyna,1,33,Aleyna,1,Uri,Uri,Uri,Uri,Uri
33,Nia,1,33,Nia,1,33,Nia,1,Uri,Uri,Uri,Uri,Uri
