Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Gabriel,2,1,Gabriel,2,1,Gabriel,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
1,Elia,2,1,Elia,2,1,Elia,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
1,Nico,2,1,Nico,2,1,Nico,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
1,Milo,2,1,Milo,2,1,Milo,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
1,Emilio,2,1,Emilio,2,1,Emilio,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
1,Adrian,2,1,Adrian,2,1,Adrian,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
1,Ennio,2,1,Ennio,2,1,Ennio,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
1,Damian,2,1,Damian,2,1,Damian,2,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Noah,1,9,Noah,1,9,Noah,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Liam,1,9,Liam,1,9,Liam,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Matteo,1,9,Matteo,1,9,Matteo,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Leano,1,9,Leano,1,9,Leano,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Leo,1,9,Leo,1,9,Leo,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Luca,1,9,Luca,1,9,Luca,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Nino,1,9,Nino,1,9,Nino,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Aaron,1,9,Aaron,1,9,Aaron,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
9,Ben,1,9,Ben,1,9,Ben,1,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rh.-Int.,Appenzell Innerrhoden,Appenzello Interno
