Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Noah,16,1,Noah,16,1,Noah,16,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
2,Samuel,12,2,Samuel,12,2,Samuel,12,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
3,Elio,9,3,Elio,9,3,Elio,9,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
3,Theo,9,3,Theo,9,3,Theo,9,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
5,Julian,8,5,Julian,8,5,Julian,8,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
6,Leo,7,6,Leo,7,6,Leo,7,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
6,Lucas,7,6,Lucas,7,6,Lucas,7,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
6,Paul,7,6,Paul,7,6,Paul,7,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
9,Matteo,6,9,Matteo,6,9,Matteo,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
9,Gabriel,6,9,Gabriel,6,9,Gabriel,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
9,Luca,6,9,Luca,6,9,Luca,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
9,Elias,6,9,Elias,6,9,Elias,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
9,Aaron,6,9,Aaron,6,9,Aaron,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
9,Elia,6,9,Elia,6,9,Elia,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
9,Adam,6,9,Adam,6,9,Adam,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
9,Theodor,6,9,Theodor,6,9,Theodor,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
17,Liam,5,17,Liam,5,17,Liam,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
17,Malik,5,17,Malik,5,17,Malik,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
17,Finn,5,17,Finn,5,17,Finn,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
17,Levin,5,17,Levin,5,17,Levin,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
17,Felix,5,17,Felix,5,17,Felix,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
