Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Gabriel,36,1,Gabriel,36,1,Gabriel,36,Genève,Genève,Genève,Genf,Ginevra
2,Noah,35,2,Noah,35,2,Noah,35,Genève,Genève,Genève,Genf,Ginevra
2,Liam,35,2,Liam,35,2,Liam,35,Genève,Genève,Genève,Genf,Ginevra
4,Arthur,28,4,Arthur,28,4,Arthur,28,Genève,Genève,Genève,Genf,Ginevra
4,Adam,28,4,Adam,28,4,Adam,28,Genève,Genève,Genève,Genf,Ginevra
6,Enzo,23,6,Enzo,23,6,Enzo,23,Genève,Genève,Genève,Genf,Ginevra
7,Louis,21,7,Louis,21,7,Louis,21,Genève,Genève,Genève,Genf,Ginevra
8,Matteo,20,8,Matteo,20,8,Matteo,20,Genève,Genève,Genève,Genf,Ginevra
8,Elio,20,8,Elio,20,8,Elio,20,Genève,Genève,Genève,Genf,Ginevra
10,Ethan,17,10,Ethan,17,10,Ethan,17,Genève,Genève,Genève,Genf,Ginevra
10,Victor,17,10,Victor,17,10,Victor,17,Genève,Genève,Genève,Genf,Ginevra
12,Oscar,16,12,Oscar,16,12,Oscar,16,Genève,Genève,Genève,Genf,Ginevra
13,Leo,15,13,Leo,15,13,Leo,15,Genève,Genève,Genève,Genf,Ginevra
13,Nathan,15,13,Nathan,15,13,Nathan,15,Genève,Genève,Genève,Genf,Ginevra
15,Léo,14,15,Léo,14,15,Léo,14,Genève,Genève,Genève,Genf,Ginevra
15,Alexandre,14,15,Alexandre,14,15,Alexandre,14,Genève,Genève,Genève,Genf,Ginevra
17,Leonardo,13,17,Leonardo,13,17,Leonardo,13,Genève,Genève,Genève,Genf,Ginevra
17,Thomas,13,17,Thomas,13,17,Thomas,13,Genève,Genève,Genève,Genf,Ginevra
17,Ayan,13,17,Ayan,13,17,Ayan,13,Genève,Genève,Genève,Genf,Ginevra
20,Aaron,12,20,Aaron,12,20,Aaron,12,Genève,Genève,Genève,Genf,Ginevra
20,David,12,20,David,12,20,David,12,Genève,Genève,Genève,Genf,Ginevra
20,Mateo,12,20,Mateo,12,20,Mateo,12,Genève,Genève,Genève,Genf,Ginevra
20,William,12,20,William,12,20,William,12,Genève,Genève,Genève,Genf,Ginevra
24,Elias,11,24,Elias,11,24,Elias,11,Genève,Genève,Genève,Genf,Ginevra
24,Samuel,11,24,Samuel,11,24,Samuel,11,Genève,Genève,Genève,Genf,Ginevra
24,Lucas,11,24,Lucas,11,24,Lucas,11,Genève,Genève,Genève,Genf,Ginevra
24,Théo,11,24,Théo,11,24,Théo,11,Genève,Genève,Genève,Genf,Ginevra
24,Eliott,11,24,Eliott,11,24,Eliott,11,Genève,Genève,Genève,Genf,Ginevra
24,Andrea,11,24,Andrea,11,24,Andrea,11,Genève,Genève,Genève,Genf,Ginevra
30,Luca,10,30,Luca,10,30,Luca,10,Genève,Genève,Genève,Genf,Ginevra
30,Mattia,10,30,Mattia,10,30,Mattia,10,Genève,Genève,Genève,Genf,Ginevra
30,Maël,10,30,Maël,10,30,Maël,10,Genève,Genève,Genève,Genf,Ginevra
30,James,10,30,James,10,30,James,10,Genève,Genève,Genève,Genf,Ginevra
34,Milo,9,34,Milo,9,34,Milo,9,Genève,Genève,Genève,Genf,Ginevra
34,Lorenzo,9,34,Lorenzo,9,34,Lorenzo,9,Genève,Genève,Genève,Genf,Ginevra
34,Léon,9,34,Léon,9,34,Léon,9,Genève,Genève,Genève,Genf,Ginevra
34,Mathis,9,34,Mathis,9,34,Mathis,9,Genève,Genève,Genève,Genf,Ginevra
34,Raphaël,9,34,Raphaël,9,34,Raphaël,9,Genève,Genève,Genève,Genf,Ginevra
34,Gaspard,9,34,Gaspard,9,34,Gaspard,9,Genève,Genève,Genève,Genf,Ginevra
40,Benjamin,8,40,Benjamin,8,40,Benjamin,8,Genève,Genève,Genève,Genf,Ginevra
40,Santiago,8,40,Santiago,8,40,Santiago,8,Genève,Genève,Genève,Genf,Ginevra
40,Nolan,8,40,Nolan,8,40,Nolan,8,Genève,Genève,Genève,Genf,Ginevra
40,Adriano,8,40,Adriano,8,40,Adriano,8,Genève,Genève,Genève,Genf,Ginevra
40,Antoine,8,40,Antoine,8,40,Antoine,8,Genève,Genève,Genève,Genf,Ginevra
40,Timothée,8,40,Timothée,8,40,Timothée,8,Genève,Genève,Genève,Genf,Ginevra
46,Leandro,7,46,Leandro,7,46,Leandro,7,Genève,Genève,Genève,Genf,Ginevra
46,Oliver,7,46,Oliver,7,46,Oliver,7,Genève,Genève,Genève,Genf,Ginevra
46,Kian,7,46,Kian,7,46,Kian,7,Genève,Genève,Genève,Genf,Ginevra
46,Rayan,7,46,Rayan,7,46,Rayan,7,Genève,Genève,Genève,Genf,Ginevra
46,Rafael,7,46,Rafael,7,46,Rafael,7,Genève,Genève,Genève,Genf,Ginevra
46,Lenny,7,46,Lenny,7,46,Lenny,7,Genève,Genève,Genève,Genf,Ginevra
46,Evan,7,46,Evan,7,46,Evan,7,Genève,Genève,Genève,Genf,Ginevra
46,Jules,7,46,Jules,7,46,Jules,7,Genève,Genève,Genève,Genf,Ginevra
46,Axel,7,46,Axel,7,46,Axel,7,Genève,Genève,Genève,Genf,Ginevra
46,Naël,7,46,Naël,7,46,Naël,7,Genève,Genève,Genève,Genf,Ginevra
46,Sohan,7,46,Sohan,7,46,Sohan,7,Genève,Genève,Genève,Genf,Ginevra
46,Ilyan,7,46,Ilyan,7,46,Ilyan,7,Genève,Genève,Genève,Genf,Ginevra
46,Auguste,7,46,Auguste,7,46,Auguste,7,Genève,Genève,Genève,Genf,Ginevra
59,Leon,6,59,Leon,6,59,Leon,6,Genève,Genève,Genève,Genf,Ginevra
59,Nino,6,59,Nino,6,59,Nino,6,Genève,Genève,Genève,Genf,Ginevra
59,Livio,6,59,Livio,6,59,Livio,6,Genève,Genève,Genève,Genf,Ginevra
59,Julian,6,59,Julian,6,59,Julian,6,Genève,Genève,Genève,Genf,Ginevra
59,Noé,6,59,Noé,6,59,Noé,6,Genève,Genève,Genève,Genf,Ginevra
59,Nael,6,59,Nael,6,59,Nael,6,Genève,Genève,Genève,Genf,Ginevra
59,Alexander,6,59,Alexander,6,59,Alexander,6,Genève,Genève,Genève,Genf,Ginevra
59,Isaac,6,59,Isaac,6,59,Isaac,6,Genève,Genève,Genève,Genf,Ginevra
59,Paul,6,59,Paul,6,59,Paul,6,Genève,Genève,Genève,Genf,Ginevra
59,Nicolas,6,59,Nicolas,6,59,Nicolas,6,Genève,Genève,Genève,Genf,Ginevra
59,Eden,6,59,Eden,6,59,Eden,6,Genève,Genève,Genève,Genf,Ginevra
59,Charlie,6,59,Charlie,6,59,Charlie,6,Genève,Genève,Genève,Genf,Ginevra
59,Edoardo,6,59,Edoardo,6,59,Edoardo,6,Genève,Genève,Genève,Genf,Ginevra
59,Roman,6,59,Roman,6,59,Roman,6,Genève,Genève,Genève,Genf,Ginevra
59,Lourenço,6,59,Lourenço,6,59,Lourenço,6,Genève,Genève,Genève,Genf,Ginevra
59,Mohamed,6,59,Mohamed,6,59,Mohamed,6,Genève,Genève,Genève,Genf,Ginevra
59,Imran,6,59,Imran,6,59,Imran,6,Genève,Genève,Genève,Genf,Ginevra
59,Sacha,6,59,Sacha,6,59,Sacha,6,Genève,Genève,Genève,Genf,Ginevra
59,Achille,6,59,Achille,6,59,Achille,6,Genève,Genève,Genève,Genf,Ginevra
59,Adem,6,59,Adem,6,59,Adem,6,Genève,Genève,Genève,Genf,Ginevra
59,Abel,6,59,Abel,6,59,Abel,6,Genève,Genève,Genève,Genf,Ginevra
59,Naïm,6,59,Naïm,6,59,Naïm,6,Genève,Genève,Genève,Genf,Ginevra
59,Hector,6,59,Hector,6,59,Hector,6,Genève,Genève,Genève,Genf,Ginevra
59,Mylann,6,59,Mylann,6,59,Mylann,6,Genève,Genève,Genève,Genf,Ginevra
83,Theo,5,83,Theo,5,83,Theo,5,Genève,Genève,Genève,Genf,Ginevra
83,Luan,5,83,Luan,5,83,Luan,5,Genève,Genève,Genève,Genf,Ginevra
83,Daniel,5,83,Daniel,5,83,Daniel,5,Genève,Genève,Genève,Genf,Ginevra
83,Max,5,83,Max,5,83,Max,5,Genève,Genève,Genève,Genf,Ginevra
83,Valentin,5,83,Valentin,5,83,Valentin,5,Genève,Genève,Genève,Genf,Ginevra
83,Henry,5,83,Henry,5,83,Henry,5,Genève,Genève,Genève,Genf,Ginevra
83,Milan,5,83,Milan,5,83,Milan,5,Genève,Genève,Genève,Genf,Ginevra
83,Ilyas,5,83,Ilyas,5,83,Ilyas,5,Genève,Genève,Genève,Genf,Ginevra
83,Hugo,5,83,Hugo,5,83,Hugo,5,Genève,Genève,Genève,Genf,Ginevra
83,Amir,5,83,Amir,5,83,Amir,5,Genève,Genève,Genève,Genf,Ginevra
83,Teo,5,83,Teo,5,83,Teo,5,Genève,Genève,Genève,Genf,Ginevra
83,Thiago,5,83,Thiago,5,83,Thiago,5,Genève,Genève,Genève,Genf,Ginevra
83,Mathias,5,83,Mathias,5,83,Mathias,5,Genève,Genève,Genève,Genf,Ginevra
83,Ali,5,83,Ali,5,83,Ali,5,Genève,Genève,Genève,Genf,Ginevra
83,Jack,5,83,Jack,5,83,Jack,5,Genève,Genève,Genève,Genf,Ginevra
83,Leyan,5,83,Leyan,5,83,Leyan,5,Genève,Genève,Genève,Genf,Ginevra
83,Léonard,5,83,Léonard,5,83,Léonard,5,Genève,Genève,Genève,Genf,Ginevra
83,Ulysse,5,83,Ulysse,5,83,Ulysse,5,Genève,Genève,Genève,Genf,Ginevra
