Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Noah,3,1,Noah,3,1,Noah,3,Glarus,Glarus,Glaris,Glarus,Glarona
1,Leano,3,1,Leano,3,1,Leano,3,Glarus,Glarus,Glaris,Glarus,Glarona
1,Lino,3,1,Lino,3,1,Lino,3,Glarus,Glarus,Glaris,Glarus,Glarona
1,Jonas,3,1,Jonas,3,1,Jonas,3,Glarus,Glarus,Glaris,Glarus,Glarona
5,Liam,2,5,Liam,2,5,Liam,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Matteo,2,5,Matteo,2,5,Matteo,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Gabriel,2,5,Gabriel,2,5,Gabriel,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Leo,2,5,Leo,2,5,Leo,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Aaron,2,5,Aaron,2,5,Aaron,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Samuel,2,5,Samuel,2,5,Samuel,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Livio,2,5,Livio,2,5,Livio,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Leandro,2,5,Leandro,2,5,Leandro,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Diego,2,5,Diego,2,5,Diego,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Noel,2,5,Noel,2,5,Noel,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Joel,2,5,Joel,2,5,Joel,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Raphael,2,5,Raphael,2,5,Raphael,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Tenzin,2,5,Tenzin,2,5,Tenzin,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Aras,2,5,Aras,2,5,Aras,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Yuma,2,5,Yuma,2,5,Yuma,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Sämi,2,5,Sämi,2,5,Sämi,2,Glarus,Glarus,Glaris,Glarus,Glarona
5,Dibran,2,5,Dibran,2,5,Dibran,2,Glarus,Glarus,Glaris,Glarus,Glarona
22,Luca,1,22,Luca,1,22,Luca,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Elias,1,22,Elias,1,22,Elias,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Lio,1,22,Lio,1,22,Lio,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Ben,1,22,Ben,1,22,Ben,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,David,1,22,David,1,22,David,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Malik,1,22,Malik,1,22,Malik,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Nico,1,22,Nico,1,22,Nico,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Adam,1,22,Adam,1,22,Adam,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Lian,1,22,Lian,1,22,Lian,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Mael,1,22,Mael,1,22,Mael,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Levin,1,22,Levin,1,22,Levin,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Alexander,1,22,Alexander,1,22,Alexander,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Dario,1,22,Dario,1,22,Dario,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Max,1,22,Max,1,22,Max,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Tim,1,22,Tim,1,22,Tim,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Rafael,1,22,Rafael,1,22,Rafael,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Laurin,1,22,Laurin,1,22,Laurin,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Valentin,1,22,Valentin,1,22,Valentin,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Gian,1,22,Gian,1,22,Gian,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Henry,1,22,Henry,1,22,Henry,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Mauro,1,22,Mauro,1,22,Mauro,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Luis,1,22,Luis,1,22,Luis,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Paul,1,22,Paul,1,22,Paul,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Andrin,1,22,Andrin,1,22,Andrin,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,William,1,22,William,1,22,William,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Jaro,1,22,Jaro,1,22,Jaro,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Nils,1,22,Nils,1,22,Nils,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Aron,1,22,Aron,1,22,Aron,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Aurel,1,22,Aurel,1,22,Aurel,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Gino,1,22,Gino,1,22,Gino,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Joshua,1,22,Joshua,1,22,Joshua,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Linus,1,22,Linus,1,22,Linus,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Ilyas,1,22,Ilyas,1,22,Ilyas,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Moritz,1,22,Moritz,1,22,Moritz,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Carlo,1,22,Carlo,1,22,Carlo,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Teo,1,22,Teo,1,22,Teo,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Gabriele,1,22,Gabriele,1,22,Gabriele,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Antonio,1,22,Antonio,1,22,Antonio,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Oskar,1,22,Oskar,1,22,Oskar,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Rian,1,22,Rian,1,22,Rian,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Filip,1,22,Filip,1,22,Filip,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Theodor,1,22,Theodor,1,22,Theodor,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Elijah,1,22,Elijah,1,22,Elijah,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Roman,1,22,Roman,1,22,Roman,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Ajan,1,22,Ajan,1,22,Ajan,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Andrej,1,22,Andrej,1,22,Andrej,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Tian,1,22,Tian,1,22,Tian,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Dean,1,22,Dean,1,22,Dean,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Noa,1,22,Noa,1,22,Noa,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Valentino,1,22,Valentino,1,22,Valentino,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Sandro,1,22,Sandro,1,22,Sandro,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Matthias,1,22,Matthias,1,22,Matthias,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Trim,1,22,Trim,1,22,Trim,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Matti,1,22,Matti,1,22,Matti,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Salvador,1,22,Salvador,1,22,Salvador,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Ron,1,22,Ron,1,22,Ron,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Andreas,1,22,Andreas,1,22,Andreas,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Matias,1,22,Matias,1,22,Matias,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Rodrigo,1,22,Rodrigo,1,22,Rodrigo,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Jori,1,22,Jori,1,22,Jori,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Kevin,1,22,Kevin,1,22,Kevin,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Jasin,1,22,Jasin,1,22,Jasin,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Mateus,1,22,Mateus,1,22,Mateus,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Ilai,1,22,Ilai,1,22,Ilai,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Art,1,22,Art,1,22,Art,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Rico,1,22,Rico,1,22,Rico,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Maurus,1,22,Maurus,1,22,Maurus,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Edi,1,22,Edi,1,22,Edi,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Adin,1,22,Adin,1,22,Adin,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Maro,1,22,Maro,1,22,Maro,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Noël,1,22,Noël,1,22,Noël,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Eros,1,22,Eros,1,22,Eros,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Ledion,1,22,Ledion,1,22,Ledion,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Toni,1,22,Toni,1,22,Toni,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Erion,1,22,Erion,1,22,Erion,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Younes,1,22,Younes,1,22,Younes,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Pascal,1,22,Pascal,1,22,Pascal,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Raúl,1,22,Raúl,1,22,Raúl,1,Glarus,Glarus,Glaris,Glarus,Glarona
22,Riyan,1,22,Riyan,1,22,Riyan,1,Glarus,Glarus,Glaris,Glarus,Glarona
