Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Noah,21,1,Noah,21,1,Noah,21,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
2,Liam,19,2,Liam,19,2,Liam,19,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
3,Lio,16,3,Lio,16,3,Lio,16,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
4,Matteo,14,4,Matteo,14,4,Matteo,14,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
4,Leon,14,4,Leon,14,4,Leon,14,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
6,Levi,13,6,Levi,13,6,Levi,13,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
7,Leano,12,7,Leano,12,7,Leano,12,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
7,Elia,12,7,Elia,12,7,Elia,12,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
7,Nico,12,7,Nico,12,7,Nico,12,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
10,Malik,11,10,Malik,11,10,Malik,11,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
10,Jaro,11,10,Jaro,11,10,Jaro,11,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Luca,10,12,Luca,10,12,Luca,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
12,Louis,10,12,Louis,10,12,Louis,10,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
14,Gabriel,9,14,Gabriel,9,14,Gabriel,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
14,Elias,9,14,Elias,9,14,Elias,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
14,Ben,9,14,Ben,9,14,Ben,9,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
17,Leo,8,17,Leo,8,17,Leo,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
17,Aaron,8,17,Aaron,8,17,Aaron,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
17,Livio,8,17,Livio,8,17,Livio,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
17,Leandro,8,17,Leandro,8,17,Leandro,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
17,Nael,8,17,Nael,8,17,Nael,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
17,Levin,8,17,Levin,8,17,Levin,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
17,Milo,8,17,Milo,8,17,Milo,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
17,Laurin,8,17,Laurin,8,17,Laurin,8,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
25,Nino,7,25,Nino,7,25,Nino,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
25,Leonardo,7,25,Leonardo,7,25,Leonardo,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
25,Theo,7,25,Theo,7,25,Theo,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
25,Mateo,7,25,Mateo,7,25,Mateo,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
25,Julian,7,25,Julian,7,25,Julian,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
25,Finn,7,25,Finn,7,25,Finn,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
25,Mael,7,25,Mael,7,25,Mael,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
25,Neo,7,25,Neo,7,25,Neo,7,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
33,Mattia,6,33,Mattia,6,33,Mattia,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
33,Emil,6,33,Emil,6,33,Emil,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
33,Lino,6,33,Lino,6,33,Lino,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
33,Tim,6,33,Tim,6,33,Tim,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
33,Jonas,6,33,Jonas,6,33,Jonas,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
33,Fabio,6,33,Fabio,6,33,Fabio,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
33,Jaron,6,33,Jaron,6,33,Jaron,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
33,Joris,6,33,Joris,6,33,Joris,6,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Samuel,5,41,Samuel,5,41,Samuel,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Lian,5,41,Lian,5,41,Lian,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Diego,5,41,Diego,5,41,Diego,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Enea,5,41,Enea,5,41,Enea,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Oliver,5,41,Oliver,5,41,Oliver,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Kian,5,41,Kian,5,41,Kian,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Emilio,5,41,Emilio,5,41,Emilio,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Alexander,5,41,Alexander,5,41,Alexander,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Dario,5,41,Dario,5,41,Dario,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Felix,5,41,Felix,5,41,Felix,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Gian,5,41,Gian,5,41,Gian,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Mauro,5,41,Mauro,5,41,Mauro,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Nevio,5,41,Nevio,5,41,Nevio,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Luis,5,41,Luis,5,41,Luis,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Timo,5,41,Timo,5,41,Timo,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Loris,5,41,Loris,5,41,Loris,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Simon,5,41,Simon,5,41,Simon,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Andrin,5,41,Andrin,5,41,Andrin,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Nils,5,41,Nils,5,41,Nils,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Lars,5,41,Lars,5,41,Lars,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Ilyas,5,41,Ilyas,5,41,Ilyas,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Lean,5,41,Lean,5,41,Lean,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Janis,5,41,Janis,5,41,Janis,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Damian,5,41,Damian,5,41,Damian,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
41,Jona,5,41,Jona,5,41,Jona,5,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Adam,4,66,Adam,4,66,Adam,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Noé,4,66,Noé,4,66,Noé,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Robin,4,66,Robin,4,66,Robin,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Max,4,66,Max,4,66,Max,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Rafael,4,66,Rafael,4,66,Rafael,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Nelio,4,66,Nelio,4,66,Nelio,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Benjamin,4,66,Benjamin,4,66,Benjamin,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Henry,4,66,Henry,4,66,Henry,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Lorenzo,4,66,Lorenzo,4,66,Lorenzo,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Noel,4,66,Noel,4,66,Noel,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Zayn,4,66,Zayn,4,66,Zayn,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Joel,4,66,Joel,4,66,Joel,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Joshua,4,66,Joshua,4,66,Joshua,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Tiago,4,66,Tiago,4,66,Tiago,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Jakob,4,66,Jakob,4,66,Jakob,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Liano,4,66,Liano,4,66,Liano,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Emir,4,66,Emir,4,66,Emir,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Timeo,4,66,Timeo,4,66,Timeo,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
66,Moreno,4,66,Moreno,4,66,Moreno,4,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,David,3,85,David,3,85,David,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Enzo,3,85,Enzo,3,85,Enzo,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Alessio,3,85,Alessio,3,85,Alessio,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Maël,3,85,Maël,3,85,Maël,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Lionel,3,85,Lionel,3,85,Lionel,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Adrian,3,85,Adrian,3,85,Adrian,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Lukas,3,85,Lukas,3,85,Lukas,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Gino,3,85,Gino,3,85,Gino,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Kilian,3,85,Kilian,3,85,Kilian,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Colin,3,85,Colin,3,85,Colin,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Milan,3,85,Milan,3,85,Milan,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Louie,3,85,Louie,3,85,Louie,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Henri,3,85,Henri,3,85,Henri,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Kiyan,3,85,Kiyan,3,85,Kiyan,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Raphael,3,85,Raphael,3,85,Raphael,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
85,Jamie,3,85,Jamie,3,85,Jamie,3,Thurgau,Thurgau,Thurgovie,Thurgau,Turgovia
