Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Noah,68,1,Noah,68,1,Noah,68,Vaud,Vaud,Vaud,Waadt,Vaud
2,Liam,63,2,Liam,63,2,Liam,63,Vaud,Vaud,Vaud,Waadt,Vaud
3,Gabriel,51,3,Gabriel,51,3,Gabriel,51,Vaud,Vaud,Vaud,Waadt,Vaud
4,Arthur,36,4,Arthur,36,4,Arthur,36,Vaud,Vaud,Vaud,Waadt,Vaud
5,Louis,34,5,Louis,34,5,Louis,34,Vaud,Vaud,Vaud,Waadt,Vaud
6,Théo,33,6,Théo,33,6,Théo,33,Vaud,Vaud,Vaud,Waadt,Vaud
7,Léo,32,7,Léo,32,7,Léo,32,Vaud,Vaud,Vaud,Waadt,Vaud
8,Jules,31,8,Jules,31,8,Jules,31,Vaud,Vaud,Vaud,Waadt,Vaud
9,Nathan,27,9,Nathan,27,9,Nathan,27,Vaud,Vaud,Vaud,Waadt,Vaud
9,Isaac,27,9,Isaac,27,9,Isaac,27,Vaud,Vaud,Vaud,Waadt,Vaud
9,Léon,27,9,Léon,27,9,Léon,27,Vaud,Vaud,Vaud,Waadt,Vaud
12,Enzo,26,12,Enzo,26,12,Enzo,26,Vaud,Vaud,Vaud,Waadt,Vaud
13,Elias,24,13,Elias,24,13,Elias,24,Vaud,Vaud,Vaud,Waadt,Vaud
13,Lucas,24,13,Lucas,24,13,Lucas,24,Vaud,Vaud,Vaud,Waadt,Vaud
15,Matteo,23,15,Matteo,23,15,Matteo,23,Vaud,Vaud,Vaud,Waadt,Vaud
15,Luca,23,15,Luca,23,15,Luca,23,Vaud,Vaud,Vaud,Waadt,Vaud
15,Elio,23,15,Elio,23,15,Elio,23,Vaud,Vaud,Vaud,Waadt,Vaud
18,Ethan,22,18,Ethan,22,18,Ethan,22,Vaud,Vaud,Vaud,Waadt,Vaud
18,Eden,22,18,Eden,22,18,Eden,22,Vaud,Vaud,Vaud,Waadt,Vaud
18,Alexandre,22,18,Alexandre,22,18,Alexandre,22,Vaud,Vaud,Vaud,Waadt,Vaud
21,Raphaël,21,21,Raphaël,21,21,Raphaël,21,Vaud,Vaud,Vaud,Waadt,Vaud
22,Leonardo,20,22,Leonardo,20,22,Leonardo,20,Vaud,Vaud,Vaud,Waadt,Vaud
22,William,20,22,William,20,22,William,20,Vaud,Vaud,Vaud,Waadt,Vaud
22,Hugo,20,22,Hugo,20,22,Hugo,20,Vaud,Vaud,Vaud,Waadt,Vaud
25,Leo,19,25,Leo,19,25,Leo,19,Vaud,Vaud,Vaud,Waadt,Vaud
25,Diego,19,25,Diego,19,25,Diego,19,Vaud,Vaud,Vaud,Waadt,Vaud
25,Robin,19,25,Robin,19,25,Robin,19,Vaud,Vaud,Vaud,Waadt,Vaud
25,Maël,19,25,Maël,19,25,Maël,19,Vaud,Vaud,Vaud,Waadt,Vaud
25,Evan,19,25,Evan,19,25,Evan,19,Vaud,Vaud,Vaud,Waadt,Vaud
25,Alexis,19,25,Alexis,19,25,Alexis,19,Vaud,Vaud,Vaud,Waadt,Vaud
31,Adam,18,31,Adam,18,31,Adam,18,Vaud,Vaud,Vaud,Waadt,Vaud
31,James,18,31,James,18,31,James,18,Vaud,Vaud,Vaud,Waadt,Vaud
31,Victor,18,31,Victor,18,31,Victor,18,Vaud,Vaud,Vaud,Waadt,Vaud
34,Mateo,17,34,Mateo,17,34,Mateo,17,Vaud,Vaud,Vaud,Waadt,Vaud
34,Lorenzo,17,34,Lorenzo,17,34,Lorenzo,17,Vaud,Vaud,Vaud,Waadt,Vaud
34,Mathis,17,34,Mathis,17,34,Mathis,17,Vaud,Vaud,Vaud,Waadt,Vaud
37,Aaron,16,37,Aaron,16,37,Aaron,16,Vaud,Vaud,Vaud,Waadt,Vaud
37,Thomas,16,37,Thomas,16,37,Thomas,16,Vaud,Vaud,Vaud,Waadt,Vaud
39,Daniel,15,39,Daniel,15,39,Daniel,15,Vaud,Vaud,Vaud,Waadt,Vaud
39,Rafael,15,39,Rafael,15,39,Rafael,15,Vaud,Vaud,Vaud,Waadt,Vaud
39,Alessio,15,39,Alessio,15,39,Alessio,15,Vaud,Vaud,Vaud,Waadt,Vaud
39,Lenny,15,39,Lenny,15,39,Lenny,15,Vaud,Vaud,Vaud,Waadt,Vaud
39,Axel,15,39,Axel,15,39,Axel,15,Vaud,Vaud,Vaud,Waadt,Vaud
