Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Gabriel,27,1,Gabriel,27,1,Gabriel,27,Valais / Wallis,Valais,Valais,Wallis,Vallese
2,Noah,20,2,Noah,20,2,Noah,20,Valais / Wallis,Valais,Valais,Wallis,Vallese
3,Arthur,19,3,Arthur,19,3,Arthur,19,Valais / Wallis,Valais,Valais,Wallis,Vallese
4,Louis,16,4,Louis,16,4,Louis,16,Valais / Wallis,Valais,Valais,Wallis,Vallese
5,Liam,15,5,Liam,15,5,Liam,15,Valais / Wallis,Valais,Valais,Wallis,Vallese
5,Matteo,15,5,Matteo,15,5,Matteo,15,Valais / Wallis,Valais,Valais,Wallis,Vallese
7,Nathan,14,7,Nathan,14,7,Nathan,14,Valais / Wallis,Valais,Valais,Wallis,Vallese
7,Léo,14,7,Léo,14,7,Léo,14,Valais / Wallis,Valais,Valais,Wallis,Vallese
9,Aaron,13,9,Aaron,13,9,Aaron,13,Valais / Wallis,Valais,Valais,Wallis,Vallese
10,Leo,12,10,Leo,12,10,Leo,12,Valais / Wallis,Valais,Valais,Wallis,Vallese
10,Nolan,12,10,Nolan,12,10,Nolan,12,Valais / Wallis,Valais,Valais,Wallis,Vallese
12,Luca,11,12,Luca,11,12,Luca,11,Valais / Wallis,Valais,Valais,Wallis,Vallese
12,Lucas,11,12,Lucas,11,12,Lucas,11,Valais / Wallis,Valais,Valais,Wallis,Vallese
14,Enzo,10,14,Enzo,10,14,Enzo,10,Valais / Wallis,Valais,Valais,Wallis,Vallese
14,Robin,10,14,Robin,10,14,Robin,10,Valais / Wallis,Valais,Valais,Wallis,Vallese
14,Axel,10,14,Axel,10,14,Axel,10,Valais / Wallis,Valais,Valais,Wallis,Vallese
17,Samuel,9,17,Samuel,9,17,Samuel,9,Valais / Wallis,Valais,Valais,Wallis,Vallese
17,Maël,9,17,Maël,9,17,Maël,9,Valais / Wallis,Valais,Valais,Wallis,Vallese
17,Lenny,9,17,Lenny,9,17,Lenny,9,Valais / Wallis,Valais,Valais,Wallis,Vallese
17,Théo,9,17,Théo,9,17,Théo,9,Valais / Wallis,Valais,Valais,Wallis,Vallese
17,Mathias,9,17,Mathias,9,17,Mathias,9,Valais / Wallis,Valais,Valais,Wallis,Vallese
22,Elio,8,22,Elio,8,22,Elio,8,Valais / Wallis,Valais,Valais,Wallis,Vallese
22,David,8,22,David,8,22,David,8,Valais / Wallis,Valais,Valais,Wallis,Vallese
22,Noé,8,22,Noé,8,22,Noé,8,Valais / Wallis,Valais,Valais,Wallis,Vallese
22,Milo,8,22,Milo,8,22,Milo,8,Valais / Wallis,Valais,Valais,Wallis,Vallese
22,Emilio,8,22,Emilio,8,22,Emilio,8,Valais / Wallis,Valais,Valais,Wallis,Vallese
22,Santiago,8,22,Santiago,8,22,Santiago,8,Valais / Wallis,Valais,Valais,Wallis,Vallese
22,Alexis,8,22,Alexis,8,22,Alexis,8,Valais / Wallis,Valais,Valais,Wallis,Vallese
29,Nino,7,29,Nino,7,29,Nino,7,Valais / Wallis,Valais,Valais,Wallis,Vallese
29,Eden,7,29,Eden,7,29,Eden,7,Valais / Wallis,Valais,Valais,Wallis,Vallese
29,Aylan,7,29,Aylan,7,29,Aylan,7,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Leano,6,32,Leano,6,32,Leano,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Elias,6,32,Elias,6,32,Elias,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Luan,6,32,Luan,6,32,Luan,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Diego,6,32,Diego,6,32,Diego,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Rayan,6,32,Rayan,6,32,Rayan,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Luka,6,32,Luka,6,32,Luka,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Ethan,6,32,Ethan,6,32,Ethan,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Simon,6,32,Simon,6,32,Simon,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Thomas,6,32,Thomas,6,32,Thomas,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Martin,6,32,Martin,6,32,Martin,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Ayden,6,32,Ayden,6,32,Ayden,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
32,Dorian,6,32,Dorian,6,32,Dorian,6,Valais / Wallis,Valais,Valais,Wallis,Vallese
44,Lio,5,44,Lio,5,44,Lio,5,Valais / Wallis,Valais,Valais,Wallis,Vallese
44,Ben,5,44,Ben,5,44,Ben,5,Valais / Wallis,Valais,Valais,Wallis,Vallese
44,Theo,5,44,Theo,5,44,Theo,5,Valais / Wallis,Valais,Valais,Wallis,Vallese
