Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Livia,5,1,Livia,5,1,Livia,5,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Emma,3,2,Emma,3,2,Emma,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Lia,3,2,Lia,3,2,Lia,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Lena,3,2,Lena,3,2,Lena,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Lea,3,2,Lea,3,2,Lea,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Valentina,3,2,Valentina,3,2,Valentina,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Elin,3,2,Elin,3,2,Elin,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Alea,3,2,Alea,3,2,Alea,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Melina,3,2,Melina,3,2,Melina,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
2,Alessia,3,2,Alessia,3,2,Alessia,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Sofia,2,11,Sofia,2,11,Sofia,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Elena,2,11,Elena,2,11,Elena,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Olivia,2,11,Olivia,2,11,Olivia,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Lina,2,11,Lina,2,11,Lina,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Nora,2,11,Nora,2,11,Nora,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Elina,2,11,Elina,2,11,Elina,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Giulia,2,11,Giulia,2,11,Giulia,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Julia,2,11,Julia,2,11,Julia,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Laura,2,11,Laura,2,11,Laura,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Sophie,2,11,Sophie,2,11,Sophie,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Elisa,2,11,Elisa,2,11,Elisa,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Fiona,2,11,Fiona,2,11,Fiona,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Aurelia,2,11,Aurelia,2,11,Aurelia,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Malin,2,11,Malin,2,11,Malin,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Jael,2,11,Jael,2,11,Jael,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Ana,2,11,Ana,2,11,Ana,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Malou,2,11,Malou,2,11,Malou,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Sina,2,11,Sina,2,11,Sina,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Alena,2,11,Alena,2,11,Alena,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Romina,2,11,Romina,2,11,Romina,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Melanie,2,11,Melanie,2,11,Melanie,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Aileen,2,11,Aileen,2,11,Aileen,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
11,Tanja,2,11,Tanja,2,11,Tanja,2,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Mia,1,34,Mia,1,34,Mia,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Emilia,1,34,Emilia,1,34,Emilia,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Lara,1,34,Lara,1,34,Lara,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Luna,1,34,Luna,1,34,Luna,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Malea,1,34,Malea,1,34,Malea,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Anna,1,34,Anna,1,34,Anna,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Alice,1,34,Alice,1,34,Alice,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Sophia,1,34,Sophia,1,34,Sophia,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Yara,1,34,Yara,1,34,Yara,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Alina,1,34,Alina,1,34,Alina,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Aurora,1,34,Aurora,1,34,Aurora,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Eva,1,34,Eva,1,34,Eva,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Emily,1,34,Emily,1,34,Emily,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Alma,1,34,Alma,1,34,Alma,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Maria,1,34,Maria,1,34,Maria,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Juna,1,34,Juna,1,34,Juna,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Sara,1,34,Sara,1,34,Sara,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Yuna,1,34,Yuna,1,34,Yuna,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Dua,1,34,Dua,1,34,Dua,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Ayla,1,34,Ayla,1,34,Ayla,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Malia,1,34,Malia,1,34,Malia,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Jana,1,34,Jana,1,34,Jana,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Lou,1,34,Lou,1,34,Lou,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Ava,1,34,Ava,1,34,Ava,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Leana,1,34,Leana,1,34,Leana,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Luisa,1,34,Luisa,1,34,Luisa,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Zoe,1,34,Zoe,1,34,Zoe,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Ronja,1,34,Ronja,1,34,Ronja,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Alicia,1,34,Alicia,1,34,Alicia,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Amira,1,34,Amira,1,34,Amira,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Naomi,1,34,Naomi,1,34,Naomi,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Lorena,1,34,Lorena,1,34,Lorena,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Noelia,1,34,Noelia,1,34,Noelia,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
34,Amalia,1,34,Amalia,1,34,Amalia,1,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rh.-Ext.,Appenzell Ausserrhoden,Appenzello Esterno
