Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Mia,42,1,Mia,42,1,Mia,42,Bern / Berne,Bern,Berne,Bern,Berna
2,Emma,40,2,Emma,40,2,Emma,40,Bern / Berne,Bern,Berne,Bern,Berna
2,Elin,40,2,Elin,40,2,Elin,40,Bern / Berne,Bern,Berne,Bern,Berna
4,Emilia,37,4,Emilia,37,4,Emilia,37,Bern / Berne,Bern,Berne,Bern,Berna
5,Lia,36,5,Lia,36,5,Lia,36,Bern / Berne,Bern,Berne,Bern,Berna
6,Elena,31,6,Elena,31,6,Elena,31,Bern / Berne,Bern,Berne,Bern,Berna
6,Elina,31,6,Elina,31,6,Elina,31,Bern / Berne,Bern,Berne,Bern,Berna
8,Yara,30,8,Yara,30,8,Yara,30,Bern / Berne,Bern,Berne,Bern,Berna
9,Malia,29,9,Malia,29,9,Malia,29,Bern / Berne,Bern,Berne,Bern,Berna
10,Mila,28,10,Mila,28,10,Mila,28,Bern / Berne,Bern,Berne,Bern,Berna
11,Sofia,27,11,Sofia,27,11,Sofia,27,Bern / Berne,Bern,Berne,Bern,Berna
11,Alina,27,11,Alina,27,11,Alina,27,Bern / Berne,Bern,Berne,Bern,Berna
11,Malea,27,11,Malea,27,11,Malea,27,Bern / Berne,Bern,Berne,Bern,Berna
11,Leonie,27,11,Leonie,27,11,Leonie,27,Bern / Berne,Bern,Berne,Bern,Berna
15,Lina,26,15,Lina,26,15,Lina,26,Bern / Berne,Bern,Berne,Bern,Berna
15,Juna,26,15,Juna,26,15,Juna,26,Bern / Berne,Bern,Berne,Bern,Berna
17,Luna,23,17,Luna,23,17,Luna,23,Bern / Berne,Bern,Berne,Bern,Berna
18,Sophia,22,18,Sophia,22,18,Sophia,22,Bern / Berne,Bern,Berne,Bern,Berna
18,Yuna,22,18,Yuna,22,18,Yuna,22,Bern / Berne,Bern,Berne,Bern,Berna
20,Amelia,21,20,Amelia,21,20,Amelia,21,Bern / Berne,Bern,Berne,Bern,Berna
20,Ella,21,20,Ella,21,20,Ella,21,Bern / Berne,Bern,Berne,Bern,Berna
20,Laura,21,20,Laura,21,20,Laura,21,Bern / Berne,Bern,Berne,Bern,Berna
23,Lea,20,23,Lea,20,23,Lea,20,Bern / Berne,Bern,Berne,Bern,Berna
23,Aurora,20,23,Aurora,20,23,Aurora,20,Bern / Berne,Bern,Berne,Bern,Berna
23,Elea,20,23,Elea,20,23,Elea,20,Bern / Berne,Bern,Berne,Bern,Berna
26,Lena,19,26,Lena,19,26,Lena,19,Bern / Berne,Bern,Berne,Bern,Berna
26,Ava,19,26,Ava,19,26,Ava,19,Bern / Berne,Bern,Berne,Bern,Berna
26,Livia,19,26,Livia,19,26,Livia,19,Bern / Berne,Bern,Berne,Bern,Berna
26,Amaya,19,26,Amaya,19,26,Amaya,19,Bern / Berne,Bern,Berne,Bern,Berna
26,Julie,19,26,Julie,19,26,Julie,19,Bern / Berne,Bern,Berne,Bern,Berna
31,Nina,18,31,Nina,18,31,Nina,18,Bern / Berne,Bern,Berne,Bern,Berna
31,Giulia,18,31,Giulia,18,31,Giulia,18,Bern / Berne,Bern,Berne,Bern,Berna
31,Mira,18,31,Mira,18,31,Mira,18,Bern / Berne,Bern,Berne,Bern,Berna
31,Leana,18,31,Leana,18,31,Leana,18,Bern / Berne,Bern,Berne,Bern,Berna
31,Malou,18,31,Malou,18,31,Malou,18,Bern / Berne,Bern,Berne,Bern,Berna
36,Nora,17,36,Nora,17,36,Nora,17,Bern / Berne,Bern,Berne,Bern,Berna
36,Luana,17,36,Luana,17,36,Luana,17,Bern / Berne,Bern,Berne,Bern,Berna
36,Aria,17,36,Aria,17,36,Aria,17,Bern / Berne,Bern,Berne,Bern,Berna
36,Dua,17,36,Dua,17,36,Dua,17,Bern / Berne,Bern,Berne,Bern,Berna
36,Jana,17,36,Jana,17,36,Jana,17,Bern / Berne,Bern,Berne,Bern,Berna
41,Anna,16,41,Anna,16,41,Anna,16,Bern / Berne,Bern,Berne,Bern,Berna
41,Alea,16,41,Alea,16,41,Alea,16,Bern / Berne,Bern,Berne,Bern,Berna
41,Emily,16,41,Emily,16,41,Emily,16,Bern / Berne,Bern,Berne,Bern,Berna
41,Luisa,16,41,Luisa,16,41,Luisa,16,Bern / Berne,Bern,Berne,Bern,Berna
41,Fiona,16,41,Fiona,16,41,Fiona,16,Bern / Berne,Bern,Berne,Bern,Berna
41,Hanna,16,41,Hanna,16,41,Hanna,16,Bern / Berne,Bern,Berne,Bern,Berna
41,Ronja,16,41,Ronja,16,41,Ronja,16,Bern / Berne,Bern,Berne,Bern,Berna
41,Ellie,16,41,Ellie,16,41,Ellie,16,Bern / Berne,Bern,Berne,Bern,Berna
49,Eva,15,49,Eva,15,49,Eva,15,Bern / Berne,Bern,Berne,Bern,Berna
49,Helena,15,49,Helena,15,49,Helena,15,Bern / Berne,Bern,Berne,Bern,Berna
51,Olivia,14,51,Olivia,14,51,Olivia,14,Bern / Berne,Bern,Berne,Bern,Berna
51,Lara,14,51,Lara,14,51,Lara,14,Bern / Berne,Bern,Berne,Bern,Berna
51,Valentina,14,51,Valentina,14,51,Valentina,14,Bern / Berne,Bern,Berne,Bern,Berna
51,Julia,14,51,Julia,14,51,Julia,14,Bern / Berne,Bern,Berne,Bern,Berna
51,Elisa,14,51,Elisa,14,51,Elisa,14,Bern / Berne,Bern,Berne,Bern,Berna
51,Zoe,14,51,Zoe,14,51,Zoe,14,Bern / Berne,Bern,Berne,Bern,Berna
51,Liv,14,51,Liv,14,51,Liv,14,Bern / Berne,Bern,Berne,Bern,Berna
51,Zoé,14,51,Zoé,14,51,Zoé,14,Bern / Berne,Bern,Berne,Bern,Berna
59,Inaya,13,59,Inaya,13,59,Inaya,13,Bern / Berne,Bern,Berne,Bern,Berna
59,Ayla,13,59,Ayla,13,59,Ayla,13,Bern / Berne,Bern,Berne,Bern,Berna
59,Maya,13,59,Maya,13,59,Maya,13,Bern / Berne,Bern,Berne,Bern,Berna
59,Lynn,13,59,Lynn,13,59,Lynn,13,Bern / Berne,Bern,Berne,Bern,Berna
59,Alva,13,59,Alva,13,59,Alva,13,Bern / Berne,Bern,Berne,Bern,Berna
64,Chiara,12,64,Chiara,12,64,Chiara,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Maria,12,64,Maria,12,64,Maria,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Sara,12,64,Sara,12,64,Sara,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Melina,12,64,Melina,12,64,Melina,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Arya,12,64,Arya,12,64,Arya,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Lisa,12,64,Lisa,12,64,Lisa,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Amina,12,64,Amina,12,64,Amina,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Amira,12,64,Amira,12,64,Amira,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Eline,12,64,Eline,12,64,Eline,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Jael,12,64,Jael,12,64,Jael,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Aylin,12,64,Aylin,12,64,Aylin,12,Bern / Berne,Bern,Berne,Bern,Berna
64,Yael,12,64,Yael,12,64,Yael,12,Bern / Berne,Bern,Berne,Bern,Berna
76,Alice,11,76,Alice,11,76,Alice,11,Bern / Berne,Bern,Berne,Bern,Berna
76,Sophie,11,76,Sophie,11,76,Sophie,11,Bern / Berne,Bern,Berne,Bern,Berna
76,Amélie,11,76,Amélie,11,76,Amélie,11,Bern / Berne,Bern,Berne,Bern,Berna
76,Mayla,11,76,Mayla,11,76,Mayla,11,Bern / Berne,Bern,Berne,Bern,Berna
76,Anouk,11,76,Anouk,11,76,Anouk,11,Bern / Berne,Bern,Berne,Bern,Berna
76,Leni,11,76,Leni,11,76,Leni,11,Bern / Berne,Bern,Berne,Bern,Berna
82,Amelie,10,82,Amelie,10,82,Amelie,10,Bern / Berne,Bern,Berne,Bern,Berna
82,Noelia,10,82,Noelia,10,82,Noelia,10,Bern / Berne,Bern,Berne,Bern,Berna
82,Paula,10,82,Paula,10,82,Paula,10,Bern / Berne,Bern,Berne,Bern,Berna
