Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Elena,14,1,Elena,14,1,Elena,14,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
2,Sofia,13,2,Sofia,13,2,Sofia,13,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
2,Emilia,13,2,Emilia,13,2,Emilia,13,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
4,Lena,10,4,Lena,10,4,Lena,10,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
5,Mia,8,5,Mia,8,5,Mia,8,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
5,Emma,8,5,Emma,8,5,Emma,8,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
5,Lina,8,5,Lina,8,5,Lina,8,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
5,Elina,8,5,Elina,8,5,Elina,8,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
5,Yuna,8,5,Yuna,8,5,Yuna,8,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
10,Anna,7,10,Anna,7,10,Anna,7,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
10,Ayla,7,10,Ayla,7,10,Ayla,7,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Lia,6,12,Lia,6,12,Lia,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Mila,6,12,Mila,6,12,Mila,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Ella,6,12,Ella,6,12,Ella,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Lara,6,12,Lara,6,12,Lara,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Luna,6,12,Luna,6,12,Luna,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Lea,6,12,Lea,6,12,Lea,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Malea,6,12,Malea,6,12,Malea,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Sophia,6,12,Sophia,6,12,Sophia,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Valentina,6,12,Valentina,6,12,Valentina,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Aurora,6,12,Aurora,6,12,Aurora,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Luana,6,12,Luana,6,12,Luana,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Leana,6,12,Leana,6,12,Leana,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
12,Luisa,6,12,Luisa,6,12,Luisa,6,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
25,Nora,5,25,Nora,5,25,Nora,5,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
25,Chiara,5,25,Chiara,5,25,Chiara,5,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
25,Elin,5,25,Elin,5,25,Elin,5,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
25,Julia,5,25,Julia,5,25,Julia,5,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
25,Emily,5,25,Emily,5,25,Emily,5,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
