Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Sofia,11,1,Sofia,11,1,Sofia,11,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
2,Emma,10,2,Emma,10,2,Emma,10,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
2,Olivia,10,2,Olivia,10,2,Olivia,10,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
4,Ava,9,4,Ava,9,4,Ava,9,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
5,Mila,7,5,Mila,7,5,Mila,7,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
6,Emilia,6,6,Emilia,6,6,Emilia,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
6,Amelia,6,6,Amelia,6,6,Amelia,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
6,Ella,6,6,Ella,6,6,Ella,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
6,Amélie,6,6,Amélie,6,6,Amélie,6,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Luna,5,10,Luna,5,10,Luna,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Sophia,5,10,Sophia,5,10,Sophia,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Anna,5,10,Anna,5,10,Anna,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Lara,5,10,Lara,5,10,Lara,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Julia,5,10,Julia,5,10,Julia,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Liv,5,10,Liv,5,10,Liv,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Hanna,5,10,Hanna,5,10,Hanna,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Lynn,5,10,Lynn,5,10,Lynn,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Ela,5,10,Ela,5,10,Ela,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Ida,5,10,Ida,5,10,Ida,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
10,Josephine,5,10,Josephine,5,10,Josephine,5,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Mia,4,21,Mia,4,21,Mia,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Lina,4,21,Lina,4,21,Lina,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Nina,4,21,Nina,4,21,Nina,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Elin,4,21,Elin,4,21,Elin,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Ayla,4,21,Ayla,4,21,Ayla,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Sophie,4,21,Sophie,4,21,Sophie,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Zoe,4,21,Zoe,4,21,Zoe,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Hana,4,21,Hana,4,21,Hana,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Maya,4,21,Maya,4,21,Maya,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Yuna,4,21,Yuna,4,21,Yuna,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Fiona,4,21,Fiona,4,21,Fiona,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Ellie,4,21,Ellie,4,21,Ellie,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Helena,4,21,Helena,4,21,Helena,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Paula,4,21,Paula,4,21,Paula,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Cleo,4,21,Cleo,4,21,Cleo,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
21,Selma,4,21,Selma,4,21,Selma,4,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Elena,3,37,Elena,3,37,Elena,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Nora,3,37,Nora,3,37,Nora,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Lia,3,37,Lia,3,37,Lia,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Lea,3,37,Lea,3,37,Lea,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Aurora,3,37,Aurora,3,37,Aurora,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Chiara,3,37,Chiara,3,37,Chiara,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Yara,3,37,Yara,3,37,Yara,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Eva,3,37,Eva,3,37,Eva,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Valentina,3,37,Valentina,3,37,Valentina,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Dua,3,37,Dua,3,37,Dua,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Sara,3,37,Sara,3,37,Sara,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Alma,3,37,Alma,3,37,Alma,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Mara,3,37,Mara,3,37,Mara,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Clara,3,37,Clara,3,37,Clara,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Louise,3,37,Louise,3,37,Louise,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Charlotte,3,37,Charlotte,3,37,Charlotte,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
37,Iris,3,37,Iris,3,37,Iris,3,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
