Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Emma,28,1,Emma,28,1,Emma,28,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
2,Maria,16,2,Maria,16,2,Maria,16,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
3,Olivia,15,3,Olivia,15,3,Olivia,15,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
4,Mia,14,4,Mia,14,4,Mia,14,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
4,Jade,14,4,Jade,14,4,Jade,14,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
6,Louise,12,6,Louise,12,6,Louise,12,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
6,Iris,12,6,Iris,12,6,Iris,12,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
8,Lina,11,8,Lina,11,8,Lina,11,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
8,Adèle,11,8,Adèle,11,8,Adèle,11,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Sofia,10,10,Sofia,10,10,Sofia,10,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Nora,10,10,Nora,10,10,Nora,10,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Eva,10,10,Eva,10,10,Eva,10,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Julia,10,10,Julia,10,10,Julia,10,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
10,Agathe,10,10,Agathe,10,10,Agathe,10,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
15,Elena,9,15,Elena,9,15,Elena,9,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
15,Livia,9,15,Livia,9,15,Livia,9,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
15,Victoria,9,15,Victoria,9,15,Victoria,9,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
15,Kiara,9,15,Kiara,9,15,Kiara,9,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
15,Mathilde,9,15,Mathilde,9,15,Mathilde,9,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
15,Romane,9,15,Romane,9,15,Romane,9,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Mila,8,21,Mila,8,21,Mila,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Alice,8,21,Alice,8,21,Alice,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Giulia,8,21,Giulia,8,21,Giulia,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Valentina,8,21,Valentina,8,21,Valentina,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Alba,8,21,Alba,8,21,Alba,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Charlotte,8,21,Charlotte,8,21,Charlotte,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Chloé,8,21,Chloé,8,21,Chloé,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Alya,8,21,Alya,8,21,Alya,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
21,Ambre,8,21,Ambre,8,21,Ambre,8,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Luna,7,30,Luna,7,30,Luna,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Malea,7,30,Malea,7,30,Malea,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Ava,7,30,Ava,7,30,Ava,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Alma,7,30,Alma,7,30,Alma,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Zoé,7,30,Zoé,7,30,Zoé,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Lou,7,30,Lou,7,30,Lou,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Rose,7,30,Rose,7,30,Rose,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Camille,7,30,Camille,7,30,Camille,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
30,Lucie,7,30,Lucie,7,30,Lucie,7,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Yara,6,39,Yara,6,39,Yara,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Ellie,6,39,Ellie,6,39,Ellie,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Alicia,6,39,Alicia,6,39,Alicia,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Leonor,6,39,Leonor,6,39,Leonor,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Elise,6,39,Elise,6,39,Elise,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Juliette,6,39,Juliette,6,39,Juliette,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Alix,6,39,Alix,6,39,Alix,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Léna,6,39,Léna,6,39,Léna,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
39,Charline,6,39,Charline,6,39,Charline,6,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Emilia,5,48,Emilia,5,48,Emilia,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Lia,5,48,Lia,5,48,Lia,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Lara,5,48,Lara,5,48,Lara,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Aria,5,48,Aria,5,48,Aria,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Inaya,5,48,Inaya,5,48,Inaya,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Sara,5,48,Sara,5,48,Sara,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Elisa,5,48,Elisa,5,48,Elisa,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Maya,5,48,Maya,5,48,Maya,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Clara,5,48,Clara,5,48,Clara,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Lynn,5,48,Lynn,5,48,Lynn,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Camila,5,48,Camila,5,48,Camila,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Aya,5,48,Aya,5,48,Aya,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Anaïs,5,48,Anaïs,5,48,Anaïs,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Léonie,5,48,Léonie,5,48,Léonie,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
48,Héloïse,5,48,Héloïse,5,48,Héloïse,5,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Alina,4,63,Alina,4,63,Alina,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Amelia,4,63,Amelia,4,63,Amelia,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Sophia,4,63,Sophia,4,63,Sophia,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Anna,4,63,Anna,4,63,Anna,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Aurora,4,63,Aurora,4,63,Aurora,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Lena,4,63,Lena,4,63,Lena,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Laura,4,63,Laura,4,63,Laura,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Sophie,4,63,Sophie,4,63,Sophie,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Hana,4,63,Hana,4,63,Hana,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Liv,4,63,Liv,4,63,Liv,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Luisa,4,63,Luisa,4,63,Luisa,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Amélie,4,63,Amélie,4,63,Amélie,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Anouk,4,63,Anouk,4,63,Anouk,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Liara,4,63,Liara,4,63,Liara,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Julie,4,63,Julie,4,63,Julie,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Ela,4,63,Ela,4,63,Ela,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Matilde,4,63,Matilde,4,63,Matilde,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Léa,4,63,Léa,4,63,Léa,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Leyla,4,63,Leyla,4,63,Leyla,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Louisa,4,63,Louisa,4,63,Louisa,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Inara,4,63,Inara,4,63,Inara,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Serena,4,63,Serena,4,63,Serena,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Maëlle,4,63,Maëlle,4,63,Maëlle,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Margaux,4,63,Margaux,4,63,Margaux,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Alyssa,4,63,Alyssa,4,63,Alyssa,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Amélia,4,63,Amélia,4,63,Amélia,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Amra,4,63,Amra,4,63,Amra,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Benedita,4,63,Benedita,4,63,Benedita,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Claire,4,63,Claire,4,63,Claire,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Clémence,4,63,Clémence,4,63,Clémence,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
63,Ludivine,4,63,Ludivine,4,63,Ludivine,4,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
94,Elina,3,94,Elina,3,94,Elina,3,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
94,Nina,3,94,Nina,3,94,Nina,3,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
94,Chiara,3,94,Chiara,3,94,Chiara,3,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
94,Leonie,3,94,Leonie,3,94,Leonie,3,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
94,Luana,3,94,Luana,3,94,Luana,3,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
94,Malia,3,94,Malia,3,94,Malia,3,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
94,Alea,3,94,Alea,3,94,Alea,3,Fribourg / Freiburg,Fribourg,Fribourg,Freiburg,Friburgo
