Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Emma,25,1,Emma,25,1,Emma,25,Genève,Genève,Genève,Genf,Ginevra
2,Olivia,22,2,Olivia,22,2,Olivia,22,Genève,Genève,Genève,Genf,Ginevra
2,Rose,22,2,Rose,22,2,Rose,22,Genève,Genève,Genève,Genf,Ginevra
4,Luna,18,4,Luna,18,4,Luna,18,Genève,Genève,Genève,Genf,Ginevra
4,Alice,18,4,Alice,18,4,Alice,18,Genève,Genève,Genève,Genf,Ginevra
4,Alma,18,4,Alma,18,4,Alma,18,Genève,Genève,Genève,Genf,Ginevra
4,Victoria,18,4,Victoria,18,4,Victoria,18,Genève,Genève,Genève,Genf,Ginevra
8,Inaya,16,8,Inaya,16,8,Inaya,16,Genève,Genève,Genève,Genf,Ginevra
8,Louise,16,8,Louise,16,8,Louise,16,Genève,Genève,Genève,Genf,Ginevra
10,Elena,15,10,Elena,15,10,Elena,15,Genève,Genève,Genève,Genf,Ginevra
11,Sofia,14,11,Sofia,14,11,Sofia,14,Genève,Genève,Genève,Genf,Ginevra
11,Chiara,14,11,Chiara,14,11,Chiara,14,Genève,Genève,Genève,Genf,Ginevra
11,Alba,14,11,Alba,14,11,Alba,14,Genève,Genève,Genève,Genf,Ginevra
14,Lina,13,14,Lina,13,14,Lina,13,Genève,Genève,Genève,Genf,Ginevra
14,Nora,13,14,Nora,13,14,Nora,13,Genève,Genève,Genève,Genf,Ginevra
14,Eva,13,14,Eva,13,14,Eva,13,Genève,Genève,Genève,Genf,Ginevra
17,Mila,12,17,Mila,12,17,Mila,12,Genève,Genève,Genève,Genf,Ginevra
17,Amelia,12,17,Amelia,12,17,Amelia,12,Genève,Genève,Genève,Genf,Ginevra
17,Ella,12,17,Ella,12,17,Ella,12,Genève,Genève,Genève,Genf,Ginevra
17,Giulia,12,17,Giulia,12,17,Giulia,12,Genève,Genève,Genève,Genf,Ginevra
17,Valentina,12,17,Valentina,12,17,Valentina,12,Genève,Genève,Genève,Genf,Ginevra
