Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Malea,4,1,Malea,4,1,Malea,4,Glarus,Glarus,Glaris,Glarus,Glarona
2,Lia,3,2,Lia,3,2,Lia,3,Glarus,Glarus,Glaris,Glarus,Glarona
2,Lea,3,2,Lea,3,2,Lea,3,Glarus,Glarus,Glaris,Glarus,Glarona
4,Mia,2,4,Mia,2,4,Mia,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Emma,2,4,Emma,2,4,Emma,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Sofia,2,4,Sofia,2,4,Sofia,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Lina,2,4,Lina,2,4,Lina,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Alina,2,4,Alina,2,4,Alina,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Leana,2,4,Leana,2,4,Leana,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Ronja,2,4,Ronja,2,4,Ronja,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Alicia,2,4,Alicia,2,4,Alicia,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Lisa,2,4,Lisa,2,4,Lisa,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Nayla,2,4,Nayla,2,4,Nayla,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Mina,2,4,Mina,2,4,Mina,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Finja,2,4,Finja,2,4,Finja,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Bora,2,4,Bora,2,4,Bora,2,Glarus,Glarus,Glaris,Glarus,Glarona
4,Larina,2,4,Larina,2,4,Larina,2,Glarus,Glarus,Glaris,Glarus,Glarona
18,Emilia,1,18,Emilia,1,18,Emilia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Olivia,1,18,Olivia,1,18,Olivia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Nora,1,18,Nora,1,18,Nora,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Mila,1,18,Mila,1,18,Mila,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Ella,1,18,Ella,1,18,Ella,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Luna,1,18,Luna,1,18,Luna,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Alice,1,18,Alice,1,18,Alice,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Yara,1,18,Yara,1,18,Yara,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Leonie,1,18,Leonie,1,18,Leonie,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Aurora,1,18,Aurora,1,18,Aurora,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Giulia,1,18,Giulia,1,18,Giulia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Elin,1,18,Elin,1,18,Elin,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Amelia,1,18,Amelia,1,18,Amelia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Emily,1,18,Emily,1,18,Emily,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Livia,1,18,Livia,1,18,Livia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Luana,1,18,Luana,1,18,Luana,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Yuna,1,18,Yuna,1,18,Yuna,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Clara,1,18,Clara,1,18,Clara,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Noemi,1,18,Noemi,1,18,Noemi,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Luisa,1,18,Luisa,1,18,Luisa,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Zoe,1,18,Zoe,1,18,Zoe,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Amélie,1,18,Amélie,1,18,Amélie,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Alessia,1,18,Alessia,1,18,Alessia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Amelie,1,18,Amelie,1,18,Amelie,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Lorena,1,18,Lorena,1,18,Lorena,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Maya,1,18,Maya,1,18,Maya,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Liv,1,18,Liv,1,18,Liv,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Aria,1,18,Aria,1,18,Aria,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Ariana,1,18,Ariana,1,18,Ariana,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Arya,1,18,Arya,1,18,Arya,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Amina,1,18,Amina,1,18,Amina,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Aurelia,1,18,Aurelia,1,18,Aurelia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Valeria,1,18,Valeria,1,18,Valeria,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Ela,1,18,Ela,1,18,Ela,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Sarah,1,18,Sarah,1,18,Sarah,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Anouk,1,18,Anouk,1,18,Anouk,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Isabella,1,18,Isabella,1,18,Isabella,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Klea,1,18,Klea,1,18,Klea,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Freya,1,18,Freya,1,18,Freya,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Ana,1,18,Ana,1,18,Ana,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Selina,1,18,Selina,1,18,Selina,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Aylin,1,18,Aylin,1,18,Aylin,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Inara,1,18,Inara,1,18,Inara,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Johanna,1,18,Johanna,1,18,Johanna,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Marie,1,18,Marie,1,18,Marie,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Matilda,1,18,Matilda,1,18,Matilda,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Sina,1,18,Sina,1,18,Sina,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Leya,1,18,Leya,1,18,Leya,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Vera,1,18,Vera,1,18,Vera,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Eleonora,1,18,Eleonora,1,18,Eleonora,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Aliya,1,18,Aliya,1,18,Aliya,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Lucy,1,18,Lucy,1,18,Lucy,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Daria,1,18,Daria,1,18,Daria,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Amanda,1,18,Amanda,1,18,Amanda,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Camila,1,18,Camila,1,18,Camila,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Serena,1,18,Serena,1,18,Serena,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Ajla,1,18,Ajla,1,18,Ajla,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Ilaria,1,18,Ilaria,1,18,Ilaria,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Alva,1,18,Alva,1,18,Alva,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Enola,1,18,Enola,1,18,Enola,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Antonia,1,18,Antonia,1,18,Antonia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Nicole,1,18,Nicole,1,18,Nicole,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Flavia,1,18,Flavia,1,18,Flavia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Isabelle,1,18,Isabelle,1,18,Isabelle,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Alisha,1,18,Alisha,1,18,Alisha,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Elif,1,18,Elif,1,18,Elif,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Flurina,1,18,Flurina,1,18,Flurina,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Abigail,1,18,Abigail,1,18,Abigail,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Adea,1,18,Adea,1,18,Adea,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Lydia,1,18,Lydia,1,18,Lydia,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Nerea,1,18,Nerea,1,18,Nerea,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Tenzin,1,18,Tenzin,1,18,Tenzin,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Anika,1,18,Anika,1,18,Anika,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Seraina,1,18,Seraina,1,18,Seraina,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Valea,1,18,Valea,1,18,Valea,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Aileen,1,18,Aileen,1,18,Aileen,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Jonna,1,18,Jonna,1,18,Jonna,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Simona,1,18,Simona,1,18,Simona,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Nejla,1,18,Nejla,1,18,Nejla,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Melaher,1,18,Melaher,1,18,Melaher,1,Glarus,Glarus,Glaris,Glarus,Glarona
18,Andrra,1,18,Andrra,1,18,Andrra,1,Glarus,Glarus,Glaris,Glarus,Glarona
