Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Elin,13,1,Elin,13,1,Elin,13,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
2,Mia,10,2,Mia,10,2,Mia,10,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
3,Sofia,8,3,Sofia,8,3,Sofia,8,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
3,Elena,8,3,Elena,8,3,Elena,8,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
3,Gianna,8,3,Gianna,8,3,Gianna,8,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
6,Emilia,7,6,Emilia,7,6,Emilia,7,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
6,Valentina,7,6,Valentina,7,6,Valentina,7,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
6,Elina,7,6,Elina,7,6,Elina,7,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
6,Chiara,7,6,Chiara,7,6,Chiara,7,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
6,Maria,7,6,Maria,7,6,Maria,7,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
11,Anna,6,11,Anna,6,11,Anna,6,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
11,Nina,6,11,Nina,6,11,Nina,6,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
11,Aurora,6,11,Aurora,6,11,Aurora,6,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
11,Alea,6,11,Alea,6,11,Alea,6,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
11,Leana,6,11,Leana,6,11,Leana,6,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
11,Zoe,6,11,Zoe,6,11,Zoe,6,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
11,Ladina,6,11,Ladina,6,11,Ladina,6,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
18,Lia,5,18,Lia,5,18,Lia,5,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
18,Alice,5,18,Alice,5,18,Alice,5,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
18,Yara,5,18,Yara,5,18,Yara,5,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
18,Luana,5,18,Luana,5,18,Luana,5,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
18,Mara,5,18,Mara,5,18,Mara,5,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Lina,4,23,Lina,4,23,Lina,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Ella,4,23,Ella,4,23,Ella,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Lea,4,23,Lea,4,23,Lea,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Leonie,4,23,Leonie,4,23,Leonie,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Jana,4,23,Jana,4,23,Jana,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Amelie,4,23,Amelie,4,23,Amelie,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Naomi,4,23,Naomi,4,23,Naomi,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Amalia,4,23,Amalia,4,23,Amalia,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Aurelia,4,23,Aurelia,4,23,Aurelia,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Enya,4,23,Enya,4,23,Enya,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Chloe,4,23,Chloe,4,23,Chloe,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
23,Yasmin,4,23,Yasmin,4,23,Yasmin,4,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Nora,3,35,Nora,3,35,Nora,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Mila,3,35,Mila,3,35,Mila,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Lara,3,35,Lara,3,35,Lara,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Lena,3,35,Lena,3,35,Lena,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Alina,3,35,Alina,3,35,Alina,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Sophie,3,35,Sophie,3,35,Sophie,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Alma,3,35,Alma,3,35,Alma,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Dua,3,35,Dua,3,35,Dua,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Noemi,3,35,Noemi,3,35,Noemi,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Melina,3,35,Melina,3,35,Melina,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Fiona,3,35,Fiona,3,35,Fiona,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Amira,3,35,Amira,3,35,Amira,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Melissa,3,35,Melissa,3,35,Melissa,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Jara,3,35,Jara,3,35,Jara,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Anouk,3,35,Anouk,3,35,Anouk,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Matilde,3,35,Matilde,3,35,Matilde,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Selina,3,35,Selina,3,35,Selina,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Gioia,3,35,Gioia,3,35,Gioia,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Marina,3,35,Marina,3,35,Marina,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Leia,3,35,Leia,3,35,Leia,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Nia,3,35,Nia,3,35,Nia,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Flurina,3,35,Flurina,3,35,Flurina,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Kaia,3,35,Kaia,3,35,Kaia,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Lili,3,35,Lili,3,35,Lili,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Linn,3,35,Linn,3,35,Linn,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
35,Madlaina,3,35,Madlaina,3,35,Madlaina,3,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Emma,2,61,Emma,2,61,Emma,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Olivia,2,61,Olivia,2,61,Olivia,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Luna,2,61,Luna,2,61,Luna,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Malea,2,61,Malea,2,61,Malea,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Sophia,2,61,Sophia,2,61,Sophia,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Julia,2,61,Julia,2,61,Julia,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Laura,2,61,Laura,2,61,Laura,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Amelia,2,61,Amelia,2,61,Amelia,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Livia,2,61,Livia,2,61,Livia,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
61,Zoé,2,61,Zoé,2,61,Zoé,2,Graubünden / Grigioni / Grischun,Graubünden,Grisons,Graubünden,Grigioni
