Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Emma,6,1,Emma,6,1,Emma,6,Jura,Jura,Jura,Jura,Giura
2,Eva,4,2,Eva,4,2,Eva,4,Jura,Jura,Jura,Jura,Giura
2,Alicia,4,2,Alicia,4,2,Alicia,4,Jura,Jura,Jura,Jura,Giura
4,Mia,3,4,Mia,3,4,Mia,3,Jura,Jura,Jura,Jura,Giura
4,Sofia,3,4,Sofia,3,4,Sofia,3,Jura,Jura,Jura,Jura,Giura
4,Olivia,3,4,Olivia,3,4,Olivia,3,Jura,Jura,Jura,Jura,Giura
4,Luna,3,4,Luna,3,4,Luna,3,Jura,Jura,Jura,Jura,Giura
4,Ella,3,4,Ella,3,4,Ella,3,Jura,Jura,Jura,Jura,Giura
4,Alice,3,4,Alice,3,4,Alice,3,Jura,Jura,Jura,Jura,Giura
4,Aria,3,4,Aria,3,4,Aria,3,Jura,Jura,Jura,Jura,Giura
4,Diana,3,4,Diana,3,4,Diana,3,Jura,Jura,Jura,Jura,Giura
4,Rose,3,4,Rose,3,4,Rose,3,Jura,Jura,Jura,Jura,Giura
4,Eliana,3,4,Eliana,3,4,Eliana,3,Jura,Jura,Jura,Jura,Giura
4,Lya,3,4,Lya,3,4,Lya,3,Jura,Jura,Jura,Jura,Giura
15,Emilia,2,15,Emilia,2,15,Emilia,2,Jura,Jura,Jura,Jura,Giura
15,Lina,2,15,Lina,2,15,Lina,2,Jura,Jura,Jura,Jura,Giura
15,Nora,2,15,Nora,2,15,Nora,2,Jura,Jura,Jura,Jura,Giura
15,Sophia,2,15,Sophia,2,15,Sophia,2,Jura,Jura,Jura,Jura,Giura
15,Dua,2,15,Dua,2,15,Dua,2,Jura,Jura,Jura,Jura,Giura
15,Ayla,2,15,Ayla,2,15,Ayla,2,Jura,Jura,Jura,Jura,Giura
15,Alba,2,15,Alba,2,15,Alba,2,Jura,Jura,Jura,Jura,Giura
15,Clara,2,15,Clara,2,15,Clara,2,Jura,Jura,Jura,Jura,Giura
