Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Mia,26,1,Mia,26,1,Mia,26,Luzern,Luzern,Lucerne,Luzern,Lucerna
2,Emilia,24,2,Emilia,24,2,Emilia,24,Luzern,Luzern,Lucerne,Luzern,Lucerna
3,Lia,22,3,Lia,22,3,Lia,22,Luzern,Luzern,Lucerne,Luzern,Lucerna
4,Ella,21,4,Ella,21,4,Ella,21,Luzern,Luzern,Lucerne,Luzern,Lucerna
4,Lena,21,4,Lena,21,4,Lena,21,Luzern,Luzern,Lucerne,Luzern,Lucerna
6,Sofia,18,6,Sofia,18,6,Sofia,18,Luzern,Luzern,Lucerne,Luzern,Lucerna
6,Leonie,18,6,Leonie,18,6,Leonie,18,Luzern,Luzern,Lucerne,Luzern,Lucerna
8,Lina,17,8,Lina,17,8,Lina,17,Luzern,Luzern,Lucerne,Luzern,Lucerna
8,Lea,17,8,Lea,17,8,Lea,17,Luzern,Luzern,Lucerne,Luzern,Lucerna
8,Malea,17,8,Malea,17,8,Malea,17,Luzern,Luzern,Lucerne,Luzern,Lucerna
11,Elin,16,11,Elin,16,11,Elin,16,Luzern,Luzern,Lucerne,Luzern,Lucerna
12,Yara,14,12,Yara,14,12,Yara,14,Luzern,Luzern,Lucerne,Luzern,Lucerna
12,Nina,14,12,Nina,14,12,Nina,14,Luzern,Luzern,Lucerne,Luzern,Lucerna
12,Jana,14,12,Jana,14,12,Jana,14,Luzern,Luzern,Lucerne,Luzern,Lucerna
15,Elena,13,15,Elena,13,15,Elena,13,Luzern,Luzern,Lucerne,Luzern,Lucerna
15,Sophia,13,15,Sophia,13,15,Sophia,13,Luzern,Luzern,Lucerne,Luzern,Lucerna
15,Alina,13,15,Alina,13,15,Alina,13,Luzern,Luzern,Lucerne,Luzern,Lucerna
15,Laura,13,15,Laura,13,15,Laura,13,Luzern,Luzern,Lucerne,Luzern,Lucerna
19,Emma,12,19,Emma,12,19,Emma,12,Luzern,Luzern,Lucerne,Luzern,Lucerna
19,Mila,12,19,Mila,12,19,Mila,12,Luzern,Luzern,Lucerne,Luzern,Lucerna
21,Nora,11,21,Nora,11,21,Nora,11,Luzern,Luzern,Lucerne,Luzern,Lucerna
21,Luna,11,21,Luna,11,21,Luna,11,Luzern,Luzern,Lucerne,Luzern,Lucerna
21,Valentina,11,21,Valentina,11,21,Valentina,11,Luzern,Luzern,Lucerne,Luzern,Lucerna
21,Emily,11,21,Emily,11,21,Emily,11,Luzern,Luzern,Lucerne,Luzern,Lucerna
25,Luana,10,25,Luana,10,25,Luana,10,Luzern,Luzern,Lucerne,Luzern,Lucerna
25,Elisa,10,25,Elisa,10,25,Elisa,10,Luzern,Luzern,Lucerne,Luzern,Lucerna
25,Malia,10,25,Malia,10,25,Malia,10,Luzern,Luzern,Lucerne,Luzern,Lucerna
25,Liana,10,25,Liana,10,25,Liana,10,Luzern,Luzern,Lucerne,Luzern,Lucerna
25,Alea,10,25,Alea,10,25,Alea,10,Luzern,Luzern,Lucerne,Luzern,Lucerna
25,Luisa,10,25,Luisa,10,25,Luisa,10,Luzern,Luzern,Lucerne,Luzern,Lucerna
25,Hanna,10,25,Hanna,10,25,Hanna,10,Luzern,Luzern,Lucerne,Luzern,Lucerna
32,Lara,9,32,Lara,9,32,Lara,9,Luzern,Luzern,Lucerne,Luzern,Lucerna
32,Anna,9,32,Anna,9,32,Anna,9,Luzern,Luzern,Lucerne,Luzern,Lucerna
32,Juna,9,32,Juna,9,32,Juna,9,Luzern,Luzern,Lucerne,Luzern,Lucerna
32,Mara,9,32,Mara,9,32,Mara,9,Luzern,Luzern,Lucerne,Luzern,Lucerna
32,Hana,9,32,Hana,9,32,Hana,9,Luzern,Luzern,Lucerne,Luzern,Lucerna
32,Lynn,9,32,Lynn,9,32,Lynn,9,Luzern,Luzern,Lucerne,Luzern,Lucerna
32,Amira,9,32,Amira,9,32,Amira,9,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Olivia,8,39,Olivia,8,39,Olivia,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Giulia,8,39,Giulia,8,39,Giulia,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Julia,8,39,Julia,8,39,Julia,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Amelia,8,39,Amelia,8,39,Amelia,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Yuna,8,39,Yuna,8,39,Yuna,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Noemi,8,39,Noemi,8,39,Noemi,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Fiona,8,39,Fiona,8,39,Fiona,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Alessia,8,39,Alessia,8,39,Alessia,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Amaya,8,39,Amaya,8,39,Amaya,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Enya,8,39,Enya,8,39,Enya,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Anouk,8,39,Anouk,8,39,Anouk,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
39,Maja,8,39,Maja,8,39,Maja,8,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Elina,7,51,Elina,7,51,Elina,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Aurora,7,51,Aurora,7,51,Aurora,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Livia,7,51,Livia,7,51,Livia,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Ariana,7,51,Ariana,7,51,Ariana,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Ida,7,51,Ida,7,51,Ida,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Jara,7,51,Jara,7,51,Jara,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Klea,7,51,Klea,7,51,Klea,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Louisa,7,51,Louisa,7,51,Louisa,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Selina,7,51,Selina,7,51,Selina,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
51,Yael,7,51,Yael,7,51,Yael,7,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Chiara,6,61,Chiara,6,61,Chiara,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Sophie,6,61,Sophie,6,61,Sophie,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Maria,6,61,Maria,6,61,Maria,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Sara,6,61,Sara,6,61,Sara,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Ayla,6,61,Ayla,6,61,Ayla,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Mira,6,61,Mira,6,61,Mira,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Leana,6,61,Leana,6,61,Leana,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Melina,6,61,Melina,6,61,Melina,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Amelie,6,61,Amelie,6,61,Amelie,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Noelia,6,61,Noelia,6,61,Noelia,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Melissa,6,61,Melissa,6,61,Melissa,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Aria,6,61,Aria,6,61,Aria,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Kiara,6,61,Kiara,6,61,Kiara,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Aurelia,6,61,Aurelia,6,61,Aurelia,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Paula,6,61,Paula,6,61,Paula,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Linda,6,61,Linda,6,61,Linda,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Jael,6,61,Jael,6,61,Jael,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Lilly,6,61,Lilly,6,61,Lilly,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Liara,6,61,Liara,6,61,Liara,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Thea,6,61,Thea,6,61,Thea,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
61,Lana,6,61,Lana,6,61,Lana,6,Luzern,Luzern,Lucerne,Luzern,Lucerna
82,Inaya,5,82,Inaya,5,82,Inaya,5,Luzern,Luzern,Lucerne,Luzern,Lucerna
82,Ava,5,82,Ava,5,82,Ava,5,Luzern,Luzern,Lucerne,Luzern,Lucerna
