Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale,Canton,key_cant,canton,kanton,cantone
1,Alba,9,1,Alba,9,1,Alba,9,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
2,Alma,8,2,Alma,8,2,Alma,8,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
3,Mia,7,3,Mia,7,3,Mia,7,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
3,Luna,7,3,Luna,7,3,Luna,7,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
3,Mathilde,7,3,Mathilde,7,3,Mathilde,7,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
6,Emma,6,6,Emma,6,6,Emma,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
6,Sofia,6,6,Sofia,6,6,Sofia,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
6,Mila,6,6,Mila,6,6,Mila,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
6,Olivia,6,6,Olivia,6,6,Olivia,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
6,Eva,6,6,Eva,6,6,Eva,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
6,Jade,6,6,Jade,6,6,Jade,6,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
12,Alice,5,12,Alice,5,12,Alice,5,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
12,Victoria,5,12,Victoria,5,12,Victoria,5,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
12,Kiara,5,12,Kiara,5,12,Kiara,5,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Elena,4,15,Elena,4,15,Elena,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Nora,4,15,Nora,4,15,Nora,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Amelia,4,15,Amelia,4,15,Amelia,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Giulia,4,15,Giulia,4,15,Giulia,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Ava,4,15,Ava,4,15,Ava,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Clara,4,15,Clara,4,15,Clara,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Charlotte,4,15,Charlotte,4,15,Charlotte,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Ellie,4,15,Ellie,4,15,Ellie,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Leya,4,15,Leya,4,15,Leya,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Ambre,4,15,Ambre,4,15,Ambre,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Agathe,4,15,Agathe,4,15,Agathe,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
15,Inès,4,15,Inès,4,15,Inès,4,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Lara,3,27,Lara,3,27,Lara,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Julia,3,27,Julia,3,27,Julia,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Inaya,3,27,Inaya,3,27,Inaya,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Sara,3,27,Sara,3,27,Sara,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Ayla,3,27,Ayla,3,27,Ayla,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Elisa,3,27,Elisa,3,27,Elisa,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Amaya,3,27,Amaya,3,27,Amaya,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Louise,3,27,Louise,3,27,Louise,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Helena,3,27,Helena,3,27,Helena,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Amélie,3,27,Amélie,3,27,Amélie,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Chloé,3,27,Chloé,3,27,Chloé,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Alya,3,27,Alya,3,27,Alya,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Camila,3,27,Camila,3,27,Camila,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Sarah,3,27,Sarah,3,27,Sarah,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Alana,3,27,Alana,3,27,Alana,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Alix,3,27,Alix,3,27,Alix,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Léna,3,27,Léna,3,27,Léna,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Layla,3,27,Layla,3,27,Layla,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Giada,3,27,Giada,3,27,Giada,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Théa,3,27,Théa,3,27,Théa,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Salomé,3,27,Salomé,3,27,Salomé,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Maé,3,27,Maé,3,27,Maé,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Evy,3,27,Evy,3,27,Evy,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
27,Rym,3,27,Rym,3,27,Rym,3,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Lia,2,51,Lia,2,51,Lia,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Nina,2,51,Nina,2,51,Nina,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Lena,2,51,Lena,2,51,Lena,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Luana,2,51,Luana,2,51,Luana,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Aria,2,51,Aria,2,51,Aria,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Liv,2,51,Liv,2,51,Liv,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Iris,2,51,Iris,2,51,Iris,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Lisa,2,51,Lisa,2,51,Lisa,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Lou,2,51,Lou,2,51,Lou,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Lorena,2,51,Lorena,2,51,Lorena,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Rose,2,51,Rose,2,51,Rose,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Julie,2,51,Julie,2,51,Julie,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Eline,2,51,Eline,2,51,Eline,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Léa,2,51,Léa,2,51,Léa,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Louisa,2,51,Louisa,2,51,Louisa,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Leonor,2,51,Leonor,2,51,Leonor,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Lucie,2,51,Lucie,2,51,Lucie,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
51,Ivy,2,51,Ivy,2,51,Ivy,2,Neuchâtel,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
